dataset,seed,task,epoch,group,phase,real_norm,weighted_FD_norm,cosine,weighted_ratio,total_norm,total_real_cosine
HK,1993,4,1,main,epoch1,2.618129581406963,0.0,,0.0,2.618129581406963,1.0
HK,1993,4,1,few,epoch1,4.111399816629857,0.0,,0.0,4.111399816629857,1.0
HK,1993,4,2,main,epoch2to10,0.0024173973678379887,0.12173229472274019,0.14959779835968365,50.35675819884427,0.12211732584326955,0.16892181764696723
HK,1993,4,2,few,epoch2to10,0.005511251146534037,0.15184352980257826,-0.03832999822924196,27.55155331617775,0.15173225985464486,-0.002035895874855915
HK,1993,4,3,main,epoch2to10,0.0002566856696803483,0.06551986497931887,0.2773059173252066,255.25330284667243,0.06559150906981154,0.2809164203126176
HK,1993,4,3,few,epoch2to10,0.004329326578504205,0.10595705150727332,0.20513891764060718,24.474257043431866,0.1069291521549842,0.2437617891453688
HK,1993,4,4,main,epoch2to10,9.623033623671689e-08,0.028359640379331648,-0.24880451291943498,294705.8223881688,0.02835961643694287,-0.24880132975360972
HK,1993,4,4,few,epoch2to10,4.4662436581080715e-05,0.059587515977476815,-0.28870162010431905,1334.1752161080808,0.059574637205765654,-0.2880143424935181
HK,1993,4,5,main,epoch2to10,4.44133703523464e-05,0.012149440744788386,-0.06119717108711136,273.55367648081494,0.012146803664499873,-0.05755407371590002
HK,1993,4,5,few,epoch2to10,9.342847743538456e-05,0.036052496891227345,-0.22911187951796722,385.88338246399627,0.036031206088437205,-0.22665427370332017
HK,1993,4,6,main,epoch2to10,3.016033955045676e-06,0.007926842391545567,-0.13518717500926258,2628.2338029664256,0.007926435225754135,-0.1348136161170735
HK,1993,4,6,few,epoch2to10,0.0006299294303697519,0.022106891141746007,0.19364961129177205,35.094234490314015,0.022237465937662907,0.22083992486396173
HK,1993,4,7,main,epoch2to10,8.433225633407806e-07,0.005093160280756723,-0.398184982864115,6039.397618605651,0.005092824541128795,-0.39804564248833396
HK,1993,4,7,few,epoch2to10,3.9439471826735234e-05,0.013256784491752008,-0.3197727761426964,336.12986882764227,0.013244225540445019,-0.3170981417525101
HK,1993,4,8,main,epoch2to10,1.642806678181307e-10,0.006490668845030979,0.12738689693448188,39509632.69894038,0.006490668865958186,0.12738692183404451
HK,1993,4,8,few,epoch2to10,2.1748212923519173e-06,0.009706459140804648,-0.05952945578051807,4463.106543484219,0.009706329917660853,-0.059306186148503554
HK,1993,4,9,main,epoch2to10,0.0004459575039643122,0.00890219978010539,-0.1655878964503147,19.961991223311244,0.008839302585454359,-0.11631449669973534
HK,1993,4,9,few,epoch2to10,0.0022627434237254425,0.007540065454597892,0.2530341222467044,3.3322670946862027,0.008402781882122633,0.49634006049658047
HK,1993,4,10,main,epoch2to10,1.3641127681787615e-07,0.00415946732207374,-0.2621416434399739,30492.107537612745,0.004159431565080588,-0.26211110131471455
HK,1993,4,10,few,epoch2to10,6.48606013580724e-05,0.006731674124569663,-0.25767022370356596,103.78679789609835,0.0067152539228464226,-0.24864158457787103
HK,1993,5,1,main,epoch1,3.0004407092706336,0.0,,0.0,3.0004407092706336,1.0
HK,1993,5,1,few,epoch1,4.615465896691216,0.0,,0.0,4.615465896691216,1.0
HK,1993,5,2,main,epoch2to10,2.9817613107170824,0.04024005505236879,-0.5897828150738689,0.013495397806570733,2.9582069116536283,0.9999396614606787
HK,1993,5,2,few,epoch2to10,4.395017677591073,0.03521647995607108,-0.5565053687625465,0.00801281872781303,4.375517348389365,0.9999776412810248
HK,1993,5,3,main,epoch2to10,2.17217845593722,0.07323123888643397,-0.5708398675977894,0.033713270052131705,2.1312234882725516,0.9996019455256787
HK,1993,5,3,few,epoch2to10,3.136363805759484,0.06768826804578619,-0.5270099958632801,0.021581765457657165,3.1012249859945618,0.9998279473110497
HK,1993,5,4,main,epoch2to10,0.9216358119666318,0.10374195140419366,-0.24061029870892928,0.11256284755561309,0.9023105648282083,0.9937536642068912
HK,1993,5,4,few,epoch2to10,1.4178490999830426,0.09559397315820581,-0.3126643192500865,0.06742182448001632,1.390927241833399,0.9978669147436013
HK,1993,5,5,main,epoch2to10,0.08136516664308603,0.12764226654038985,-0.2765031574318054,1.5687581284052614,0.13103250438509428,0.3516049482463915
HK,1993,5,5,few,epoch2to10,0.10936312821197304,0.12392450125987776,-0.24990494408029656,1.1331470056313784,0.14333096946270943,0.5469423875964254
HK,1993,5,6,main,epoch2to10,0.0005588134462062653,0.13586606043112137,-0.42673548486035234,243.1331267232454,0.13562853647429843,-0.4233626434420409
HK,1993,5,6,few,epoch2to10,0.01835662775739023,0.14088520438637775,-0.2483219486241314,7.674895751462765,0.1374816258541093,-0.12094896772452667
HK,1993,5,7,main,epoch2to10,0.001162603975899326,0.1452900274779751,-0.3555546997970502,124.96949132277547,0.14488073321330971,-0.34853459813177134
HK,1993,5,7,few,epoch2to10,0.031228623299832073,0.14547234055734282,-0.22515114463795172,4.6583014294493434,0.14174537062807033,-0.010756193892329189
HK,1993,5,8,main,epoch2to10,0.005099541320583144,0.13917560194333709,-0.35101918599783766,27.291788259776673,0.13746852217010538,-0.3182820655494108
HK,1993,5,8,few,epoch2to10,0.053048319444406425,0.14770876574538774,-0.2882425072615836,2.784419323597679,0.14182679229854306,0.07383918293377016
HK,1993,5,9,main,epoch2to10,0.008523787044974314,0.15355977459016953,-0.4355095893262945,18.015440059675058,0.15004390321760588,-0.3889059540073452
