dataset,seed,task,epoch,main_CE,sum_CE,pool_weighted_few,assignment,pull,weighted_FD,total
HK,1993,4,1,5.860471550559721,12.81548158753486,2.0806446904564493e-16,16.888572147914342,-0.021383477321692875,0.0174345914638252,23.10994121858052
HK,1993,4,2,0.032666959178121555,0.03510108609445745,3.8199944976328827e-20,16.88857184137617,-0.02219625615647861,0.03486251358741096,16.923827669450215
HK,1993,4,3,0.016321850330465435,0.013156582356983979,8.022220820406568e-21,16.888572058507375,-0.02294203085558755,0.021204375329294374,16.896660653608187
HK,1993,4,4,0.0012457016161988577,8.038542552351353e-05,1.5062891919022193e-21,16.888572113854543,-0.02367357718093055,0.009169832171340073,16.874510002987726
HK,1993,4,5,0.0002702064420451019,0.0001316376267009708,1.6528413866181614e-20,16.888571943555558,-0.024249376888786044,0.0046762348626673755,16.869132508124626
HK,1993,4,6,0.0006522603267577713,0.0036792405944389944,1.3188874082600338e-20,2.0148065815491752e-15,-0.024780808602060594,0.002551026035299791,-0.020785948827064464
HK,1993,4,7,0.0004312789378510778,1.654500358431018e-05,6.127502994139672e-20,5.904005242784945e-16,-0.025183336330311636,0.0019024669018108398,-0.023131594993174076
HK,1993,4,8,0.0008292172315610255,6.111117082412727e-05,1.303766166990009e-19,1.4652619952317534e-15,-0.025255164184740612,0.001674921513767913,-0.023283467361969606
HK,1993,4,9,0.0004743786807271785,4.638937430672436e-05,3.939711748050843e-21,4.750604841886495e-16,-0.025451858873878207,0.0014073606299851754,-0.023870909054364477
HK,1993,4,10,0.00030899665762262885,2.02777901083806e-05,4.293364323400526e-20,5.890404466892758e-15,-0.025540523124592648,0.0013893539705480049,-0.024041411599942615
HK,1993,5,1,33.030372619628906,66.14655303955078,2.7020809937216025e-16,260.0,-0.026260191202163698,0.0004066662222612649,293.03314208984375
HK,1993,5,2,22.745880126953125,46.75218391418457,1.1178770591820077e-16,260.0,-0.025342570245265962,0.004375582648208365,283.1450538635254
HK,1993,5,3,8.416839361190796,16.62990140914917,3.911273279991067e-15,260.0,-0.02601509690284729,0.01190813141874969,268.3347969055176
HK,1993,5,4,1.6191945672035217,3.1709811091423035,2.4500942557370434e-17,260.0,-0.02338281273841858,0.021232489962130785,261.594575881958
HK,1993,5,5,0.12338168919086456,0.1465614140033722,8.104189939030823e-18,260.0,-0.02556731700897217,0.027327127754688263,260.0917434692383
HK,1993,5,6,0.0038382485436159186,7.493934390279122e-05,5.089119310253512e-19,6.015469189266043e-16,-0.025575870275497438,0.037900664610788226,0.0136291878297925
HK,1993,5,7,0.019753494765609503,0.00023992296337382868,1.8147906430887276e-21,5.512171360625113e-15,-0.025564250349998475,0.044531694147735834,0.025631914846599102
HK,1993,5,8,0.010404686458059587,0.0006671301671303809,1.9255492707123186e-20,7.121237532636053e-15,-0.02597295641899109,0.04715526942163706,0.0248729158192873
HK,1993,5,9,0.008495601792674279,0.0009966789511963725,4.210043790981635e-21,1.4171481384987935e-14,-0.026304143667221072,0.044588546734303236,0.021448498591780663
HK,1993,5,10,0.017687729094177485,0.003036975623899707,1.2218255343555578e-20,8.99128914581788e-17,-0.024329792708158493,0.045633530244231224,0.02821197360754013
HK,1993,6,1,4.873788125347346,9.506960488361074,5.0703740086017327e-17,53.53875243663788,-0.028638689406216146,0.022791453902755165,58.3264878988266
HK,1993,6,2,0.04817158408695832,0.0381604038907426,8.541316074699622e-18,53.53875172138214,-0.0294599324464798,0.03782874395255931,53.57589840888977
HK,1993,6,3,0.02403139501984697,0.01659108353396732,4.6399146288141504e-18,53.53875148296356,-0.030379344150424006,0.021769488521385938,53.54368281364441
HK,1993,6,4,0.019968034102930687,0.01838886709901999,7.911524146179553e-16,53.538751274347305,-0.03110090922564268,0.01087282296794001,53.53130933083594
HK,1993,6,5,0.015334356154198758,0.005813002197101014,5.050003834583e-18,53.538752138614655,-0.03175524547696114,0.006131156951596495,53.520177364349365
HK,1993,6,6,0.01003240849240683,0.0052984732494998354,2.766432393692567e-17,1.61828687713539e-15,-0.03243685364723206,0.0031471583588427166,-0.024179400817956775
HK,1993,6,7,0.015604554748279043,0.008577276170285586,1.8287829046712225e-17,1.7447260005765833e-15,-0.032879354618489745,0.0018881798860093113,-0.022930564926355146
HK,1993,6,8,0.007309187605642364,0.00228875823540875,6.362622415473051e-18,6.781347674180152e-14,-0.03312109243124724,0.0015044688052512356,-0.02841730834916234
HK,1993,6,9,0.006926704809302464,0.001453790954201395,1.7346507228065065e-18,3.359785564826685e-15,-0.033296295814216136,0.001360737669529044,-0.029142059851437807
