dataset,seed,group,phase,n,real_norm_null,real_norm_median,real_norm_min,real_norm_max,weighted_FD_norm_null,weighted_FD_norm_median,weighted_FD_norm_min,weighted_FD_norm_max,weighted_ratio_null,weighted_ratio_median,weighted_ratio_min,weighted_ratio_max,cosine_null,cosine_median,cosine_min,cosine_max,total_norm_null,total_norm_median,total_norm_min,total_norm_max,total_real_cosine_null,total_real_cosine_median,total_real_cosine_min,total_real_cosine_max,FD_dominant_count,opposed_count,total_against_real_count,real_zero_count,FD_zero_count
HK,1993,main,epoch1,8,0,3.2999168631805924,2.618129581406963,4.758513555920569,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,,,,0,3.2999168631805924,2.618129581406963,4.758513555920569,0,1.0,1.0,1.0,0,0,0,0,8
HK,1993,few,epoch1,8,0,6.3776933893580035,4.111399816629857,10.179545238633548,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,,,,0,6.3776933893580035,4.111399816629857,10.179545238633548,0,1.0,1.0,1.0,0,0,0,0,8
HK,1993,main,epoch2to10,72,0,0.00015268468045161968,7.79449123810702e-20,2.9817613107170824,0,0.06429865254188252,0.00415946732207374,0.3179047713892048,0,243.8506585994934,0.013495397806570733,9.826529588607278e+17,0,-0.16018224524069308,-0.5897828150738689,0.4093977174950111,0,0.07531084678313868,0.004159431565080588,2.9582069116536283,0,-0.07865834098927194,-0.5376995481477008,0.9999396614606787,67,55,43,0,0
HK,1993,few,epoch2to10,72,0,0.0024470321078483483,4.321922582352168e-10,4.395017677591073,0,0.09659079983753203,0.006731674124569663,0.49128049107677674,0,25.378247411687806,0.00801281872781303,315730148.0172813,0,-0.16935280612171538,-0.615381479178601,0.4320350564713557,0,0.1266752616255511,0.0067152539228464226,4.375517348389365,0,0.01863826213862911,-0.615296385836462,0.9999776412810248,64,51,32,0,0
HK,1994,main,epoch1,8,0,2.198408460062482,1.7117831571768485,3.4532806931058344,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,,,,0,2.198408460062482,1.7117831571768485,3.4532806931058344,0,1.0,1.0,1.0,0,0,0,0,8
HK,1994,few,epoch1,8,0,4.665374889116031,3.2053615971262936,6.682700480310706,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,,,,0,4.665374889116031,3.2053615971262936,6.682700480310706,0,1.0,1.0,1.0,0,0,0,0,8
HK,1994,main,epoch2to10,72,0,0.000396969909464655,4.855146777070508e-12,3.3388176775618863,0,0.023055171749406793,0.0013483860166290773,0.18534887058119903,0,93.82895618030173,0.016341324589308516,20611996079.120678,0,0.0789238331601142,-0.6492051002792838,0.4528125172423807,0,0.032733073024057494,0.0013483118544167674,3.3070225685972536,0,0.2286526629695262,-0.5635497972389939,0.9999109752607298,56,31,20,0,0
HK,1994,few,epoch2to10,72,0,0.005546565212109116,8.766005604471888e-07,6.230851614713348,0,0.026626042216200966,0.0025885152354213985,0.22420975363945617,0,5.2258689556893945,0.0017083906446425257,129496.01641220064,0,-0.012785455220607507,-0.651428940626546,0.5492879828503827,0,0.04998453167907785,0.0024708852831067116,6.210007631763584,0,0.2909233867886757,-0.6409201163579099,0.9999987347245665,51,37,19,0,0
HK,1995,main,epoch1,8,0,2.659179480614049,2.1705888168406546,4.346882791556954,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,,,,0,2.659179480614049,2.1705888168406546,4.346882791556954,0,1.0,1.0,1.0,0,0,0,0,8
HK,1995,few,epoch1,8,0,5.577448281530161,3.926521986971655,7.573144881043303,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,,,,0,5.577448281530161,3.926521986971655,7.573144881043303,0,1.0,1.0,1.0,0,0,0,0,8
HK,1995,main,epoch2to10,72,0,2.1478220507640544e-06,1.4304938907892616e-17,2.405569598937843,0,0.07343271851774213,0.0026867561881579833,0.671897507363506,0,17840.396503400203,0.03553253624721915,590269329283418.8,0,-0.06295626627972008,-0.44323474239407185,0.4637858519140471,0,0.07343867110989852,0.002686753665335137,2.321074797310066,0,0.05881931133275839,-0.4326826507407522,0.9994264754751799,62,44,29,0,0
HK,1995,few,epoch2to10,72,0,0.0008981068613841182,6.525109041231695e-09,4.963450232667249,0,0.07228849795879899,0.0031104702750229824,0.5241735954793687,0,35.27466060913172,0.00815885094714435,13263458.625439117,0,-0.12460325832573661,-0.4231280848537528,0.45870245664244463,0,0.07289166629991167,0.003111253336686436,4.946451307808731,0,0.01968994984337001,-0.3506303143673894,0.9999724870455544,61,52,31,0,0
ISIC,1993,main,epoch1,1,0,2.6023413332009095,2.6023413332009095,2.6023413332009095,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,2.6023413332009095,2.6023413332009095,2.6023413332009095,0,1.0,1.0,1.0,0,0,0,0,1
ISIC,1993,few,epoch1,1,0,4.104921031848274,4.104921031848274,4.104921031848274,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.104921031848274,4.104921031848274,4.104921031848274,0,1.0,1.0,1.0,0,0,0,0,1
ISIC,1993,main,epoch2to10,9,0,0.08270057995298269,0.025754403736744435,0.18449673928938862,0,0.03571538551195309,0.01297269850827191,0.11760467657731438,0,0.5037079732412304,0.18099055872164568,1.6733913071348812,0,-0.0565057325665889,-0.47001042529604936,0.17927250289438246,0,0.09745705006353415,0.028788433331441265,0.19968780915094617,0,0.8991580650363213,0.2975615228838095,0.9835244937462863,2,6,0,0,0
ISIC,1993,few,epoch2to10,9,0,0.2343741418043517,0.10527839201270836,0.7127903933910059,0,0.03600251214710653,0.024257083022713136,0.0683003370857484,0,0.2131853658052961,0.044206243635133834,0.3043078083959483,0,-0.08277325655218107,-0.19691083834741757,0.14306775094089885,0,0.2444170804081531,0.1060621612110191,0.7103297244705292,0,0.9796760490073656,0.9576820941688059,0.999025498589848,0,5,0,0,0
ISIC,1994,main,epoch1,1,0,1.8414370710577486,1.8414370710577486,1.8414370710577486,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,1.8414370710577486,1.8414370710577486,1.8414370710577486,0,1.0,1.0,1.0,0,0,0,0,1
ISIC,1994,few,epoch1,1,0,2.3192255498112946,2.3192255498112946,2.3192255498112946,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,2.3192255498112946,2.3192255498112946,2.3192255498112946,0,1.0,1.0,1.0,0,0,0,0,1
ISIC,1994,main,epoch2to10,9,0,0.0007389814490574866,2.344806053782788e-07,0.050695498546005385,0,0.004934592614887115,0.002117509868379427,0.03654671975747383,0,4.1808519342748856,0.6816996197685556,23060.200956801003,0,0.011001981778317073,-0.3179921579553165,0.2502270449604843,0,0.005407134863581471,0.002154695729328484,0.06531025006813179,0,0.2427208070039457,-0.14931701149035484,0.8305506556260328,7,4,3,0,0
ISIC,1994,few,epoch2to10,9,0,0.0024624760759765023,7.546086634977584e-05,0.0801739831074323,0,0.004206358627973462,0.0026352509523921794,0.01818328657189346,0,1.3885800545598426,0.18030334215276272,50.54833714968716,0,-0.09660724327215342,-0.2402859404170695,0.24672991541331293,0,0.006192925190089847,0.0035038282127777586,0.08573934008629033,0,0.46675912040740275,-0.07695633092967796,0.9836739120778019,7,5,1,0,0
ISIC,1995,main,epoch1,1,0,1.5592906683279963,1.5592906683279963,1.5592906683279963,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,1.5592906683279963,1.5592906683279963,1.5592906683279963,0,1.0,1.0,1.0,0,0,0,0,1
ISIC,1995,few,epoch1,1,0,4.509582410863797,4.509582410863797,4.509582410863797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.509582410863797,4.509582410863797,4.509582410863797,0,1.0,1.0,1.0,0,0,0,0,1
ISIC,1995,main,epoch2to10,9,0,4.476894795512666e-05,4.1550378277443835e-08,0.006341529908333578,0,0.011313841063417169,0.0018363379306304555,0.06866059614901668,0,251.33900922871192,2.4275151080091972,1652466.2107899503,0,0.05627509360991983,-0.26305195714088114,0.4454590217173995,0,0.011308622980946875,0.0018463354488445346,0.06866061465801761,0,0.11015669105961287,-0.2614137364935545,0.4454595067899115,9,2,2,0,0
