beta,dataset,seed,task,CE_main_sum_e1,CE_main_sum_e10,CE_few_e1,CE_few_e10,assignment_e1,assignment_e10,pull_e1,pull_e10,FD_e1,FD_e10,recorded_e1,recorded_e10,max_abs_residual
10,HK,1993,4,6.225317712698193,0.00010975814924366982,6.935482301521498e-17,1.4311214411335085e-20,16.888572147914342,5.890404466892758e-15,-0.021383477321692875,-0.025540523124592648,0.0174345914638252,0.0013893539705480049,23.10994121858052,-0.024041411599942615,3.948711331247523e-07
10,HK,1994,4,36.00685246785482,0.2790890336036682,3.590292083747201e-16,4.680243602652942e-18,290.0,3.3087224502121107e-16,-0.013372355699539186,-0.013425320386886597,0.0,0.013623140985146165,325.9934387207031,0.27928686141967773,4.1391452157313324e-05
10,HK,1995,4,3.88956472895894,0.0004070920165896534,1.4043057449996941e-13,3.100353698111493e-17,0.4750000188748042,3.218726360848512e-12,-0.018929494296511015,-0.022480248535672823,0.07131673347127314,0.023132350179366767,4.416952113310496,0.0010591933969408274,1.2630184986761606e-07
10,ISIC,1993,4,0.9363617150452702,0.0335745029335186,1.1573054452108224e-09,1.3447877304277276e-13,0.47640626870270353,5.6611792450197575e-12,-0.08057456668466331,-0.10591744538396598,0.0507126748925657,0.005171252703348728,1.3829060835705604,-0.06717169057810679,9.54262113772586e-09
10,ISIC,1994,4,0.9077269938824913,0.0002819669371746948,7.217971530948368e-18,2.9019977611085078e-18,7.805833621819814,1.7378221483009724e-13,-0.08934178362290066,-0.10253735661506655,0.04677156894467771,0.00038003998937104677,8.670990325013797,-0.10187535285949707,1.5197370473174487e-07
10,ISIC,1995,4,1.4261954967019814,0.0003128723619508062,1.2774803844731692e-16,1.7724288953352804e-15,4.97250015437603,1.7554809061577688e-12,-0.08760514040788014,-0.10012860039869943,0.10785981242467339,0.00042225133741643123,6.418950419872999,-0.0993934785326322,9.677819434728008e-08
1,HK,1993,4,6.225318830186083,0.0001135522018720147,6.972137032849836e-17,1.1086923105244662e-20,16.888572147914342,5.890404466892758e-15,-0.021383477321692875,-0.025540523124592648,0.0020326647577998563,0.0011674074921756983,23.09454051085881,-0.024259563801544055,3.453222774396636e-07
1,HK,1994,4,36.00685246785482,0.27931270996729535,3.590292083747201e-16,4.722155741383521e-18,290.0,3.3087224502121107e-16,-0.013372355699539186,-0.013425320386886597,0.0,0.0020614666864275932,325.9934387207031,0.26794886589050293,4.1391452157313324e-05
1,HK,1995,4,3.8894173845247972,0.00041049675512683237,1.4033642361467977e-13,6.529029889175819e-18,0.4750000188748042,3.2187389392877787e-12,-0.018929494296511015,-0.022480248535672823,0.009534651675494388,0.009104023920372128,4.355022698640823,-0.012965728218356768,1.3786209862587384e-07
1,ISIC,1993,4,0.9332484424784345,0.025082956091064073,1.205524510827486e-09,1.0199277794977605e-13,0.47640626870270353,5.540341951896798e-12,-0.08057456668466331,-0.10591744538396598,0.026467147614312125,0.005342191954696318,1.3555473055166658,-0.07549229862343054,1.2200354504443567e-08
1,ISIC,1994,4,0.9072017822319159,0.0002690244816016553,7.077809526493445e-18,1.3145386435249452e-17,7.805833621819814,1.7337028328804382e-13,-0.08934178362290066,-0.10253735661506655,0.019320159376366063,0.000411322424285269,8.643013768891494,-0.10185701238612334,1.8211758412434165e-07
1,ISIC,1995,4,1.4235890949405032,0.00026242028061129,1.9628601403835921e-16,4.65127486035899e-16,4.97250015437603,1.6637127598031206e-12,-0.08760514040788014,-0.10012860039869943,0.05179828578257002,0.0006158582924399525,6.3602825204531355,-0.09925032419463,1.2576191199542563e-07
