beta,dataset,seed,task,epoch,steps,CE_main_sum,CE_few,assignment,pull,FD,reconstructed,recorded,residual
10,HK,1993,4,1,14,6.225317712698193,6.935482301521498e-17,16.888572147914342,-0.021383477321692875,0.0174345914638252,23.109940974754668,23.10994121858052,2.43825851953261e-07
10,HK,1993,4,2,14,0.022589348424193006,1.273331499210961e-20,16.88857184137617,-0.02219625615647861,0.03486251358741096,16.923827447231293,16.923827669450215,2.2221892237439533e-07
10,HK,1993,4,3,14,0.009826144229149805,2.6740736068021895e-21,16.888572058507375,-0.02294203085558755,0.021204375329294374,16.89666054721023,16.896660653608187,1.0639795533506913e-07
10,HK,1993,4,4,14,0.00044202901390745703,5.020963973007397e-22,16.888572113854543,-0.02367357718093055,0.009169832171340073,16.87451039785886,16.874510002987726,-3.948711331247523e-07
10,HK,1993,4,5,14,0.00013394802291535757,5.509471288727205e-21,16.888571943555558,-0.024249376888786044,0.0046762348626673755,16.869132749552353,16.869132508124626,-2.414277275875065e-07
10,HK,1993,4,6,14,0.0014438336403989219,4.396291360866779e-21,2.0148065815491752e-15,-0.024780808602060594,0.002551026035299791,-0.020785948926359866,-0.020785948827064464,9.929540176201179e-11
10,HK,1993,4,7,14,0.0001492746471451293,2.0425009980465572e-20,5.904005242784945e-16,-0.025183336330311636,0.0019024669018108398,-0.023131594781355076,-0.023131594993174076,-2.1181899984012986e-10
10,HK,1993,4,8,14,0.00029677613412838424,4.34588722330003e-20,1.4652619952317534e-15,-0.025255164184740612,0.001674921513767913,-0.02328346653684285,-0.023283467361969606,-8.251267551162567e-10
10,HK,1993,4,9,14,0.0001735893516779676,1.313237249350281e-21,4.750604841886495e-16,-0.025451858873878207,0.0014073606299851754,-0.02387090889221459,-0.023870909054364477,-1.6214988726725998e-10
10,HK,1993,4,10,14,0.00010975814924366982,1.4311214411335085e-20,5.890404466892758e-15,-0.025540523124592648,0.0013893539705480049,-0.024041411004795083,-0.024041411599942615,-5.951475319510013e-10
10,HK,1994,4,1,1,36.00685246785482,3.590292083747201e-16,290.0,-0.013372355699539186,0.0,325.9934801121553,325.9934387207031,-4.1391452157313324e-05
10,HK,1994,4,2,1,27.473534901936848,2.3310990806408655e-16,290.0,-0.012965267896652222,0.0009850798232946545,317.4615547138635,317.4615478515625,-6.862301006549387e-06
10,HK,1994,4,3,1,19.093448003133137,5.573484204471585e-16,290.0,-0.013546285033226014,0.004097739001736045,309.08399945710164,309.083984375,-1.5082101640473411e-05
10,HK,1994,4,4,1,11.139864285786947,2.706528567410103e-17,290.0,-0.013604997098445893,0.007115050102584064,301.1333743387911,301.13336181640625,-1.2522384849944501e-05
10,HK,1994,4,5,1,4.343442440032959,9.169388410889938e-17,290.0,-0.013478635251522065,0.010358757572248578,294.34032256235366,294.3403015136719,-2.104868178776087e-05
10,HK,1994,4,6,1,0.7826384703318278,6.318764319028607e-17,2.791047888344041e-15,-0.013581442832946778,0.0128664611838758,0.7819234886827596,0.7819234728813171,-1.5801442487806128e-08
10,HK,1994,4,7,1,0.49253960450490314,2.0350050999138765e-19,4.0395526514246554e-18,-0.013170364499092103,0.013611429603770375,0.4929806696095814,0.4929806888103485,1.9200767087390602e-08
10,HK,1994,4,8,1,0.4599849383036296,1.919422892359949e-16,3.9324399043073194e-14,-0.013753700256347657,0.01247247215360403,0.4587037102009255,0.45870375633239746,4.613147197574108e-08
10,HK,1994,4,9,1,0.283538023630778,3.060238938271658e-17,2.5879605160532716e-15,-0.013704130053520204,0.01335001434199512,0.2831839079192556,0.2831839323043823,2.4385126751180763e-08
10,HK,1994,4,10,1,0.2790890336036682,4.680243602652942e-18,3.3087224502121107e-16,-0.013425320386886597,0.013623140985146165,0.2792868542019281,0.27928686141967773,7.217749620203051e-09
10,HK,1995,4,1,12,3.88956472895894,1.4043057449996941e-13,0.4750000188748042,-0.018929494296511015,0.07131673347127314,4.416951987008646,4.416952113310496,1.2630184986761606e-07
10,HK,1995,4,2,12,0.01445791391886564,1.3571923374283665e-18,0.4750000188748042,-0.019510485976934434,0.09966478760664663,0.569612234423382,0.5696122373143832,2.8910011051763718e-09
10,HK,1995,4,3,12,0.0023581164422214165,1.8321447830623093e-17,0.4750000188748042,-0.020216838146249458,0.052258168774036065,0.5093994659448122,0.5093994736671448,7.722332551196587e-09
10,HK,1995,4,4,12,0.00016935307942684337,2.7761926406519906e-17,0.4750000188748042,-0.020770384992162386,0.03809862149258455,0.49249760845465324,0.4924976130326589,4.578005641242555e-09
