method,mix_seed,original_label,n,M,real_mean_norm,real_second_moment_trace,real_centered_cov_trace,real_feature_norm_quantiles,joint_mean_norm,joint_second_moment_trace,joint_centered_cov_trace,joint_mean_shift_norm,aug_mean_norm,aug_second_moment_trace,aug_centered_cov_trace,aug_feature_norm_quantiles,aug_row_span_relative_residual,real_numerical_row_rank
R0,0,4,458,0,0.7928537284288684,1.0000000002810714,0.3713829655975137,"[0.9999999120640748, 0.9999999485193409, 0.9999999996549769, 1.0000000533795244, 1.0000000877405157]",0.7928537284288684,1.0000000002810714,0.3713829655975137,0.0,,,,,,
R0,0,0,10529,0,0.8008002053516248,0.9999999990313215,0.3587190301401172,"[0.9999999002587443, 0.9999999483907313, 0.9999999996209414, 1.0000000500833397, 1.0000000996511218]",0.8008002053516248,0.9999999990313215,0.3587190301401172,0.0,,,,,,
R0,0,3,1306,0,0.7668559138280098,0.9999999991288325,0.4119320065558406,"[0.9999999048764086, 0.999999946755018, 0.9999999984454544, 1.000000053455356, 1.000000089323582]",0.7668559138280098,0.9999999991288325,0.4119320065558406,0.0,,,,,,
R0,0,7,27,0,0.7989719138514466,1.0000000049762188,0.3616438858527754,"[0.9999999091920583, 0.9999999492397201, 1.0000000075867774, 1.0000000549767225, 1.0000000608378539]",0.7989719138514466,1.0000000049762188,0.3616438858527754,0.0,,,,,,
R0,0,5,256,0,0.7852323551290805,0.9999999945142741,0.3834101429727117,"[0.9999999197316145, 0.9999999485016446, 0.9999999951313319, 1.0000000483103562, 1.0000000984785966]",0.7852323551290805,0.9999999945142741,0.3834101429727117,0.0,,,,,,
R0,0,6,44,0,0.8267483698845162,0.9999999902108953,0.31648712310419047,"[0.9999999213001918, 0.9999999373078153, 1.0000000074457276, 1.0000000501596553, 1.0000000674311686]",0.8267483698845162,0.9999999902108953,0.31648712310419047,0.0,,,,,,
R0,0,2,2835,0,0.7919978500679403,0.9999999994421137,0.372739404929874,"[0.9999999077645892, 0.999999949379489, 0.9999999995574119, 1.000000051826234, 1.0000001021195208]",0.7919978500679403,0.9999999994421137,0.372739404929874,0.0,,,,,,
R0,0,1,3263,0,0.7675029791746404,1.0000000009902976,0.4109391779483491,"[0.9999999141487625, 0.9999999474185083, 1.0000000000106757, 1.00000005132252, 1.0000000961408733]",0.7675029791746404,1.0000000009902976,0.4109391779483491,0.0,,,,,,
B0,0,4,458,0,0.7928537284288684,1.0000000002810714,0.3713829655975137,"[0.9999999120640748, 0.9999999485193409, 0.9999999996549769, 1.0000000533795244, 1.0000000877405157]",0.7928537284288684,1.0000000002810714,0.3713829655975137,0.0,,,,,,
B0,0,0,10529,0,0.8008002053516248,0.9999999990313215,0.3587190301401172,"[0.9999999002587443, 0.9999999483907313, 0.9999999996209414, 1.0000000500833397, 1.0000000996511218]",0.8008002053516248,0.9999999990313215,0.3587190301401172,0.0,,,,,,
