method,mix_seed,order_seed,original_label,first_session,first_recall,final_recall,final_minus_first_pp,signed_forgetting_first_minus_final_pp,no_later_interval
R0,0,1993,0,0,100.0,97.72727272727273,-2.2727272727272663,2.2727272727272663,False
R0,0,1993,1,2,48.64864864864865,48.64864864864865,,,True
R0,0,1993,2,2,69.56521739130434,69.56521739130434,,,True
R0,0,1993,3,0,10.0,0.0,-10.0,10.0,False
R0,0,1993,4,0,9.75609756097561,0.0,-9.75609756097561,9.75609756097561,False
R0,0,1993,5,1,0.0,0.0,0.0,0.0,False
R0,0,1993,6,1,0.0,0.0,0.0,0.0,False
R0,0,1993,7,0,0.0,0.0,0.0,0.0,False
R0,0,1994,0,1,100.0,97.72727272727273,-2.2727272727272663,2.2727272727272663,False
R0,0,1994,1,1,56.75675675675676,48.64864864864865,-8.108108108108105,8.108108108108105,False
R0,0,1994,2,2,69.56521739130434,69.56521739130434,,,True
R0,0,1994,3,0,100.0,0.0,-100.0,100.0,False
R0,0,1994,4,0,34.146341463414636,0.0,-34.146341463414636,34.146341463414636,False
R0,0,1994,5,0,13.513513513513514,0.0,-13.513513513513514,13.513513513513514,False
R0,0,1994,6,2,0.0,0.0,,,True
R0,0,1994,7,0,0.0,0.0,0.0,0.0,False
R0,0,1995,0,0,100.0,97.72727272727273,-2.2727272727272663,2.2727272727272663,False
R0,0,1995,1,0,56.75675675675676,48.64864864864865,-8.108108108108105,8.108108108108105,False
R0,0,1995,2,2,69.56521739130434,69.56521739130434,,,True
R0,0,1995,3,0,10.0,0.0,-10.0,10.0,False
R0,0,1995,4,1,2.4390243902439024,0.0,-2.4390243902439024,2.4390243902439024,False
R0,0,1995,5,1,0.0,0.0,0.0,0.0,False
R0,0,1995,6,0,0.0,0.0,0.0,0.0,False
R0,0,1995,7,2,0.0,0.0,,,True
B0,0,1993,0,0,90.9090909090909,75.0,-15.909090909090907,15.909090909090907,False
B0,0,1993,1,2,51.35135135135135,51.35135135135135,,,True
B0,0,1993,2,2,43.47826086956522,43.47826086956522,,,True
B0,0,1993,3,0,52.5,32.5,-20.0,20.0,False
B0,0,1993,4,0,78.04878048780488,56.09756097560976,-21.951219512195117,21.951219512195117,False
B0,0,1993,5,1,48.64864864864865,43.24324324324324,-5.405405405405411,5.405405405405411,False
B0,0,1993,6,1,88.46153846153845,92.3076923076923,3.846153846153854,-3.846153846153854,False
B0,0,1993,7,0,50.0,50.0,0.0,0.0,False
B0,0,1994,0,1,75.0,75.0,0.0,0.0,False
B0,0,1994,1,1,48.64864864864865,51.35135135135135,2.7027027027026946,-2.7027027027026946,False
B0,0,1994,2,2,43.47826086956522,43.47826086956522,,,True
B0,0,1994,3,0,77.5,32.5,-45.0,45.0,False
B0,0,1994,4,0,51.21951219512195,56.09756097560976,4.878048780487809,-4.878048780487809,False
B0,0,1994,5,0,51.35135135135135,43.24324324324324,-8.108108108108105,8.108108108108105,False
B0,0,1994,6,2,92.3076923076923,92.3076923076923,,,True
