method,metric,mean,std_ddof1,minimum,maximum,n_unique_fits,unit
R0,balanced_accuracy,26.992642345903217,,26.992642345903217,26.992642345903217,1,deterministic
R0,tail_rank2,0.0,,0.0,0.0,1,deterministic
R0,old_macro_recall,21.693284193284196,,21.693284193284196,21.693284193284196,1,deterministic
R0,current_macro_recall,42.89071680376028,,42.89071680376028,42.89071680376028,1,deterministic
R0,label_6_recall,0.0,,0.0,0.0,1,deterministic
R0,label_7_recall,0.0,,0.0,0.0,1,deterministic
R0,accuracy,31.52542372881356,,31.52542372881356,31.52542372881356,1,deterministic
R0,macro_f1,17.216238865042,,17.216238865042,17.216238865042,1,deterministic
R0,head_rank2,73.1879606879607,,73.1879606879607,73.1879606879607,1,deterministic
R0,mid_rank4,17.391304347826086,,17.391304347826086,17.391304347826086,1,deterministic
R0,worst_class_recall,0.0,,0.0,0.0,1,deterministic
R0,component_equal_balanced_accuracy,26.903409090909093,,26.903409090909093,26.903409090909093,1,deterministic
R0,HM_old_current_macro,27.631292557264157,,27.631292557264157,27.631292557264157,1,deterministic
R0,AvgBA_all,29.449523815244916,,29.449523815244916,29.449523815244916,1,deterministic
R0,AvgBA_inc,26.08375616892319,,26.08375616892319,26.08375616892319,1,deterministic
B0,balanced_accuracy,55.497263593432734,,55.497263593432734,55.497263593432734,1,deterministic
B0,tail_rank2,71.15384615384616,,71.15384615384616,71.15384615384616,1,deterministic
B0,old_macro_recall,55.99113888748035,,55.99113888748035,55.99113888748035,1,deterministic
B0,current_macro_recall,54.015637711289884,,54.015637711289884,54.015637711289884,1,deterministic
B0,label_6_recall,92.3076923076923,,92.3076923076923,92.3076923076923,1,deterministic
B0,label_7_recall,50.0,,50.0,50.0,1,deterministic
B0,accuracy,54.23728813559322,,54.23728813559322,54.23728813559322,1,deterministic
B0,macro_f1,55.55991004063034,,55.55991004063034,55.55991004063034,1,deterministic
B0,head_rank2,63.17567567567568,,63.17567567567568,63.17567567567568,1,deterministic
B0,mid_rank4,43.82976627210456,,43.82976627210456,43.82976627210456,1,deterministic
B0,worst_class_recall,32.5,,32.5,32.5,1,deterministic
B0,component_equal_balanced_accuracy,55.71900073448061,,55.71900073448061,55.71900073448061,1,deterministic
B0,HM_old_current_macro,54.22222286459013,,54.22222286459013,54.22222286459013,1,deterministic
B0,AvgBA_all,61.702696591460295,,61.702696591460295,61.702696591460295,1,deterministic
B0,AvgBA_inc,58.013950308986104,,58.013950308986104,58.013950308986104,1,deterministic
B1,balanced_accuracy,55.497263593432734,,55.497263593432734,55.497263593432734,1,deterministic
B1,tail_rank2,71.15384615384616,,71.15384615384616,71.15384615384616,1,deterministic
B1,old_macro_recall,55.99113888748035,,55.99113888748035,55.99113888748035,1,deterministic
B1,current_macro_recall,54.015637711289884,,54.015637711289884,54.015637711289884,1,deterministic
B1,label_6_recall,92.3076923076923,,92.3076923076923,92.3076923076923,1,deterministic
B1,label_7_recall,50.0,,50.0,50.0,1,deterministic
B1,accuracy,54.23728813559322,,54.23728813559322,54.23728813559322,1,deterministic
B1,macro_f1,55.55991004063034,,55.55991004063034,55.55991004063034,1,deterministic
B1,head_rank2,63.17567567567568,,63.17567567567568,63.17567567567568,1,deterministic
B1,mid_rank4,43.82976627210456,,43.82976627210456,43.82976627210456,1,deterministic
B1,worst_class_recall,32.5,,32.5,32.5,1,deterministic
B1,component_equal_balanced_accuracy,55.71900073448061,,55.71900073448061,55.71900073448061,1,deterministic
B1,HM_old_current_macro,54.22222286459013,,54.22222286459013,54.22222286459013,1,deterministic
