method,order_seed,session,seen_classes,old_classes,current_classes,split,predictor,scope,n_images,n_classes,correct_sample_weighted,correct_class_macro,to_other_sample_weighted,to_other_class_macro,wrong_within_sample_weighted,wrong_within_class_macro,mix_seed
B1,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,57.07547169811321,58.19141608775755,12.264150943396226,12.018461835535007,30.660377358490564,29.790122076707444,0
B1,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,59.154929577464785,58.55938255328499,0.0,0.0,40.845070422535215,41.44061744671501,0
B1,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,0
B1,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,62.96296296296296,61.82432432432432,23.456790123456788,24.600737100737103,13.580246913580247,13.574938574938574,0
B1,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,52.816901408450704,52.40606460118655,11.971830985915492,12.677845528455286,35.2112676056338,34.91608987035817,0
B1,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,61.111111111111114,67.89297658862876,36.11111111111111,29.09698996655518,2.7777777777777777,3.0100334448160537,0
B1,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,52.01793721973094,51.365359261700725,6.278026905829597,6.71588162441821,41.70403587443946,41.91875911388107,0
B1,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,79.59183673469387,80.81671706671708,0.0,0.0,20.408163265306122,19.183282933282932,0
B1,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,0
B1,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,53.84615384615385,53.59261700725115,12.82051282051282,12.590639419907712,33.33333333333333,33.81674357284113,0
B1,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,63.26530612244898,65.17612455112456,15.646258503401361,14.952631827631826,21.08843537414966,19.87124362124362,0
B1,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,45.714285714285715,46.7391304347826,50.0,47.01086956521739,4.285714285714286,6.25,0
B1,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,56.888888888888886,58.416641312982776,8.0,7.9087090672456535,35.11111111111111,33.67464961977157,0
B2,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,71.81208053691275,69.94780118255728,0.0,0.0,28.187919463087248,30.052198817442722,41001
B2,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41001
B2,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,63.49206349206349,67.2037422037422,34.92063492063492,30.87318087318087,1.5873015873015872,1.9230769230769231,41001
B2,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,63.758389261744966,62.22514781966001,11.409395973154362,12.02559127864006,24.832214765100673,25.749260901699927,41001
B2,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,48.19277108433735,48.766157461809634,49.39759036144578,48.79553466509988,2.4096385542168677,2.4383078730904817,41001
B2,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,56.60377358490566,57.56055304835793,12.735849056603774,12.649324874934631,30.660377358490564,29.790122076707444,41001
B2,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,58.45070422535211,57.517715886618326,0.0,0.0,41.54929577464789,42.482284113381674,41001
B2,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41001
B2,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,64.19753086419753,63.17567567567568,22.22222222222222,23.249385749385752,13.580246913580247,13.574938574938574,41001
B2,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,51.40845070422535,51.17130850362558,12.676056338028168,13.302845528455286,35.91549295774648,35.52584596791914,41001
B2,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,59.72222222222222,65.96989966555184,36.11111111111111,29.09698996655518,4.166666666666666,4.933110367892977,41001
B2,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,52.46636771300448,51.82597231377719,6.726457399103139,7.122385689458861,40.80717488789238,41.05164199676395,41001
B2,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,79.59183673469387,80.81671706671708,0.0,0.0,20.408163265306122,19.183282933282932,41001
B2,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41001
B2,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,53.84615384615385,53.59261700725115,12.82051282051282,12.590639419907712,33.33333333333333,33.81674357284113,41001
B2,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,64.62585034013605,66.42612455112456,14.285714285714285,13.702631827631828,21.08843537414966,19.87124362124362,41001
B2,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,45.714285714285715,46.7391304347826,50.0,47.01086956521739,4.285714285714286,6.25,41001
B2,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,56.888888888888886,58.2362287240336,8.88888888888889,8.956238773311943,34.22222222222222,32.80753250265445,41001
B2,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,69.79865771812081,67.29628603104213,0.0,0.0,30.201342281879196,32.70371396895787,41002
B2,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41002
B2,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,66.66666666666666,70.47817047817048,33.33333333333333,29.521829521829524,0.0,0.0,41002
B2,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,62.41610738255034,60.58481152993348,10.738255033557047,11.847745750184776,26.845637583892618,27.567442719881747,41002
B2,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,44.57831325301205,45.24089306698003,51.80722891566265,51.233842538190366,3.614457831325301,3.525264394829612,41002
B2,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,57.07547169811321,58.201578689383574,12.264150943396226,12.008299233908987,30.660377358490564,29.790122076707444,41002
B2,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,59.154929577464785,58.57462645572402,0.0,0.0,40.845070422535215,41.42537354427598,41002
B2,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41002
B2,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,62.96296296296296,61.82432432432432,23.456790123456788,24.600737100737103,13.580246913580247,13.574938574938574,41002
B2,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,51.40845070422535,51.22198417930125,11.971830985915492,12.677845528455286,36.61971830985916,36.10017029224346,41002
B2,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,58.333333333333336,65.7190635451505,38.88888888888889,31.270903010033447,2.7777777777777777,3.0100334448160537,41002
B2,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,52.01793721973094,51.375521863326746,7.174887892376682,7.572836139909311,40.80717488789238,41.05164199676395,41002
B2,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,78.91156462585033,80.14104139104138,0.0,0.0,21.08843537414966,19.85895860895861,41002
B2,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41002
B2,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,53.84615384615385,53.59261700725115,12.82051282051282,12.590639419907712,33.33333333333333,33.81674357284113,41002
B2,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,63.94557823129252,65.80112455112454,14.965986394557824,14.327631827631826,21.08843537414966,19.87124362124362,41002
B2,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,42.857142857142854,44.565217391304344,52.85714285714286,49.184782608695656,4.285714285714286,6.25,41002
B2,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,56.888888888888886,58.4268039146088,8.444444444444445,8.315213132286303,34.66666666666667,33.25798295310491,41002
B2,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,69.79865771812081,67.76977087952697,0.0,0.0,30.201342281879196,32.23022912047302,41003
B2,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41003
B2,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,66.66666666666666,70.47817047817048,33.33333333333333,29.521829521829524,0.0,0.0,41003
B2,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,63.758389261744966,62.25147819660014,10.06711409395973,10.806079083518108,26.174496644295303,26.942442719881743,41003
B2,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,46.98795180722892,47.41480611045829,50.602409638554214,50.146886016451234,2.4096385542168677,2.4383078730904817,41003
