method,order_seed,session,seen_classes,old_classes,current_classes,split,predictor,scope,n_images,n_classes,correct_sample_weighted,correct_class_macro,to_other_sample_weighted,to_other_class_macro,wrong_within_sample_weighted,wrong_within_class_macro,mix_seed
B4,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,57.77777777777777,59.10334584115072,8.444444444444445,8.539572106645277,33.77777777777778,32.35708205220401,41001
B4,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,70.46979865771812,67.86446784922394,0.0,0.0,29.53020134228188,32.13553215077605,41002
B4,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41002
B4,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,65.07936507936508,68.55509355509355,33.33333333333333,29.521829521829524,1.5873015873015872,1.9230769230769231,41002
B4,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,62.41610738255034,60.58481152993348,10.738255033557047,11.847745750184776,26.845637583892618,27.567442719881747,41002
B4,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,44.57831325301205,45.24089306698003,51.80722891566265,51.233842538190366,3.614457831325301,3.525264394829612,41002
B4,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,56.60377358490566,57.56055304835793,12.735849056603774,12.649324874934631,30.660377358490564,29.790122076707444,41002
B4,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,59.154929577464785,58.57462645572402,0.0,0.0,40.845070422535215,41.42537354427598,41002
B4,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41002
B4,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,62.96296296296296,61.82432432432432,23.456790123456788,24.600737100737103,13.580246913580247,13.574938574938574,41002
B4,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,52.112676056338024,51.846984179301245,11.971830985915492,12.677845528455286,35.91549295774648,35.47517029224346,41002
B4,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,56.94444444444444,63.79598662207358,38.88888888888889,31.270903010033447,4.166666666666666,4.933110367892977,41002
B4,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,52.01793721973094,51.375521863326746,7.174887892376682,7.572836139909311,40.80717488789238,41.05164199676395,41002
B4,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,78.91156462585033,80.14104139104138,0.0,0.0,21.08843537414966,19.85895860895861,41002
B4,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41002
B4,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,55.12820512820513,54.81212920237311,12.82051282051282,12.590639419907712,32.05128205128205,32.59723137771918,41002
B4,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,64.62585034013605,66.42612455112456,14.285714285714285,13.702631827631828,21.08843537414966,19.87124362124362,41002
B4,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,42.857142857142854,44.565217391304344,52.85714285714286,49.184782608695656,4.285714285714286,6.25,41002
B4,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,56.44444444444444,57.78577827358314,8.88888888888889,8.956238773311943,34.66666666666667,33.25798295310491,41002
B4,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,69.79865771812081,67.76977087952697,0.0,0.0,30.201342281879196,32.23022912047302,41003
B4,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41003
B4,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,68.25396825396825,71.82952182952182,31.746031746031743,28.170478170478177,0.0,0.0,41003
B4,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,63.758389261744966,62.25147819660014,10.06711409395973,10.806079083518108,26.174496644295303,26.942442719881743,41003
B4,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,46.98795180722892,47.41480611045829,50.602409638554214,50.146886016451234,2.4096385542168677,2.4383078730904817,41003
B4,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,56.132075471698116,57.22571155497985,13.679245283018867,13.434616818763159,30.18867924528302,29.339671626256997,41003
B4,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,60.56338028169014,59.77889474840694,0.0,0.0,39.436619718309856,40.22110525159306,41003
B4,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41003
B4,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,61.72839506172839,60.6879606879607,24.691358024691358,25.73710073710074,13.580246913580247,13.574938574938574,41003
B4,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,53.52112676056338,53.081740276862234,12.676056338028168,13.302845528455286,33.80281690140845,33.615414194682494,41003
B4,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,59.72222222222222,65.96989966555184,36.11111111111111,29.09698996655518,4.166666666666666,4.933110367892977,41003
B4,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,51.569506726457405,51.04068036994867,7.623318385650224,7.907677633287389,40.80717488789238,41.05164199676395,41003
B4,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,78.2312925170068,79.46536571536572,0.0,0.0,21.768707482993197,20.534634284634286,41003
B4,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41003
B4,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,53.84615384615385,53.59261700725115,12.82051282051282,12.590639419907712,33.33333333333333,33.81674357284113,41003
B4,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,64.62585034013605,66.42612455112456,14.285714285714285,13.702631827631828,21.08843537414966,19.87124362124362,41003
B4,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,45.714285714285715,46.7391304347826,50.0,47.01086956521739,4.285714285714286,6.25,41003
B4,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,56.00000000000001,57.450936780205076,9.333333333333334,9.324864050473806,34.66666666666667,33.224199169321125,41003
