contrast,session,order_seed,mix_seed,metric,difference_pp
B4-B0,0,1993,41001,balanced_accuracy,2.0833333333333286
B4-B0,0,1993,41002,balanced_accuracy,0.0
B4-B0,0,1993,41003,balanced_accuracy,-0.09469696969696884
B4-B0,0,1993,fixed_mix_mean,balanced_accuracy,0.6628787878787866
B4-B0,0,1994,41001,balanced_accuracy,-1.0416666666666643
B4-B0,0,1994,41002,balanced_accuracy,0.015243902439024737
B4-B0,0,1994,41003,balanced_accuracy,1.2195121951219505
B4-B0,0,1994,fixed_mix_mean,balanced_accuracy,0.06436314363143698
B4-B0,0,1995,41001,balanced_accuracy,-0.6756756756756772
B4-B0,0,1995,41002,balanced_accuracy,-0.6756756756756772
B4-B0,0,1995,41003,balanced_accuracy,-1.3513513513513544
B4-B0,0,1995,fixed_mix_mean,balanced_accuracy,-0.9009009009009029
B4-B0,0,1993,41001,tail_rank2,8.333333333333336
B4-B0,0,1993,41002,tail_rank2,0.0
B4-B0,0,1993,41003,tail_rank2,4.166666666666664
B4-B0,0,1993,fixed_mix_mean,tail_rank2,4.166666666666667
B4-B0,0,1994,41001,tail_rank2,-4.166666666666664
B4-B0,0,1994,41002,tail_rank2,0.0
B4-B0,0,1994,41003,tail_rank2,0.0
B4-B0,0,1994,fixed_mix_mean,tail_rank2,-1.3888888888888882
B4-B0,0,1995,41001,tail_rank2,0.0
B4-B0,0,1995,41002,tail_rank2,0.0
B4-B0,0,1995,41003,tail_rank2,0.0
B4-B0,0,1995,fixed_mix_mean,tail_rank2,0.0
B4-B0,0,1993,41001,old_macro_recall,
B4-B0,0,1993,41002,old_macro_recall,
B4-B0,0,1993,41003,old_macro_recall,
B4-B0,0,1993,fixed_mix_mean,old_macro_recall,
B4-B0,0,1994,41001,old_macro_recall,
B4-B0,0,1994,41002,old_macro_recall,
B4-B0,0,1994,41003,old_macro_recall,
B4-B0,0,1994,fixed_mix_mean,old_macro_recall,
B4-B0,0,1995,41001,old_macro_recall,
B4-B0,0,1995,41002,old_macro_recall,
B4-B0,0,1995,41003,old_macro_recall,
B4-B0,0,1995,fixed_mix_mean,old_macro_recall,
B4-B0,0,1993,41001,current_macro_recall,2.0833333333333286
B4-B0,0,1993,41002,current_macro_recall,0.0
B4-B0,0,1993,41003,current_macro_recall,-0.09469696969696884
B4-B0,0,1993,fixed_mix_mean,current_macro_recall,0.6628787878787866
B4-B0,0,1994,41001,current_macro_recall,-1.0416666666666643
B4-B0,0,1994,41002,current_macro_recall,0.015243902439024737
B4-B0,0,1994,41003,current_macro_recall,1.2195121951219505
B4-B0,0,1994,fixed_mix_mean,current_macro_recall,0.06436314363143698
B4-B0,0,1995,41001,current_macro_recall,-0.6756756756756772
B4-B0,0,1995,41002,current_macro_recall,-0.6756756756756772
B4-B0,0,1995,41003,current_macro_recall,-1.3513513513513544
B4-B0,0,1995,fixed_mix_mean,current_macro_recall,-0.9009009009009029
B4-B0,0,1993,41001,label_6_recall,
B4-B0,0,1993,41002,label_6_recall,
B4-B0,0,1993,41003,label_6_recall,
B4-B0,0,1993,fixed_mix_mean,label_6_recall,
B4-B0,0,1994,41001,label_6_recall,
B4-B0,0,1994,41002,label_6_recall,
B4-B0,0,1994,41003,label_6_recall,
B4-B0,0,1994,fixed_mix_mean,label_6_recall,
B4-B0,0,1995,41001,label_6_recall,0.0
B4-B0,0,1995,41002,label_6_recall,0.0
B4-B0,0,1995,41003,label_6_recall,0.0
B4-B0,0,1995,fixed_mix_mean,label_6_recall,0.0
B4-B0,0,1993,41001,label_7_recall,8.333333333333336
B4-B0,0,1993,41002,label_7_recall,0.0
B4-B0,0,1993,41003,label_7_recall,4.166666666666664
B4-B0,0,1993,fixed_mix_mean,label_7_recall,4.166666666666667
B4-B0,0,1994,41001,label_7_recall,-4.166666666666664
B4-B0,0,1994,41002,label_7_recall,0.0
B4-B0,0,1994,41003,label_7_recall,0.0
B4-B0,0,1994,fixed_mix_mean,label_7_recall,-1.3888888888888882
B4-B0,0,1995,41001,label_7_recall,
B4-B0,0,1995,41002,label_7_recall,
B4-B0,0,1995,41003,label_7_recall,
B4-B0,0,1995,fixed_mix_mean,label_7_recall,
B4-B0,1,1993,41001,balanced_accuracy,-0.8467919138650828
B4-B0,1,1993,41002,balanced_accuracy,-1.4898989898989825
B4-B0,1,1993,41003,balanced_accuracy,0.7126882126882208
B4-B0,1,1993,fixed_mix_mean,balanced_accuracy,-0.5413342303586148
B4-B0,1,1994,41001,balanced_accuracy,-0.37272028125687484
B4-B0,1,1994,41002,balanced_accuracy,-0.37272028125686063
B4-B0,1,1994,41003,balanced_accuracy,0.0716625716625785
B4-B0,1,1994,fixed_mix_mean,balanced_accuracy,-0.22459266361705232
B4-B0,1,1995,41001,balanced_accuracy,0.8333333333333286
B4-B0,1,1995,41002,balanced_accuracy,1.239837398373993
B4-B0,1,1995,41003,balanced_accuracy,0.8333333333333286
B4-B0,1,1995,fixed_mix_mean,balanced_accuracy,0.9688346883468834
B4-B0,1,1993,41001,tail_rank2,0.0
B4-B0,1,1993,41002,tail_rank2,-2.0833333333333286
B4-B0,1,1993,41003,tail_rank2,1.923076923076934
B4-B0,1,1993,fixed_mix_mean,tail_rank2,-0.0534188034187982
B4-B0,1,1994,41001,tail_rank2,0.0
B4-B0,1,1994,41002,tail_rank2,0.0
B4-B0,1,1994,41003,tail_rank2,0.0
B4-B0,1,1994,fixed_mix_mean,tail_rank2,0.0
B4-B0,1,1995,41001,tail_rank2,0.0
B4-B0,1,1995,41002,tail_rank2,0.0
B4-B0,1,1995,41003,tail_rank2,0.0
B4-B0,1,1995,fixed_mix_mean,tail_rank2,0.0
B4-B0,1,1993,41001,old_macro_recall,-0.5945121951219505
B4-B0,1,1993,41002,old_macro_recall,-2.2348484848484844
B4-B0,1,1993,41003,old_macro_recall,-0.5681818181818201
B4-B0,1,1993,fixed_mix_mean,old_macro_recall,-1.1325141660507516
B4-B0,1,1994,41001,old_macro_recall,-1.2347560975609753
B4-B0,1,1994,41002,old_macro_recall,-0.559080421885298
B4-B0,1,1994,41003,old_macro_recall,0.6756756756756772
B4-B0,1,1994,fixed_mix_mean,old_macro_recall,-0.37272028125686535
B4-B0,1,1995,41001,old_macro_recall,1.25
B4-B0,1,1995,41002,old_macro_recall,1.25
B4-B0,1,1995,41003,old_macro_recall,1.25
B4-B0,1,1995,fixed_mix_mean,old_macro_recall,1.25
B4-B0,1,1993,41001,current_macro_recall,-1.3513513513513544
B4-B0,1,1993,41002,current_macro_recall,0.0
B4-B0,1,1993,41003,current_macro_recall,3.274428274428274
B4-B0,1,1993,fixed_mix_mean,current_macro_recall,0.64102564102564
B4-B0,1,1994,41001,current_macro_recall,1.3513513513513544
B4-B0,1,1994,41002,current_macro_recall,0.0
B4-B0,1,1994,41003,current_macro_recall,-1.136363636363626
B4-B0,1,1994,fixed_mix_mean,current_macro_recall,0.07166257166257613
B4-B0,1,1995,41001,current_macro_recall,0.0
B4-B0,1,1995,41002,current_macro_recall,1.2195121951219576
B4-B0,1,1995,41003,current_macro_recall,0.0
B4-B0,1,1995,fixed_mix_mean,current_macro_recall,0.40650406504065256
B4-B0,1,1993,41001,label_6_recall,0.0
B4-B0,1,1993,41002,label_6_recall,0.0
B4-B0,1,1993,41003,label_6_recall,3.846153846153854
B4-B0,1,1993,fixed_mix_mean,label_6_recall,1.2820512820512846
B4-B0,1,1994,41001,label_6_recall,
B4-B0,1,1994,41002,label_6_recall,
