dataset,seed,task,status,iterations,primal_residual,dual_residual,classes,xi_ge_delta,xi_max
HK,1993,1,optimal,6,4.604327802181732e-11,1.818547931913069e-09,2,0,4.769795624637219e-10
HK,1993,2,optimal,8,3.224668403590338e-11,1.1911488519851977e-09,4,0,2.2753849737497942e-09
HK,1993,3,optimal,9,3.5114729406967532e-12,1.0580401902754999e-10,6,0,3.856585617108271e-10
HK,1993,4,optimal,9,9.501401870228184e-11,1.2370823293080966e-09,8,0,6.731541751519675e-09
HK,1993,5,optimal,12,4.866129938742992e-13,2.278693534553949e-15,10,0,1.6992681136937588e-09
HK,1993,6,optimal,11,1.150473231385318e-10,1.0395609869857246e-09,12,0,0.015265585095514267
HK,1993,7,optimal,11,5.262215165975788e-11,3.165653246788242e-10,14,0,0.07229688820824717
HK,1993,8,optimal,13,2.6650315713932347e-10,1.5195045821822178e-09,16,1,0.11525406201748771
HK,1993,9,optimal,16,2.563365298874238e-11,1.3161771096548318e-10,18,6,0.13661766319706245
HK,1993,10,optimal,18,4.2476932233744345e-10,2.5994674272823707e-09,20,8,0.12532212173484594
HK,1993,11,optimal,17,1.267537801672194e-10,1.500307399513015e-09,23,13,0.12295652577117966
HK,1994,1,optimal,6,1.365730554517315e-10,2.5139832082119028e-09,2,0,7.172023589870903e-09
HK,1994,2,optimal,8,1.975495546249422e-11,6.233361303252426e-10,4,0,1.660108953312127e-09
HK,1994,3,optimal,8,2.453469852838462e-10,3.5056618798593766e-09,6,0,3.4167348137038346e-08
HK,1994,4,optimal,9,1.2284470883848757e-11,4.0929101193457085e-11,8,0,1.4690816380449257e-09
HK,1994,5,optimal,9,1.4919905005412785e-10,7.983071616982675e-10,10,0,1.5284111661503266e-08
HK,1994,6,optimal,10,5.982126088738063e-11,5.093548341523076e-10,12,0,1.4529583833677042e-08
HK,1994,7,optimal,12,2.7483506255329752e-11,1.677540495742238e-10,14,0,0.09252349140718738
HK,1994,8,optimal,14,6.4519920666028476e-12,3.177664193772597e-11,16,2,0.11283062471395601
HK,1994,9,optimal,15,1.3065504878247639e-11,9.882403164635431e-11,18,6,0.11008901637249406
HK,1994,10,optimal,19,1.6388802431150232e-10,2.3581941364699533e-09,20,9,0.1135560449546431
HK,1994,11,optimal,17,5.933362743595506e-11,8.105561428012563e-10,23,14,0.12544684274468484
HK,1995,1,optimal,6,1.5815334714710693e-10,9.890988787439645e-09,2,0,7.728318482951317e-09
HK,1995,2,optimal,7,3.202044868416647e-11,5.394858490271204e-10,4,0,3.431053477661838e-09
HK,1995,3,optimal,8,3.255420145111221e-11,4.298749667035709e-10,6,0,4.335829220746639e-09
HK,1995,4,optimal,9,7.264366811384931e-12,8.514503050017736e-11,8,0,1.023929482758435e-09
HK,1995,5,optimal,9,4.4718634401945e-11,4.916802957870693e-10,10,0,1.411534243839202e-08
HK,1995,6,optimal,11,4.191155209397002e-12,1.1558242872734567e-11,12,0,1.0671404326126237e-09
HK,1995,7,optimal,11,6.669034376648586e-11,2.2957142716541885e-10,14,0,0.023743433838873562
HK,1995,8,optimal,15,1.1085157674562574e-11,4.991662806591524e-11,16,0,0.09693103481543013
HK,1995,9,optimal,15,1.445427220280691e-10,1.0365349385034417e-09,18,3,0.1250553655974663
HK,1995,10,optimal,17,5.618155108502552e-10,8.60056522075193e-09,20,8,0.11110483245207535
HK,1995,11,optimal,17,3.9856855020080435e-10,5.775103307320675e-09,23,13,0.11890507131244435
ISIC,1993,1,optimal,7,1.7692296158366108e-12,2.0906163528790887e-10,2,0,9.812563130667132e-11
ISIC,1993,2,optimal,8,1.3229545140699383e-11,2.625810815342348e-10,4,0,1.2579004274509828e-09
ISIC,1993,3,optimal,10,2.6529714344782395e-12,1.8705546117514267e-11,6,0,3.94604504982922e-10
ISIC,1993,4,optimal,11,2.418950130031982e-12,4.681753475817994e-11,8,0,0.07225947193249221
ISIC,1994,1,optimal,6,2.2819994114971918e-10,7.50919389134876e-09,2,0,1.875205262373744e-08
ISIC,1994,2,optimal,8,6.027415055439638e-11,9.175173091933523e-10,4,0,7.55841771775594e-09
ISIC,1994,3,optimal,11,5.023719982931837e-12,1.8352316396724948e-10,6,0,0.08642701654041027
ISIC,1994,4,optimal,11,1.4225995195372316e-11,2.3273799603868855e-10,8,1,0.1193014522811642
ISIC,1995,1,optimal,7,2.5074857726833477e-11,1.5758576876581994e-09,2,0,1.2562140285698834e-09
ISIC,1995,2,optimal,8,8.58266407536925e-11,5.62964649987438e-09,4,0,9.23431848112467e-09
ISIC,1995,3,optimal,10,1.1244520751924331e-11,1.2643870583755762e-10,6,0,3.761144757157669e-09
ISIC,1995,4,optimal,11,5.038707896431014e-12,7.864273686848241e-11,8,0,0.06341818606130589
