dataset,stream,contrast,metric,mean_difference_pp,paired_sd,low,high,resamples,seed,fixed_models_not_resampled
HK,U,Q11-Q00,BA,41.99951401207724,1.6361152818457767,39.63208869886564,44.269179210014606,2000,46001,True
HK,U,Q11-Q00,tail,19.62797619047619,8.238310815545711,13.868675595238095,25.29799107142857,2000,46001,True
HK,U,Q11-Q00,old,51.31281015370243,2.8767618003796533,48.64568899814969,53.86169688034957,2000,46001,True
HK,U,Q11-Q00,current,-20.089126932090668,10.014704217847207,-22.195341836908725,-17.94267174814633,2000,46001,True
HK,U,Q11-Q00,HM,59.57885096423521,3.5294414741633897,57.148245980865,61.82862426942905,2000,46001,True
HK,U,Q10-Q00,BA,37.63457034201941,3.2979880939144723,35.3273932673808,40.032256884652234,2000,46001,True
HK,U,Q10-Q00,tail,17.251984126984127,7.264166029992712,11.874007936507937,23.591765873015866,2000,46001,True
HK,U,Q10-Q00,old,46.69805117700022,4.517946158747648,44.121089022722536,49.462611007650885,2000,46001,True
HK,U,Q10-Q00,current,-22.78863522451931,9.120713535692069,-24.845937286150715,-20.670696298129936,2000,46001,True
HK,U,Q10-Q00,HM,55.35290969937167,3.5543540375661777,53.19513304516883,57.45186242523499,2000,46001,True
HK,U,Q01-Q00,BA,-0.47994418183703047,0.7369730878983897,-1.5202942242845026,0.4725642071276891,2000,46001,True
HK,U,Q01-Q00,tail,0.0,0.0,-3.125,3.125,2000,46001,True
HK,U,Q01-Q00,old,-0.7414414853439243,0.952343155117187,-1.9362253870790456,0.3745820845820821,2000,46001,True
HK,U,Q01-Q00,current,1.2633711748756014,1.101245376699456,0.36500700217514265,2.133428682101245,2000,46001,True
HK,U,Q01-Q00,HM,-1.4569270414949405,1.865494650762122,-3.7584618846690785,0.6912786918900179,2000,46001,True
HK,U,interaction,BA,4.844887851894871,1.4632359339796521,3.361057211587274,6.802407517821639,2000,46001,True
HK,U,interaction,tail,2.3759920634920633,1.1582633361940102,-0.8432539682539696,7.499999999999999,2000,46001,True
HK,U,interaction,old,5.356200462046139,1.7569563855048893,3.6561161533796502,7.561314393994933,2000,46001,True
HK,U,interaction,current,1.436137117553038,1.6139340645423257,-0.09174945015652534,3.0001638729905364,2000,46001,True
HK,U,interaction,HM,5.6828683063584835,1.8375028527447113,3.7041537346105016,7.818863754499502,2000,46001,True
HK,U,Q11-PT,BA,-5.490138461848545,2.4882751264771485,-9.094247374266477,-1.7744039221794976,2000,46001,True
HK,U,Q11-PT,tail,-4.613095238095241,2.2562684318127046,-14.09263392857143,4.970238095238092,2000,46001,True
HK,U,Q11-PT,old,-5.552082852735286,2.1797362292558073,-9.608796370908934,-1.3780051290059174,2000,46001,True
HK,U,Q11-PT,current,-5.077175855936929,4.665657924912886,-7.031076778248395,-3.1277103947588034,2000,46001,True
HK,U,Q11-PT,HM,-5.49069964998917,3.2199611986065126,-8.359856734038004,-2.431222407832508,2000,46001,True
HK,U,Q00-PT,BA,-47.48965247392579,0.8522273313975298,-50.69524813628642,-44.28755171440495,2000,46001,True
HK,U,Q00-PT,tail,-24.24107142857143,8.267972847076846,-32.470238095238095,-15.787946428571432,2000,46001,True
HK,U,Q00-PT,old,-56.86489300643771,1.5433948942339262,-60.52563217414633,-53.207005126348506,2000,46001,True
HK,U,Q00-PT,current,15.011951076153741,13.356109468312846,12.796572827112481,17.394826080918396,2000,46001,True
HK,U,Q00-PT,HM,-65.06955061422437,5.215036205736074,-68.03628767455938,-62.03073466640023,2000,46001,True
HK,U,Q11-Risk-Q11,BA,-0.08184423754058419,0.8210507524534206,-0.7966559949201603,0.4176004764043543,2000,46001,True
HK,U,Q11-Risk-Q11,tail,-1.0416666666666667,1.8042195912175805,-3.125,0.0,2000,46001,True
HK,U,Q11-Risk-Q11,old,-0.18604006509086446,0.9162270672243623,-1.0067586636772956,0.38298350716973883,2000,46001,True
HK,U,Q11-Risk-Q11,current,0.612794612794616,0.6731649419047546,0.22222222222221907,1.1515151515151463,2000,46001,True
HK,U,Q11-Risk-Q11,HM,0.13543319812108479,0.6029598031996859,-0.3509673811520935,0.5411979373541038,2000,46001,True
HK,R,Q11-Q00,BA,37.51252655031785,0.7922611775799159,35.172721347535365,40.01219070847163,2000,46001,True
HK,R,Q11-Q00,tail,16.666666666666668,7.389752698194724,11.015873015873018,22.95225694444444,2000,46001,True
HK,R,Q11-Q00,old,46.62520128992625,2.054707582440953,44.026855859695246,49.503325180859775,2000,46001,True
HK,R,Q11-Q00,current,-23.23863838040482,9.03980580501028,-25.245101373263793,-21.32482005690404,2000,46001,True
HK,R,Q11-Q00,HM,56.8223468832044,2.2530515739383046,54.68931043057355,58.956566971668046,2000,46001,True
