dataset,seed,stream,task,epoch,a_min,a_max,a_mean,b_norm,clip_fraction,residual_mean,residual_max,current_class_counts,old_trace,e_mean
HK,1993,U,2,1,0.6018073969505656,1.1016697853998338,0.9755729016894253,0.10008545863369589,0.0,3.5991348980853463e-06,0.0002758064310534044,"{""2"": 167, ""3"": 654}",1.9801722143434488,3.5991348980853463e-06
HK,1993,U,2,2,0.5092200392595614,1.1129651660593993,0.9668595888399354,0.12560311040364391,0.0,5.193828557326576e-06,0.0003098216328419431,"{""2"": 167, ""3"": 654}",1.9727824560431009,5.193828557326578e-06
HK,1993,U,2,3,0.5007212876186249,1.1118799259939929,0.9643082788511951,0.13254932919032253,0.0,5.4980326124879865e-06,0.00029392556862324544,"{""2"": 167, ""3"": 654}",1.970735434898723,5.4980326124879865e-06
HK,1993,U,2,4,0.5037403173285125,1.1096542982951008,0.9634363080339247,0.1354179538507674,0.0,5.521317926090017e-06,0.0002707421225409308,"{""2"": 167, ""3"": 654}",1.9700769957421707,5.521317926090017e-06
HK,1993,U,2,5,0.5082649332703325,1.1076767546047113,0.9632246278355548,0.13674321238552403,0.0,5.513493080044124e-06,0.0002619068827300411,"{""2"": 167, ""3"": 654}",1.9699806258390302,5.513493080044124e-06
HK,1993,U,2,6,0.5081250364007475,1.105334519787644,0.9627185171642516,0.13872124009972703,0.0,5.459908056161263e-06,0.0002331118410996478,"{""2"": 167, ""3"": 654}",1.9699084396248028,5.459908056161264e-06
HK,1993,U,2,7,0.5094276170743859,1.1048745315112627,0.9625638988715636,0.1391903671703384,0.0,5.451069279533555e-06,0.00022960210278816017,"{""2"": 167, ""3"": 654}",1.9698803097425932,5.451069279533553e-06
HK,1993,U,2,8,0.5111587368809691,1.1042437849426512,0.9624548210153199,0.1396292875616782,0.0,5.442715538871878e-06,0.0002272004827508734,"{""2"": 167, ""3"": 654}",1.9697678263825644,5.442715538871878e-06
HK,1993,U,2,9,0.5121522509514781,1.1042062025288355,0.9623338925754578,0.1399800877372729,0.0,5.433624149255412e-06,0.00022366059509493636,"{""2"": 167, ""3"": 654}",1.9697103112323773,5.433624149255412e-06
HK,1993,U,2,10,0.5128008802951187,1.104013227171309,0.9622756102779957,0.14019069905871126,0.0,5.427606895622879e-06,0.00022110337877707348,"{""2"": 167, ""3"": 654}",1.9697093865154596,5.42760689562288e-06
HK,1993,U,3,1,0.6421755375523361,1.1928296919130967,0.9728339201550741,0.15601889628693869,0.0,8.69095866804703e-06,0.00018199904210508671,"{""4"": 736, ""5"": 261}",3.85625466040816,1.114786634964667e-05
HK,1993,U,3,2,0.5728830217487438,1.1953342134625737,0.96348048045214,0.1773348806180795,0.0,1.0782780066482906e-05,0.00019087057538988805,"{""4"": 736, ""5"": 261}",3.8364264056569857,1.3155655852359474e-05
HK,1993,U,3,3,0.5614202900940346,1.1949231302170942,0.9621936953228477,0.18034112836446767,0.0,1.1057330845540221e-05,0.00019056442153162373,"{""4"": 736, ""5"": 261}",3.833573068112643,1.3418448853401468e-05
