dataset,seed,task,method,seen,known,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,restricted_old_BA,restricted_old_accuracy
HK,1993,1,CT-J-CB,2,0,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,1,CT-J-Stale,2,0,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,1,PT-CB,2,0,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,1,CT-Risk,2,0,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,2,CT-J-CB,4,2,366,93.37979094076655,98.36065573770492,89.74358974358974,[],100.0,87.8048780487805,85.71428571428571,92.85714285714286,93.90243902439025,100.0,100.0,93.3768656716418,100.0,100.0
HK,1993,2,CT-J-Stale,4,2,366,82.14285714285714,98.63387978142076,84.67432950191571,[],100.0,100.0,28.571428571428573,64.28571428571429,100.0,100.0,100.0,78.2608695652174,100.0,100.0
HK,1993,2,PT-CB,4,2,366,96.95121951219512,98.63387978142076,91.79767600820232,[],100.0,87.8048780487805,100.0,100.0,93.90243902439025,100.0,100.0,96.85534591194968,100.0,100.0
HK,1993,2,CT-Risk,4,2,366,93.37979094076655,98.36065573770492,89.74358974358974,[],100.0,87.8048780487805,85.71428571428571,92.85714285714286,93.90243902439025,100.0,100.0,93.3768656716418,100.0,100.0
HK,1993,3,CT-J-CB,6,4,609,83.27240532358485,95.89490968801314,83.45543345543346,[],100.0,78.38864454218313,42.857142857142854,79.00696864111498,91.80327868852459,100.0,100.0,84.92580361994733,93.98954703832753,98.63387978142076
HK,1993,3,CT-J-Stale,6,4,609,68.11501028426024,92.28243021346469,65.44871063497996,[0],99.37809467221233,55.27788884446221,0.0,52.58235149196412,99.18032786885246,100.0,100.0,68.72750116238042,95.20905923344948,99.18032786885246
HK,1993,3,PT-CB,6,4,609,85.43534966965596,94.58128078817734,81.78210678210678,[],100.0,70.59176329468212,71.42857142857143,86.75958188153311,82.78688524590163,100.0,100.0,84.72669081108397,97.5609756097561,98.90710382513662
HK,1993,3,CT-Risk,6,4,609,83.27240532358485,95.89490968801314,83.45543345543346,[],100.0,78.38864454218313,42.857142857142854,79.00696864111498,91.80327868852459,100.0,100.0,84.92580361994733,93.98954703832753,98.63387978142076
HK,1993,4,CT-J-CB,8,6,771,76.89116931204472,83.00907911802854,71.11061441654569,[],84.26443150122431,74.75009996001599,64.28571428571429,69.82516842455219,98.08917197452229,98.72611464968153,97.53086419753086,81.57841596456801,79.67860474857676,95.40229885057471
HK,1993,4,CT-J-Stale,8,6,771,57.174015142515266,63.164721141374834,43.653227754780666,[0],62.518761992347606,53.65853658536585,50.0,44.17257220700549,96.17834394904459,99.04458598726114,98.14814814814815,60.54032220374994,66.36310498577357,90.14778325123153
HK,1993,4,PT-CB,8,6,771,85.34156063793478,89.49416342412452,78.60915182711464,[],92.53009677138564,70.59176329468212,85.71428571428572,83.00318488454998,92.35668789808918,98.72611464968153,97.53086419753086,87.43048360250303,85.33433956864585,94.41707717569786
HK,1993,4,CT-Risk,8,6,771,76.89116931204472,83.00907911802854,71.11061441654569,[],84.26443150122431,74.75009996001599,64.28571428571429,69.82516842455219,98.08917197452229,98.72611464968153,97.53086419753086,81.57841596456801,79.67860474857676,95.40229885057471
HK,1993,5,CT-J-CB,10,8,783,61.53636244560954,76.11749680715198,48.33369626685006,"[0, 11]",88.23115001646286,1.2195121951219512,65.0,51.920453057011926,100.0,100.0,100.0,68.35215668758899,79.49287040193202,85.73281452658884
HK,1993,5,CT-J-Stale,10,8,783,37.23497118176773,38.31417624521073,19.35231183672177,"[0, 12, 11, 17]",43.08742795441934,0.0,50.0,21.54371397720967,100.0,100.0,100.0,35.45014920516461,61.955527339635964,68.09338521400778
HK,1993,5,PT-CB,10,8,783,79.40615104383767,88.50574712643679,73.99292457334529,[],92.67328587485952,68.11275489804078,71.78571428571428,80.50768880479708,75.0,100.0,100.0,77.6563102026312,83.11307522165892,89.49416342412452
HK,1993,5,CT-Risk,10,8,783,61.53636244560954,76.11749680715198,48.33369626685006,"[0, 11]",88.23115001646286,1.2195121951219512,65.0,51.920453057011926,100.0,100.0,100.0,68.35215668758899,79.49287040193202,85.73281452658884
HK,1993,6,CT-J-CB,12,10,964,64.43442559923771,82.67634854771784,58.34593941722294,[21],90.45473468810862,48.884573154865045,43.57142857142857,58.4611916714662,94.30059523809524,99.0625,98.34254143646409,72.17675682481274,72.03803677118914,82.37547892720306
HK,1993,6,CT-J-Stale,12,10,964,24.45707070707071,20.539419087136928,7.57371606050687,"[0, 12, 8, 2, 11, 17, 3, 21]",21.196969696969695,33.333333333333336,21.875,9.598484848484848,98.75,98.75,97.79005524861878,17.496329184729408,57.25426804576299,76.75606641123882
HK,1993,6,PT-CB,12,10,964,75.9238313355374,89.41908713692946,69.79425193809261,[],93.14480511370733,72.97779300978021,56.60714285714286,73.98954998359726,85.5952380952381,99.0625,98.34254143646409,79.37038640897191,78.98954998359726,88.88888888888889
HK,1993,6,CT-Risk,12,10,964,64.43442559923771,82.67634854771784,58.34311445459387,[21],90.45473468810862,48.884573154865045,43.57142857142857,58.4611916714662,94.30059523809524,99.0625,98.34254143646409,72.17675682481274,72.03803677118914,82.37547892720306
HK,1993,7,CT-J-CB,14,12,1057,64.57141683367233,80.32166508987702,60.094009708065265,[17],84.38262411478036,67.13162873378788,36.60714285714286,59.56311761908236,94.62121212121212,96.13636363636364,96.7741935483871,73.10644857786745,70.23592571051634,86.20331950207469
HK,1993,7,CT-J-Stale,14,12,1057,14.383116883116884,9.555345316934721,5.842775260670578,"[0, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13]",1.2121212121212122,39.06060606060606,0.0,0.5050505050505051,97.65151515151516,97.65151515151516,97.84946236559139,1.0049036804889648,53.79071307598452,73.44398340248964
HK,1993,7,PT-CB,14,12,1057,74.39388205948705,88.74172185430463,69.79694079786735,[],93.2607827052844,73.7563727755651,51.60714285714286,74.30548866536117,74.92424242424242,96.13636363636364,96.7741935483871,74.61358277021212,76.02523388829111,89.62655601659752
HK,1993,7,CT-Risk,14,12,1057,64.44375256588067,80.03784295175024,59.96023354017239,[17],84.02516416496371,67.13162873378788,36.60714285714286,59.41417597332543,94.62121212121212,96.13636363636364,96.7741935483871,72.99415306213538,70.08698406475942,85.89211618257261
HK,1993,8,CT-J-CB,16,14,1223,45.246079815689804,72.52657399836467,42.09946763870853,"[0, 12, 11, 17, 16]",82.31566450129112,31.008658008658006,15.0,40.995519789359776,75.0,100.0,100.0,53.01349551750568,59.90455480632172,78.240302743614
HK,1993,8,CT-J-Stale,16,14,1223,13.145638555039284,14.390842191332789,4.923260982653664,"[0, 12, 8, 2, 11, 17, 21, 16, 22, 13, 18]",17.27725836899365,1.3333333333333335,20.0,0.7814266412992528,99.6951219512195,99.6951219512195,99.3975903614458,1.5506986533982408,42.47504073534701,56.85903500473037
HK,1993,8,PT-CB,16,14,1223,70.44527919748117,89.12510220768601,66.45943022661372,[19],93.54222107308298,71.88851385852584,41.28571428571429,73.45314138248717,49.390243902439025,99.6951219512195,99.3975903614458,59.06493963621736,73.66156559916838,88.0794701986755
HK,1993,8,CT-Risk,16,14,1223,46.653952598375255,72.60834014717906,43.89033700187146,"[0, 12, 11, 16]",82.23160808340182,31.614718614718612,19.0,42.604517255286,75.0,100.0,100.0,54.34040917340406,61.42137102607644,78.1456953642384
HK,1993,9,CT-J-CB,18,16,1347,33.18012425850041,49.88864142538976,28.470252081088066,"[0, 12, 11, 17, 21, 16, 19]",58.01667078963806,18.225108225108222,16.666666666666668,24.82763979081297,100.0,100.0,100.0,39.77907430184421,39.4914923066999,64.75878986099755
HK,1993,9,CT-J-Stale,18,16,1347,11.245791245791246,9.502598366740905,2.4824182466748965,"[0, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19]",14.632034632034632,0.0,16.666666666666668,0.15151515151515152,100.0,100.0,100.0,0.30257186081694404,32.140129664388404,46.68847097301717
HK,1993,9,PT-CB,18,16,1347,67.60982632585247,89.6807720861173,63.86051930193087,"[19, 6]",94.34928967561999,70.0206549414866,34.404761904761905,69.86186762471411,49.59349593495935,100.0,100.0,58.00818221651727,70.15948667233314,88.87980376124285
HK,1993,9,CT-Risk,18,16,1347,34.102032774116005,49.5916852264291,29.989003613599884,"[0, 12, 11, 21, 16, 19]",57.76824506788766,17.891774891774894,20.0,25.864786870880508,100.0,100.0,100.0,41.099321762510314,41.702218541873485,64.43172526573998
HK,1993,10,CT-J-CB,20,18,1414,10.49889135254989,14.56859971711457,5.08531512079588,"[0, 4, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 19, 6, 5]",15.795586527293844,16.568120226656813,0.0,6.278229448961157,48.484848484848484,48.484848484848484,95.52238805970148,11.116942840718805,24.842378413368703,29.47290274684484
HK,1993,10,CT-J-Stale,20,18,1414,5.72690317812269,6.011315417256012,1.9381362425040576,"[0, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 6, 5]",2.2933164396579033,16.414141414141415,0.0,0.8918452820891846,49.24242424242424,49.24242424242424,97.01492537313433,1.7519602521691027,15.950843798379832,18.040089086859687
HK,1993,10,PT-CB,20,18,1414,61.45686755330437,86.20933521923621,57.01110071309409,"[21, 19, 6, 5]",94.26441568549123,61.30964497317956,28.775510204081634,67.02278212993414,11.363636363636363,100.0,100.0,19.432512387749103,68.59685620400823,89.60653303637713
HK,1993,10,CT-Risk,20,18,1414,10.49889135254989,14.56859971711457,5.097744467028003,"[0, 4, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 19, 6, 5]",15.795586527293844,16.568120226656813,0.0,6.278229448961157,48.484848484848484,48.484848484848484,95.52238805970148,11.116942840718805,25.278969232699122,30.066815144766146
