dataset,seed,task,method,seen,known,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,restricted_old_BA,restricted_old_accuracy
HK,1993,11,CT-J-CB,23,20,1698,12.65770534860898,16.0188457008245,3.818703993653525,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 6, 5]",12.703252032520325,12.78588667969199,12.5,0.3085735402808574,94.98525073746312,94.98525073746312,94.01408450704226,0.6151486797108067,12.273446045245286,15.134370579915135
HK,1993,11,CT-J-Stale,23,20,1698,12.531160003264661,15.959952885747938,3.2395162922077425,"[0, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 15, 6, 5, 20]",12.575757575757576,12.515802781289507,12.5,0.030303030303030304,95.87020648967552,95.87020648967552,95.07042253521126,0.06058691005826596,7.469870512419792,8.345120226308344
HK,1993,11,PT-CB,23,20,1698,61.12772365602367,82.68551236749117,55.52510872088553,"[21, 19, 6, 5]",90.0313352552934,59.53691294537509,33.61607142857143,56.6290355967576,91.11897738446412,99.2605703048181,98.94366197183099,69.84838184593096,59.074779826538204,85.00707213578501
HK,1993,11,CT-Risk,23,20,1698,12.65770534860898,16.0188457008245,3.8095932889581454,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 6, 5]",12.703252032520325,12.78588667969199,12.5,0.3085735402808574,94.98525073746312,94.98525073746312,94.01408450704226,0.6151486797108067,12.10202820049359,15.063649222065065
HK,1993,1,CT-ConCM-CB,2,0,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,1,CT-ConCM,2,0,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,2,CT-ConCM-CB,4,2,366,88.06620209059233,98.63387978142076,88.87859128822984,[],100.0,95.1219512195122,57.142857142857146,78.57142857142857,97.5609756097561,100.0,100.0,87.04253214638972,100.0,100.0
HK,1993,2,CT-ConCM,4,2,366,71.3224580297751,93.16939890710383,70.51693474424393,[],99.0909090909091,58.53658536585366,28.571428571428573,63.37662337662338,79.26829268292683,85.36585365853658,93.81443298969072,70.4372349166167,71.42857142857143,97.67441860465115
HK,1993,3,CT-ConCM-CB,6,4,609,67.70850621921959,92.11822660098522,64.72725223883012,[0],99.37809467221233,54.05837664934026,0.0,51.97259539440314,99.18032786885246,100.0,100.0,68.20455655276345,86.23693379790942,97.81420765027322
HK,1993,3,CT-ConCM,6,4,609,67.91975624089837,90.64039408866995,67.452504875299,[0],97.10833828480888,58.096761295481805,0.0,53.92881468921641,95.90163934426229,95.9016393442623,97.94238683127571,69.03618853658637,74.00380107697181,95.08196721311475
HK,1993,4,CT-ConCM-CB,8,6,771,54.26075516313962,57.84695201037614,39.424612020046524,[0],56.292401969621906,54.45821671331467,50.0,39.33281155509911,99.04458598726114,99.36305732484077,98.76543209876543,56.305467589057606,65.35247259780975,87.02791461412151
HK,1993,4,CT-ConCM,8,6,771,54.93535126332776,63.94293125810635,43.769761668201895,[0],64.06102639710733,51.61935225909636,40.0,44.414863255562274,86.49681528662421,89.68152866242039,98.76543209876543,58.692154371224184,64.17218654229733,87.68472906403942
HK,1993,5,CT-ConCM-CB,10,8,783,50.082659078080766,48.91443167305236,24.33354971938499,"[0, 11]",54.59689159764094,1.2195121951219512,70.0,37.60332384760096,100.0,100.0,100.0,54.65467373338679,53.3141308496528,58.884565499351496
HK,1993,5,CT-ConCM,10,8,783,48.5302215870937,71.9029374201788,44.65226612150161,"[21, 16]",77.28345652099867,53.7984806077569,17.142857142857142,60.662776983867126,0.0,100.0,100.0,0.0,60.662776983867126,73.02204928664072
HK,1993,6,CT-ConCM-CB,12,10,964,15.304608585858587,16.07883817427386,4.401014791881665,"[0, 12, 8, 2, 11, 17, 3, 21, 16]",16.731060606060606,33.333333333333336,0.0,0.30303030303030304,90.3125,90.3125,82.87292817679558,0.6040338593374439,10.863925883034161,2.2988505747126435
HK,1993,6,CT-ConCM,12,10,964,9.491695668166257,18.25726141078838,4.572584140613072,"[0, 12, 2, 11, 17, 3, 21, 16]",21.82768865121806,1.5873015873015872,0.0,0.9138443256090314,52.38095238095238,52.38095238095239,88.95027624309392,1.796349327191895,11.91384432560903,2.554278416347382
HK,1993,7,CT-ConCM-CB,14,12,1057,13.945384972170686,10.596026490066226,5.0575714014187,"[0, 12, 8, 2, 11, 17, 3, 21, 16]",4.246212121212121,34.8008658008658,0.0,2.1660804473304474,84.62121212121212,85.45454545454545,83.87096774193549,4.2240366666674545,13.049522465326605,14.315352697095435
HK,1993,7,CT-ConCM,14,12,1057,7.903138528138528,7.473982970671712,2.4157746019343707,"[0, 12, 8, 2, 11, 17, 3, 21, 16, 22, 18]",2.462121212121212,19.666666666666664,0.0,1.0258838383838385,49.166666666666664,50.0,64.51612903225806,2.0098316667714817,10.946029046148471,9.54356846473029
HK,1993,8,CT-ConCM-CB,16,14,1223,12.233231707317074,13.000817661488142,4.568974701689137,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14]",15.955284552845528,0.0,20.0,0.0,97.8658536585366,97.86585365853658,95.78313253012048,0.0,16.652227417797214,29.422894985808895
HK,1993,8,CT-ConCM,16,14,1223,16.011417883687805,33.60588716271464,13.711319436756304,"[0, 11, 17, 21, 16, 22, 18, 14, 19]",41.47760216137886,1.4634146341463414,0.0,11.155906152786061,50.0,50.0,98.79518072289156,18.24174777970784,24.805661557845468,40.397350993377486
HK,1993,9,CT-ConCM-CB,18,16,1347,11.065943992773262,9.131403118040089,1.7114599285349668,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19]",14.169570267131244,0.0,16.666666666666668,0.0,99.59349593495935,99.59349593495934,99.19354838709677,0.0,6.7449648928307475,1.2264922322158627
HK,1993,9,CT-ConCM,18,16,1347,6.0245299036661475,10.170749814402376,1.8863686125436159,"[0, 12, 8, 2, 11, 17, 21, 16, 22, 13, 18, 14, 9, 19, 6]",15.491648323712951,0.0,0.0,0.6292221578845782,49.1869918699187,50.0,99.19354838709677,1.2425490683401987,8.34838736428859,8.66721177432543
HK,1993,10,CT-ConCM-CB,20,18,1414,5.255912786400591,5.374823196605375,1.4502321934567273,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 19, 6, 5]",1.5969802555168406,15.656565656565656,0.0,0.6210478771454381,46.96969696969697,46.96969696969697,92.53731343283582,1.225886700747036,12.173779246949978,12.24944320712695
HK,1993,10,CT-ConCM,20,18,1414,6.717856246596343,8.132956152758133,3.7022377959815356,"[0, 8, 11, 17, 21, 16, 22, 13, 18, 14, 19, 15, 6, 5]",4.163783130915113,17.53510716925351,0.0,2.161254415410078,47.72727272727273,50.0,98.50746268656717,4.1352505205168555,11.594537242730569,14.476614699331849
HK,1993,11,CT-ConCM-CB,23,20,1698,12.81262023855329,16.372202591283862,3.428545391086714,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 15, 6, 5, 20]",12.5,13.527180783817952,12.5,0.0,98.23008849557522,98.23008849557522,97.88732394366197,0.0,5.351071692535108,5.445544554455446
HK,1993,11,CT-ConCM,23,20,1698,12.467998847375531,16.195524146054183,3.976679812141687,"[0, 12, 8, 2, 11, 17, 3, 21, 16, 13, 18, 14, 9, 19, 15, 6, 5, 20]",12.878787878787879,13.3224971404491,11.30952380952381,0.38961038961038963,92.9905885658098,92.9905885658098,94.71830985915493,0.7759696348156399,10.277317996247334,6.8599717114568595
HK,1994,1,CT-J-CB,2,0,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,1,CT-J-Stale,2,0,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,1,PT-CB,2,0,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,1,CT-Risk,2,0,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,2,CT-J-CB,4,2,230,93.6547256097561,95.65217391304348,88.56150793650795,[],96.875,95.1219512195122,87.5,93.75,93.5594512195122,99.6875,99.50248756218906,93.65462868769073,100.0,100.0
HK,1994,2,CT-J-Stale,4,2,230,94.71798780487805,96.08695652173913,91.65814733536727,[],96.25,97.5609756097561,87.5,93.75,95.6859756097561,99.0625,98.50746268656717,94.70809527641426,100.0,100.0
HK,1994,2,PT-CB,4,2,230,96.9359756097561,96.52173913043478,91.43459915611814,[],97.5,95.1219512195122,100.0,100.0,93.8719512195122,99.6875,99.50248756218906,96.8391256486869,100.0,100.0
HK,1994,2,CT-Risk,4,2,230,93.6547256097561,95.65217391304348,88.56150793650795,[],96.875,95.1219512195122,87.5,93.75,93.5594512195122,99.6875,99.50248756218906,93.65462868769073,100.0,100.0
HK,1994,3,CT-J-CB,6,4,399,80.778175922993,93.48370927318295,72.41480868775552,[],98.13446969696969,62.9500580720093,81.25,77.56877903600466,87.19696969696969,100.0,100.0,82.10155966328956,93.20121951219512,95.65217391304348
HK,1994,3,CT-J-Stale,6,4,399,74.8119918699187,85.21303258145363,61.22814742739852,[22],89.375,47.5609756097561,87.5,62.21798780487805,100.0,100.0,100.0,76.70911055772213,83.4159044715447,93.04347826086956
HK,1994,3,PT-CB,6,4,399,81.08255903987612,95.73934837092732,76.66662348662966,[],98.75,81.99767711962835,62.5,90.37383855981417,62.5,100.0,100.0,73.89576873584396,96.32621951219512,96.08695652173913
HK,1994,3,CT-Risk,6,4,399,80.778175922993,93.48370927318295,72.41480868775552,[],98.13446969696969,62.9500580720093,81.25,77.56877903600466,87.19696969696969,100.0,100.0,82.10155966328956,93.20121951219512,95.65217391304348
HK,1994,4,CT-J-CB,8,6,406,68.39613194224475,90.88669950738915,59.330563077355734,[19],95.63446969696969,62.9500580720093,57.5,77.86150925632633,40.0,50.0,71.42857142857143,52.849490726946236,78.69168602400309,93.48370927318295
HK,1994,4,CT-J-Stale,8,6,406,52.92059312638581,65.02463054187191,40.737225206770724,"[22, 19]",65.3409090909091,46.34146341463415,50.0,53.894124168514416,50.0,50.0,71.42857142857143,51.87408296651994,75.64532520325203,87.21804511278195
HK,1994,4,PT-CB,8,6,406,70.1945412311266,93.8423645320197,64.79323798054915,[19],97.5,80.77816492450638,51.25,80.2593883081688,40.0,50.0,71.42857142857143,53.39085085149535,80.46772164150212,94.9874686716792
HK,1994,4,CT-Risk,8,6,406,68.39613194224475,90.88669950738915,59.330563077355734,[19],95.63446969696969,62.9500580720093,57.5,77.86150925632633,40.0,50.0,71.42857142857143,52.849490726946236,78.69168602400309,93.48370927318295
HK,1994,5,CT-J-CB,10,8,468,52.09386548410939,83.11965811965813,43.77828036916853,"[19, 6]",93.44696969696969,57.181571815718165,32.5,52.61733185513673,50.0,100.0,100.0,51.27528742358629,74.23318551367332,91.87192118226602
HK,1994,5,CT-J-Stale,10,8,468,42.679054027739554,55.34188034188035,24.95140655802588,"[21, 19]",58.134469696969695,35.173866961152044,41.0,29.16848966582198,96.72131147540983,100.0,100.0,44.820383361638775,54.06278046140851,74.38423645320196
HK,1994,5,PT-CB,10,8,468,60.54590187734429,88.88888888888889,55.86096350087442,"[19, 6]",97.8125,72.444672924481,38.5,68.10041013356562,30.327868852459016,100.0,100.0,41.96640088815729,70.07141042392566,95.07389162561576
HK,1994,5,CT-Risk,10,8,468,52.09386548410939,83.11965811965813,43.77828036916853,"[19, 6]",93.44696969696969,57.181571815718165,32.5,52.61733185513673,50.0,100.0,100.0,51.27528742358629,74.23318551367332,91.87192118226602
HK,1994,6,CT-J-CB,12,10,748,41.184625135708714,62.03208556149733,34.23426117323361,"[16, 19, 6]",67.17030978575565,46.84475416182733,17.0,29.48524443036638,99.68152866242039,100.0,100.0,45.50913779804214,43.52691109703304,75.21367521367522
HK,1994,6,CT-J-Stale,12,10,748,22.555886736214603,43.44919786096257,16.72270772831964,"[22, 16, 12, 13, 21, 19, 17, 6]",50.45454545454545,22.950819672131146,0.0,7.067064083457526,100.0,100.0,100.0,13.201191503577295,27.584686147186144,48.29059829059829
HK,1994,6,PT-CB,12,10,748,64.89681932807709,87.29946524064172,60.49521725095667,"[19, 6]",92.23195329087049,72.444672924481,38.5,59.15006854401097,93.63057324840764,100.0,100.0,72.49943134789443,60.36218975613219,88.24786324786325
HK,1994,6,CT-Risk,12,10,748,41.184625135708714,62.03208556149733,34.23426117323361,"[16, 19, 6]",67.17030978575565,46.84475416182733,17.0,29.48524443036638,99.68152866242039,100.0,100.0,45.50913779804214,43.52691109703304,75.21367521367522
HK,1994,7,CT-J-CB,14,12,919,29.044215921712645,48.5310119695321,19.026224628308082,"[16, 12, 21, 19, 17, 6, 11]",58.46666172365256,4.761904761904762,16.666666666666668,17.269064916794836,99.6951219512195,99.6951219512195,99.41520467836257,29.438780860437838,35.99787357784159,55.88235294117647
HK,1994,7,CT-J-Stale,14,12,919,18.00614110657609,27.421109902067464,7.486047160559929,"[22, 16, 12, 13, 21, 19, 17, 6, 11]",30.417195098413053,0.0,16.666666666666668,4.391310965802188,99.6951219512195,99.6951219512195,99.41520467836257,8.412091182150265,20.289918664568805,40.24064171122995
HK,1994,7,PT-CB,14,12,919,64.72075684544849,88.35690968443961,60.577151368981,"[19, 6]",93.28927165864016,71.07188870483553,37.73809523809524,61.32346138356911,85.10452961672473,100.0,100.0,71.28287836042988,64.72168542728495,86.89839572192514
HK,1994,7,CT-Risk,14,12,919,29.044215921712645,48.5310119695321,19.026224628308082,"[16, 12, 21, 19, 17, 6, 11]",58.46666172365256,4.761904761904762,16.666666666666668,17.269064916794836,99.6951219512195,99.6951219512195,99.41520467836257,29.438780860437838,36.204457610895034,56.14973262032086
HK,1994,8,CT-J-CB,16,14,941,26.20827713597055,22.635494155154092,10.419773714735072,"[22, 16, 12, 13, 21, 19, 17, 6, 11]",23.866486835105757,0.0,37.5,15.666602441109202,100.0,100.0,100.0,27.08924116464082,30.17504959106526,49.727965179542984
HK,1994,8,CT-J-Stale,16,14,941,14.256216344630978,4.782146652497343,3.043964958134508,"[22, 16, 12, 13, 21, 19, 17, 6, 11, 3]",2.762749445676275,0.0,26.785714285714285,2.0071043938639757,100.0,100.0,100.0,3.9352247194749483,21.43360021886648,32.752992383025024
HK,1994,8,PT-CB,16,14,941,68.91894756258097,88.09776833156216,65.03481295974882,"[19, 6]",92.77971751851275,70.79200066005343,53.30357142857143,64.47879721437826,100.0,100.0,100.0,78.4037800694006,64.47879721437825,87.81284004352557
HK,1994,8,CT-Risk,16,14,941,26.20827713597055,22.635494155154092,10.419773714735072,"[22, 16, 12, 13, 21, 19, 17, 6, 11]",23.866486835105757,0.0,37.5,15.666602441109202,100.0,100.0,100.0,27.08924116464082,30.749995478511146,51.142546245919476
HK,1994,9,CT-J-CB,18,16,1087,16.569159470087595,14.535418583256671,6.7205825916743205,"[22, 16, 12, 13, 21, 19, 17, 6, 11, 3, 9, 5]",0.6090169992609017,39.03995709305444,12.5,6.440317812269032,97.59989273263609,97.59989273263609,97.94520547945206,12.083295955466028,21.97616386966045,14.133900106269925
HK,1994,9,CT-J-Stale,18,16,1087,10.956939711526372,13.431462741490341,3.032450231375502,"[22, 16, 12, 13, 21, 19, 17, 6, 11, 3, 0, 9, 5, 7]",0.40502586844050265,39.03995709305444,0.0,0.12657058388765707,97.59989273263609,97.59989273263609,97.94520547945206,0.25281331159057174,25.970566652257947,22.210414452709884
HK,1994,9,PT-CB,18,16,1087,68.39205943482114,87.85648574057038,64.76664931571263,"[19, 6]",92.65232898348093,72.27337069616087,50.80357142857143,67.52667962899008,75.31509788146957,100.0,100.0,71.20855781139544,68.77667962899008,87.88522848034006
HK,1994,9,CT-Risk,18,16,1087,16.63691014759437,14.719411223551058,7.02125606133356,"[22, 16, 12, 13, 21, 19, 17, 6, 11, 3, 5]",0.8529194382852919,39.03995709305444,12.5,6.516537324464154,97.59989273263609,97.59989273263609,97.94520547945206,12.217348280326437,22.24293216234338,14.87778958554729
HK,1994,10,CT-J-CB,20,18,1297,10.0,16.191210485736317,2.912362332451123,"[22, 16, 12, 13, 21, 4, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1]",16.666666666666668,16.666666666666668,0.0,0.0,100.0,100.0,100.0,0.0,11.841494716521698,13.431462741490341
HK,1994,10,CT-J-Stale,20,18,1297,10.030303030303031,16.268311488049346,2.992515568612579,"[22, 16, 12, 13, 21, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1]",16.767676767676768,16.666666666666668,0.0,0.03367003367003367,100.0,100.0,100.0,0.06731740154830022,13.986980364179486,19.319227230910762
HK,1994,10,PT-CB,20,18,1297,62.7703852182738,85.27370855821125,58.77065875464071,"[19, 6, 5]",89.97356968394524,70.27295247220552,36.74107142857143,60.09672431660052,86.83333333333334,99.66666666666666,99.52380952380952,71.0324215247752,67.34706492109946,86.84452621895124
HK,1994,10,CT-Risk,20,18,1297,10.0,16.191210485736317,2.910109362496666,"[22, 16, 12, 13, 21, 4, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1]",16.666666666666668,16.666666666666668,0.0,0.0,100.0,100.0,100.0,0.0,11.13735693921319,13.247470101195951
HK,1994,11,CT-J-CB,23,20,1698,14.054405952104162,26.266195524146053,6.9133302640296606,"[22, 16, 12, 13, 21, 4, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1, 14]",29.421568627450984,12.554112554112553,0.0,1.8666666666666667,95.30600118835413,95.30600118835414,97.2568578553616,3.661616779257796,11.805037641687761,19.043947571318427
