dataset,stream,seed,contrast,metric,difference_pp
HK,U,1993,Q11-Q00,BA,40.115083058741746
HK,U,1994,Q11-Q00,BA,42.825268327525535
HK,U,1995,Q11-Q00,BA,43.05819064996445
HK,U,1993,Q11-Q00,tail,14.19642857142857
HK,U,1994,Q11-Q00,tail,29.107142857142858
HK,U,1995,Q11-Q00,tail,15.580357142857142
HK,U,1993,Q11-Q00,old,48.27600333466215
HK,U,1994,Q11-Q00,old,53.997023030501175
HK,U,1995,Q11-Q00,old,51.66540409594396
HK,U,1993,Q11-Q00,current,-14.29105211406096
HK,U,1994,Q11-Q00,current,-31.653096358978715
HK,U,1995,Q11-Q00,current,-14.323232323232332
HK,U,1993,Q11-Q00,HM,60.03662468784846
HK,U,1994,Q11-Q00,HM,55.84285852474467
HK,U,1995,Q11-Q00,HM,62.85706968011249
HK,U,1993,Q10-Q00,BA,33.833529490725404
HK,U,1994,Q10-Q00,BA,39.3331209612664
HK,U,1995,Q10-Q00,BA,39.737060574066405
HK,U,1993,Q10-Q00,tail,13.035714285714285
HK,U,1994,Q10-Q00,tail,25.639880952380953
HK,U,1995,Q10-Q00,tail,13.080357142857142
HK,U,1993,Q10-Q00,old,41.606789002829785
HK,U,1994,Q10-Q00,old,50.22913880738842
HK,U,1995,Q10-Q00,old,48.25822572078243
HK,U,1993,Q10-Q00,current,-17.98820058997049
HK,U,1994,Q10-Q00,current,-33.30699801288036
HK,U,1995,Q10-Q00,current,-17.070707070707073
HK,U,1993,Q10-Q00,HM,53.66613615267167
HK,U,1994,Q10-Q00,HM,52.955998820348064
HK,U,1995,Q10-Q00,HM,59.436594125095255
HK,U,1993,Q01-Q00,BA,-0.037466795319252455
HK,U,1994,Q01-Q00,BA,-1.3306982872200273
HK,U,1995,Q01-Q00,BA,-0.0716674629718117
HK,U,1993,Q01-Q00,tail,0.0
HK,U,1994,Q01-Q00,tail,0.0
HK,U,1995,Q01-Q00,tail,0.0
HK,U,1993,Q01-Q00,old,-0.3085735402808574
HK,U,1994,Q01-Q00,old,-1.8333333333333333
HK,U,1995,Q01-Q00,old,-0.08241758241758257
HK,U,1993,Q01-Q00,current,1.7699115044247833
HK,U,1994,Q01-Q00,current,2.0202020202020208
HK,U,1995,Q01-Q00,current,0.0
HK,U,1993,Q01-Q00,HM,-0.6151486797108067
HK,U,1994,Q01-Q00,HM,-3.594972937496641
HK,U,1995,Q01-Q00,HM,-0.16065950727737421
HK,U,1993,interaction,BA,6.319020363335595
