dataset,stream,mode,BA_mean,BA_sd,tail,old,current,fit_BA
HK,U,Q00,13.638071182097882,0.8522273313975305,9.375,1.1692192631217022,96.7637506419391,13.541322616829865
HK,U,Q10,51.27264152411728,4.149995537014264,26.626984126984127,47.86727044012192,73.97511541741977,67.76341533958968
HK,U,Q01,13.158127000260853,0.843631010557441,9.375,0.4277777777777778,98.0271218168147,12.948318652686245
HK,U,Q11,55.637585194175124,2.48827512647715,29.00297619047619,52.482029416824126,76.6746237098484,76.19635054233322
HK,U,Q11-Risk,55.555740956634544,2.1032545403217764,27.961309523809522,52.29598935173326,77.28741832264303,76.20584682651231
HK,R,Q00,12.734902232378637,0.3538942886380122,8.333333333333334,0.03888888888888889,97.37499118897695,12.839426709229594
HK,R,Q10,46.54301110047416,0.31759934658586675,23.080357142857142,42.663980729217336,72.40321357551967,61.05444437552748
HK,R,Q01,12.785815289040512,0.29575737307582667,8.333333333333334,0.0,98.02458388264392,12.807366383227128
HK,R,Q11,50.24742878269649,0.44032989913064047,25.0,46.664090178815144,74.13635280857214,69.50015058441186
ISIC,U,Q00,46.40107441273931,7.427014492009557,59.18803418803419,34.32688743664354,82.62363534102664,54.4357029098526
ISIC,U,Q10,56.95768484077073,1.8555386016656126,66.13247863247862,56.147885263738914,59.387083571866185,69.12927214031085
ISIC,U,Q01,39.09264391700765,9.647054127313524,53.739316239316246,24.141927404122526,83.94479345566303,47.41299689259816
ISIC,U,Q11,61.50189424977336,0.4064392979352524,70.77991452991454,61.618324575641644,61.152603272168484,75.5620857005206
ISIC,U,Q11-Risk,61.222884641495455,0.4443724454134735,70.77991452991454,61.24631176460446,61.152603272168484,75.69364954193956
ISIC,R,Q00,20.219997190105886,4.41166138492295,25.90811965811966,1.5277077777077779,76.2968654273002,22.003153354457748
ISIC,R,Q10,35.85209984732784,11.035926276947336,48.13034188034188,36.128186219649635,35.02384073036247,44.160626255238604
ISIC,R,Q01,20.04510924347881,3.756765867784936,23.237179487179485,0.528938028938029,78.59362288710115,21.95007636504502
ISIC,R,Q11,39.721748705709466,9.915882265619787,52.083333333333336,40.07220485879022,38.670380246467204,49.91971992577199
