dataset,seed,stream,mode,identity,valid_online_CIL,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,21,7,21,21,100.0,0.43950526854782673,21
HK,1993,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,22,1,113,87,76.99115044247787,0.1609686927923379,113
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,0,0,7,0,0.0,-0.5745307146172864,7
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,1,4,165,0,0.0,-0.17004173028758154,165
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,2,12,41,0,0.0,-0.504305829431337,41
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,3,8,153,0,0.0,-0.3073157844843111,153
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,4,2,182,0,0.0,-0.3652143205401824,182
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,5,11,61,0,0.0,-0.529129979596419,61
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,6,17,5,0,0.0,-0.315219710071717,5
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,7,3,157,0,0.0,-0.20227197105373224,157
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,8,21,4,0,0.0,-0.22941286661045093,4
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,9,16,8,0,0.0,-0.5526088287604015,8
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,10,22,21,0,0.0,-0.2378976083749238,21
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,11,13,160,0,0.0,-0.2573611747219756,160
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,12,18,33,0,0.0,-0.27031244342670757,33
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,13,14,60,0,0.0,-0.19762005110926026,60
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,14,9,164,0,0.0,-0.4228237437603874,164
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,15,19,2,0,0.0,-0.2524111495891699,2
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,16,15,123,0,0.0,-0.2468866667642361,123
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,17,6,1,0,0.0,-0.21815640092284863,1
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,18,5,1,0,0.0,-0.1964431989726999,1
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,19,20,66,0,0.0,-0.15207922740122434,66
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,20,10,150,150,100.0,0.523097487154299,150
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,21,7,21,21,100.0,0.4514454515889034,21
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,22,1,113,102,90.26548672566372,0.2715253136131775,113
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,0,0,7,2,28.571428571428573,-0.015657829047830547,7
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,1,4,165,133,80.60606060606061,0.0827781013580038,165
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,2,12,41,23,56.09756097560975,0.02154564984580427,41
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,3,8,153,145,94.77124183006536,0.1912396877467852,153
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,4,2,182,139,76.37362637362638,0.08462119016068602,182
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,5,11,61,12,19.672131147540984,-0.0401701734575078,61
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,6,17,5,3,60.0,-0.011098128726651054,5
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,7,3,157,102,64.96815286624204,0.01835494066715374,157
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,8,21,4,0,0.0,-0.04671742704978433,4
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,9,16,8,2,25.0,-0.06667013277479511,8
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,10,22,21,17,80.95238095238095,0.07512791138213884,21
