dataset,seed,method,original_label,age,arrival_task,first_recall,final_recall,first_to_final,max_to_final
HK,1993,CT-ConCM,0,10,1,100.0,0.0,100.0,100.0
HK,1993,CT-ConCM,1,0,11,88.49557522123894,88.49557522123894,,
HK,1993,CT-ConCM,2,8,3,100.0,0.0,100.0,100.0
HK,1993,CT-ConCM,3,7,4,92.99363057324841,0.0,92.99363057324841,94.26751592356688
HK,1993,CT-ConCM,4,10,1,100.0,3.0303030303030303,96.96969696969697,96.96969696969697
HK,1993,CT-ConCM,5,1,10,0.0,0.0,0.0,0.0
HK,1993,CT-ConCM,6,2,9,0.0,0.0,0.0,0.0
HK,1993,CT-ConCM,7,0,11,90.47619047619048,90.47619047619048,,
HK,1993,CT-ConCM,8,9,2,100.0,0.0,100.0,100.0
HK,1993,CT-ConCM,9,3,8,100.0,0.0,100.0,100.0
HK,1993,CT-ConCM,10,0,11,100.0,100.0,,
HK,1993,CT-ConCM,11,8,3,91.80327868852459,0.0,91.80327868852459,98.36065573770492
HK,1993,CT-ConCM,12,9,2,58.53658536585366,0.0,58.53658536585366,73.17073170731707
HK,1993,CT-ConCM,13,5,6,100.0,0.0,100.0,100.0
HK,1993,CT-ConCM,14,4,7,98.33333333333333,0.0,98.33333333333333,98.33333333333333
HK,1993,CT-ConCM,15,2,9,98.3739837398374,0.0,98.3739837398374,98.3739837398374
HK,1993,CT-ConCM,16,6,5,0.0,0.0,0.0,0.0
HK,1993,CT-ConCM,17,7,4,80.0,0.0,80.0,80.0
HK,1993,CT-ConCM,18,4,7,0.0,0.0,0.0,0.0
HK,1993,CT-ConCM,19,3,8,0.0,0.0,0.0,0.0
HK,1993,CT-ConCM,20,1,10,95.45454545454545,0.0,95.45454545454545,95.45454545454545
HK,1993,CT-ConCM,21,6,5,0.0,0.0,0.0,0.0
HK,1993,CT-ConCM,22,5,6,4.761904761904762,4.761904761904762,0.0,0.0
HK,1993,CT-J-Stale,0,10,1,100.0,0.0,100.0,100.0
HK,1993,CT-J-Stale,1,0,11,87.61061946902655,87.61061946902655,,
HK,1993,CT-J-Stale,2,8,3,100.0,0.0,100.0,100.0
HK,1993,CT-J-Stale,3,7,4,92.35668789808918,0.0,92.35668789808918,92.35668789808918
