dataset,seed,stream,from_task,to_task,split,version,label_a,label_b,distance
HK,1993,U,10,11,fit,pre,4,0,0.3771491705022259
HK,1993,U,10,11,fit,pre,12,0,0.08564967407562077
HK,1993,U,10,11,fit,pre,12,4,0.35951994283650085
HK,1993,U,10,11,fit,pre,8,0,0.3667258328077967
HK,1993,U,10,11,fit,pre,8,4,0.2428501997940236
HK,1993,U,10,11,fit,pre,8,12,0.35664654225341325
HK,1993,U,10,11,fit,pre,2,0,0.38557792475223535
HK,1993,U,10,11,fit,pre,2,4,0.30435943800301557
HK,1993,U,10,11,fit,pre,2,12,0.38938350678118994
HK,1993,U,10,11,fit,pre,2,8,0.25795141107111486
HK,1993,U,10,11,fit,pre,11,0,0.08719508280453239
HK,1993,U,10,11,fit,pre,11,4,0.367541346172986
HK,1993,U,10,11,fit,pre,11,12,0.0773116216913858
HK,1993,U,10,11,fit,pre,11,8,0.352628274584021
HK,1993,U,10,11,fit,pre,11,2,0.3986564677007051
HK,1993,U,10,11,fit,pre,17,0,0.31811887346982703
HK,1993,U,10,11,fit,pre,17,4,0.23657976868530614
HK,1993,U,10,11,fit,pre,17,12,0.30918162870676713
HK,1993,U,10,11,fit,pre,17,8,0.14729537929323627
HK,1993,U,10,11,fit,pre,17,2,0.29132220963324307
HK,1993,U,10,11,fit,pre,17,11,0.30695152518082114
HK,1993,U,10,11,fit,pre,3,0,0.3720390472350295
HK,1993,U,10,11,fit,pre,3,4,0.0718469220242274
HK,1993,U,10,11,fit,pre,3,12,0.3546181968265398
HK,1993,U,10,11,fit,pre,3,8,0.20778216581980113
HK,1993,U,10,11,fit,pre,3,2,0.29414389866192114
HK,1993,U,10,11,fit,pre,3,11,0.3586206916046767
HK,1993,U,10,11,fit,pre,3,17,0.21024469314355665
HK,1993,U,10,11,fit,pre,21,0,0.312281739064122
HK,1993,U,10,11,fit,pre,21,4,0.2522488424922809
HK,1993,U,10,11,fit,pre,21,12,0.3065029354568017
HK,1993,U,10,11,fit,pre,21,8,0.16659863751956788
HK,1993,U,10,11,fit,pre,21,2,0.2873315333820095
HK,1993,U,10,11,fit,pre,21,11,0.3039357373012342
HK,1993,U,10,11,fit,pre,21,17,0.12559061715420997
HK,1993,U,10,11,fit,pre,21,3,0.23403486736174092
HK,1993,U,10,11,fit,pre,16,0,0.09032973966925663
HK,1993,U,10,11,fit,pre,16,4,0.37662801821258235
HK,1993,U,10,11,fit,pre,16,12,0.10763774532278109
