dataset,seed,stream,mode,identity,valid_online_CIL,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,restricted_old_BA,restricted_old_accuracy,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,fit_BA,fit_accuracy,fit_val_BA_gap
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,1698,12.65770534860898,16.0188457008245,3.818703993653525,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 6, 5]",12.703252032520325,12.78588667969199,12.5,0.3085735402808574,12.273446045245286,15.134370579915135,94.98525073746312,94.98525073746312,94.01408450704226,0.6151486797108067,12.699303242824614,15.349655475736695,0.04159789421563431
HK,1993,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,1698,46.49123483933438,67.37338044758539,41.86158038779325,"[19, 6, 5, 20]",76.34706730898054,36.31944979244745,25.535714285714285,41.915362543110646,44.30425780738517,71.99434229137199,76.99705014749263,91.95476892822026,89.7887323943662,54.281284832382475,62.96091456019056,69.38865269022138,16.469679720856178
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,1698,12.620238553289727,16.07773851590106,3.333994290105008,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 15, 6, 5, 20]",12.5,12.895069532237674,12.5,0.0,11.857043594451815,15.417256011315416,96.7551622418879,96.7551622418879,96.12676056338029,0.0,12.786979450077535,15.496261545227972,0.16674089678780746
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,1698,52.772788407350724,74.55830388692578,47.3949636496693,"[21, 19, 6, 5, 20]",83.3641484208814,47.61278820436952,26.69642857142857,48.584576874943004,50.67789023551417,79.06647807637907,80.69419862340216,93.8780727630285,92.6056338028169,60.651773367559265,72.92909141595823,76.4404046327518,20.1563030086075
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,1698,53.314024239662814,75.20612485276797,47.97310293756113,"[21, 19, 6, 5]",83.94376625527633,48.72871412837221,26.69642857142857,49.0069980821019,50.93637701644356,79.27864214992928,82.0275319567355,93.8780727630285,92.6056338028169,61.3566988806969,72.72929055724723,76.67497434393783,19.41526631758441
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,1698,12.81262023855329,16.372202591283862,3.428545391086714,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 15, 6, 5, 20]",12.5,13.527180783817952,12.5,0.0,5.351071692535108,5.445544554455446,98.23008849557522,98.23008849557522,97.88732394366197,0.0,12.870859855432085,15.613546400820994,0.05823961687879553
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,1698,46.90883119129838,69.49352179034159,42.238498774507924,"[21, 19, 6, 5, 20]",78.92046271039729,37.25052877585291,23.348214285714285,41.86403492604034,44.604001363187216,73.6916548797737,80.54080629301869,97.19567354965585,96.47887323943662,55.0919897292001,63.63693231304213,70.48819821140594,16.728101121743748
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,1698,12.851096575606004,16.431095406360424,3.513276537550827,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 15, 6, 5, 20]",12.5,13.653603034134008,12.5,0.0,5.0,4.667609618104668,98.52507374631269,98.52507374631269,98.23943661971832,0.0,12.89243715611177,15.64286761471925,0.041340580505766056
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,1698,50.222085501867674,73.96937573616019,46.53076716800811,"[21, 19, 6, 5]",83.08720585230198,45.26269873615892,21.69642857142857,45.18578180797379,48.98676139504936,78.14710042432814,83.79744346116028,97.34513274336284,96.83098591549296,58.71233237347359,70.95026765934377,75.82465914088843,20.72818215747609
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,1698,14.054405952104162,26.266195524146053,6.9133302640296606,"[22, 16, 12, 13, 21, 4, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1, 14]",29.421568627450984,12.554112554112553,0.0,1.8666666666666667,11.805037641687761,19.043947571318427,95.30600118835413,95.30600118835414,97.2568578553616,3.661616779257796,14.077788753824368,27.063480428089726,0.02338280172020646
HK,1994,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,1698,53.387526913370564,75.3239104829211,48.684603600799846,"[19, 6, 5]",83.87651954174254,50.25455929350503,25.639880952380953,52.09580547405509,53.63212276047384,76.56129529683886,61.99900317547377,85.85858585858585,93.01745635910224,56.61761559960586,70.27160517997156,76.35244099105702,16.884078266600994
HK,1994,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,1698,12.723707664884135,23.26266195524146,5.9765840575628015,"[22, 16, 12, 13, 21, 4, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1, 14]",24.83823529411765,13.419913419913419,0.0,0.03333333333333333,9.727537952370675,15.188897455666925,97.32620320855615,97.32620320855615,98.25436408977556,0.06664384176115506,12.761137608590314,24.233983286908078,0.03742994370617936
