dataset,seed,task,method,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,restricted_old_BA,restricted_old_accuracy
HK,1993,1,C2,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,1,C3,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,2,C2,366,96.95121951219512,98.63387978142076,91.79767600820232,[],100.0,87.8048780487805,100.0,100.0,93.90243902439025,100.0,100.0,96.85534591194968,100.0,100.0
HK,1993,2,C3,366,96.95121951219512,98.63387978142076,91.79767600820232,[],100.0,87.8048780487805,100.0,100.0,93.90243902439025,100.0,100.0,96.85534591194968,100.0,100.0
HK,1993,3,C2,609,85.43534966965596,94.58128078817734,81.78210678210678,[],100.0,70.59176329468212,71.42857142857143,86.75958188153311,82.78688524590163,100.0,100.0,84.72669081108397,97.5609756097561,98.90710382513662
HK,1993,3,C3,609,85.43534966965596,94.58128078817734,81.78210678210678,[],100.0,70.59176329468212,71.42857142857143,86.75958188153311,82.78688524590163,100.0,100.0,84.72669081108397,97.5609756097561,98.90710382513662
HK,1994,1,C2,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,1,C3,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,2,C2,230,96.7797256097561,96.08695652173913,90.40184850311432,[],96.875,95.1219512195122,100.0,100.0,93.5594512195122,99.6875,99.50248756218906,96.6725733412089,100.0,100.0
HK,1994,2,C3,230,96.7797256097561,96.08695652173913,90.40184850311432,[],96.875,95.1219512195122,100.0,100.0,93.5594512195122,99.6875,99.50248756218906,96.6725733412089,100.0,100.0
HK,1994,3,C2,399,81.08255903987612,95.73934837092732,76.66662348662966,[],98.75,81.99767711962835,62.5,90.37383855981417,62.5,100.0,100.0,73.89576873584396,96.32621951219512,96.08695652173913
HK,1994,3,C3,399,81.08255903987612,95.73934837092732,76.66662348662966,[],98.75,81.99767711962835,62.5,90.37383855981417,62.5,100.0,100.0,73.89576873584396,96.32621951219512,96.08695652173913
