protocol_id,run_id,code_sha,checkpoint_sha,split,repeat_id,order_seed,train_seed,train_branch,eval_variant,session,seen_classes,old_classes,current_classes,head_index,original_label,n_images,n_lesions,recall,lesion_equal_recall
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,634c4187d463e6e807b084655acbca95a329d747a7fb75ac873d7a97a82a5d7a,test,1,1993,1993,B,M0,0,4,0,4,0,4,100,87,41.0,40.996168582375475
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,634c4187d463e6e807b084655acbca95a329d747a7fb75ac873d7a97a82a5d7a,test,1,1993,1993,B,M0,0,4,0,4,1,0,86,86,94.18604651162791,94.18604651162791
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,634c4187d463e6e807b084655acbca95a329d747a7fb75ac873d7a97a82a5d7a,test,1,1993,1993,B,M0,0,4,0,4,2,3,92,91,76.08695652173914,75.82417582417582
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,634c4187d463e6e807b084655acbca95a329d747a7fb75ac873d7a97a82a5d7a,test,1,1993,1993,B,M0,0,4,0,4,3,7,100,70,12.0,16.428571428571427
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,634c4187d463e6e807b084655acbca95a329d747a7fb75ac873d7a97a82a5d7a,test,1,1993,1993,B,M1,0,4,0,4,0,4,100,87,41.0,40.996168582375475
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,634c4187d463e6e807b084655acbca95a329d747a7fb75ac873d7a97a82a5d7a,test,1,1993,1993,B,M1,0,4,0,4,1,0,86,86,94.18604651162791,94.18604651162791
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,634c4187d463e6e807b084655acbca95a329d747a7fb75ac873d7a97a82a5d7a,test,1,1993,1993,B,M1,0,4,0,4,2,3,92,91,76.08695652173914,75.82417582417582
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,634c4187d463e6e807b084655acbca95a329d747a7fb75ac873d7a97a82a5d7a,test,1,1993,1993,B,M1,0,4,0,4,3,7,100,70,12.0,16.428571428571427
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M0,1,6,4,2,0,4,100,87,34.0,32.95019157088122
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M0,1,6,4,2,1,0,86,86,82.55813953488372,82.55813953488372
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M0,1,6,4,2,2,3,92,91,48.91304347826087,49.45054945054945
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M0,1,6,4,2,3,7,100,70,12.0,16.428571428571427
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M0,1,6,4,2,4,5,100,84,53.0,55.55555555555556
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M0,1,6,4,2,5,6,100,78,16.0,19.871794871794872
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M1,1,6,4,2,0,4,100,87,17.0,15.134099616858238
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M1,1,6,4,2,1,0,86,86,73.25581395348837,73.25581395348837
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M1,1,6,4,2,2,3,92,91,27.173913043478258,27.472527472527474
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M1,1,6,4,2,3,7,100,70,10.0,14.285714285714285
isic19_fopro_s1_documented_lesion_disjoint_v2,q8m7,6d8bd3e700924c864e229c47efe5f108ce728c78,b32d500daccbec925c0839ee6a0812d42f1bf43f7d6497f8ba07c8b8d0bce096,test,1,1993,1993,B,M1,1,6,4,2,4,5,100,84,77.0,77.57936507936508
