train_seed,eval_variant,original_label,first_session,eligible,first_recall,final_recall,first_minus_final,max_seen_minus_final
1993,M0,0,0,True,94.18604651162791,75.5813953488372,18.604651162790702,18.604651162790702
1993,M0,1,2,False,36.04651162790697,36.04651162790697,,
1993,M0,2,2,False,23.0,23.0,,
1993,M0,3,0,True,76.08695652173914,47.82608695652174,28.260869565217398,28.260869565217398
1993,M0,4,0,True,41.0,28.999999999999996,12.000000000000004,12.000000000000004
1993,M0,5,1,True,53.0,28.999999999999996,24.000000000000004,24.000000000000004
1993,M0,6,1,True,16.0,32.0,-16.0,0.0
1993,M0,7,0,True,12.0,12.0,0.0,0.0
1993,M1,0,0,True,94.18604651162791,79.06976744186046,15.116279069767444,15.116279069767444
1993,M1,1,2,False,25.581395348837212,25.581395348837212,,
1993,M1,2,2,False,16.0,16.0,,
1993,M1,3,0,True,76.08695652173914,50.0,26.08695652173914,26.08695652173914
1993,M1,4,0,True,41.0,28.999999999999996,12.000000000000004,12.000000000000004
1993,M1,5,1,True,77.0,31.0,46.0,46.0
1993,M1,6,1,True,48.0,32.0,16.0,16.0
1993,M1,7,0,True,12.0,12.0,0.0,0.0
1993,M2,0,0,True,94.18604651162791,61.627906976744185,32.55813953488372,32.55813953488372
1993,M2,1,2,False,13.953488372093023,13.953488372093023,,
1993,M2,2,2,False,3.0,3.0,,
1993,M2,3,0,True,76.08695652173914,39.130434782608695,36.956521739130444,36.956521739130444
1993,M2,4,0,True,41.0,55.00000000000001,-14.000000000000007,5.999999999999993
1993,M2,5,1,True,1.0,28.000000000000004,-27.000000000000004,0.0
1993,M2,6,1,True,0.0,91.0,-91.0,0.0
1993,M2,7,0,True,12.0,51.0,-39.0,0.0
1993,M3,0,0,True,94.18604651162791,61.627906976744185,32.55813953488372,32.55813953488372
1993,M3,1,2,False,13.953488372093023,13.953488372093023,,
1993,M3,2,2,False,4.0,4.0,,
1993,M3,3,0,True,76.08695652173914,39.130434782608695,36.956521739130444,36.956521739130444
1993,M3,4,0,True,41.0,55.00000000000001,-14.000000000000007,3.999999999999993
1993,M3,5,1,True,34.0,28.000000000000004,5.9999999999999964,5.9999999999999964
1993,M3,6,1,True,22.0,91.0,-69.0,0.0
1993,M3,7,0,True,12.0,51.0,-39.0,0.0
1994,M0,0,1,True,46.51162790697674,27.906976744186046,18.604651162790695,18.604651162790695
1994,M0,1,1,True,29.069767441860467,15.11627906976744,13.953488372093027,13.953488372093027
1994,M0,2,2,False,97.0,97.0,,
1994,M0,3,0,True,82.6086956521739,2.1739130434782608,80.43478260869564,80.43478260869564
1994,M0,4,0,True,42.0,0.0,42.0,42.0
1994,M0,5,0,True,42.0,0.0,42.0,42.0
1994,M0,6,2,False,7.000000000000001,7.000000000000001,,
1994,M0,7,0,True,26.0,10.0,16.0,16.0
1994,M1,0,1,True,25.581395348837212,26.744186046511626,-1.1627906976744136,0.0
1994,M1,1,1,True,12.790697674418606,12.790697674418606,0.0,0.0
1994,M1,2,2,False,97.0,97.0,,
1994,M1,3,0,True,82.6086956521739,2.1739130434782608,80.43478260869564,80.43478260869564
1994,M1,4,0,True,42.0,0.0,42.0,42.0
1994,M1,5,0,True,42.0,0.0,42.0,57.99999999999999
1994,M1,6,2,False,10.0,10.0,,
1994,M1,7,0,True,26.0,10.0,16.0,25.0
1994,M2,0,1,True,0.0,66.27906976744185,-66.27906976744185,0.0
1994,M2,1,1,True,2.3255813953488373,55.81395348837209,-53.48837209302326,0.0
1994,M2,2,2,False,0.0,0.0,,
1994,M2,3,0,True,82.6086956521739,6.521739130434782,76.08695652173913,76.08695652173913
1994,M2,4,0,True,42.0,44.0,-2.0,8.0
1994,M2,5,0,True,42.0,53.0,-11.0,10.0
1994,M2,6,2,False,0.0,0.0,,
1994,M2,7,0,True,26.0,54.0,-28.0,0.0
1994,M3,0,1,True,0.0,66.27906976744185,-66.27906976744185,0.0
1994,M3,1,1,True,1.1627906976744187,54.65116279069767,-53.48837209302325,0.0
1994,M3,2,2,False,1.0,1.0,,
1994,M3,3,0,True,82.6086956521739,6.521739130434782,76.08695652173913,76.08695652173913
1994,M3,4,0,True,42.0,44.0,-2.0,8.0
1994,M3,5,0,True,42.0,53.0,-11.0,10.0
1994,M3,6,2,False,0.0,0.0,,
1994,M3,7,0,True,26.0,54.0,-28.0,0.0
1995,M0,0,0,True,87.20930232558139,36.04651162790697,51.16279069767442,51.16279069767442
1995,M0,1,0,True,68.6046511627907,9.30232558139535,59.30232558139535,59.30232558139535
1995,M0,2,2,False,100.0,100.0,,
1995,M0,3,0,True,64.13043478260869,3.260869565217391,60.8695652173913,60.8695652173913
1995,M0,4,1,True,12.0,0.0,12.0,12.0
1995,M0,5,1,True,12.0,0.0,12.0,12.0
1995,M0,6,0,True,44.0,14.000000000000002,30.0,39.0
1995,M0,7,2,False,14.000000000000002,14.000000000000002,,
1995,M1,0,0,True,87.20930232558139,37.2093023255814,49.99999999999999,49.99999999999999
1995,M1,1,0,True,68.6046511627907,12.790697674418606,55.81395348837209,55.81395348837209
1995,M1,2,2,False,100.0,100.0,,
1995,M1,3,0,True,64.13043478260869,3.260869565217391,60.8695652173913,60.8695652173913
1995,M1,4,1,True,26.0,0.0,26.0,26.0
1995,M1,5,1,True,17.0,0.0,17.0,17.0
1995,M1,6,0,True,44.0,14.000000000000002,30.0,33.0
1995,M1,7,2,False,13.0,13.0,,
1995,M2,0,0,True,87.20930232558139,69.76744186046511,17.441860465116278,17.441860465116278
1995,M2,1,0,True,68.6046511627907,48.837209302325576,19.767441860465127,19.767441860465127
1995,M2,2,2,False,0.0,0.0,,
1995,M2,3,0,True,64.13043478260869,18.478260869565215,45.65217391304347,45.65217391304347
1995,M2,4,1,True,0.0,73.0,-73.0,0.0
1995,M2,5,1,True,0.0,39.0,-39.0,0.0
1995,M2,6,0,True,44.0,78.0,-34.0,0.0
1995,M2,7,2,False,0.0,0.0,,
1995,M3,0,0,True,87.20930232558139,69.76744186046511,17.441860465116278,17.441860465116278
1995,M3,1,0,True,68.6046511627907,48.837209302325576,19.767441860465127,19.767441860465127
1995,M3,2,2,False,0.0,0.0,,
1995,M3,3,0,True,64.13043478260869,18.478260869565215,45.65217391304347,45.65217391304347
1995,M3,4,1,True,0.0,73.0,-73.0,0.0
1995,M3,5,1,True,1.0,39.0,-38.0,0.0
1995,M3,6,0,True,44.0,78.0,-34.0,0.0
1995,M3,7,2,False,0.0,0.0,,
