train_seed,eval_variant,Final_BA,Average_BA,Incremental_Average_BA,tail_rank2,old_tail_rank2,Final_Lesion_BA,forgetting_eligible_classes,forgetting_mean,tail_forgetting_eligible_classes,tail_forgetting_mean
1993,M0,35.55674924165824,44.151176834063584,38.3176398719245,22.0,22.0,36.40678126793102,6,13.810920121334684,2,0.0
1993,M1,34.331395348837205,44.07375575778002,38.20150825749916,22.0,22.0,35.12665037878101,6,19.2005392652511,2,8.0
1993,M2,42.83897876643074,46.404168071003255,41.69712672733401,71.0,71.0,42.677045806679615,6,12.585776879002362,2,0.0
1993,M3,42.96397876643074,48.00262610942591,44.09481378496798,71.0,71.0,42.80591178606105,6,13.25244354566903,2,0.0
1994,M0,19.899646107178967,35.02300303336704,28.458417593528818,8.5,10.0,20.09124301934779,6,35.49882035726323,1,16.0
1994,M1,19.83859959555106,36.16010841478485,30.16407566565554,10.0,10.0,20.12904436528867,6,34.2391304347826,1,25.0
1994,M2,34.95184529828109,39.37643242332322,34.9885616784631,27.0,54.0,35.776369605735084,6,15.681159420289854,1,0.0
1994,M3,34.93149646107179,39.36543646781261,34.972067745197165,27.0,54.0,35.756426061307,6,15.681159420289854,1,0.0
1995,M0,22.076213346814964,44.35539546118414,33.54004465790361,14.000000000000002,14.000000000000002,22.973075858250276,6,39.055780249410184,1,39.0
1995,M1,22.532608695652172,44.22143579373104,33.33910515672396,13.5,14.000000000000002,23.386281838316723,6,40.447253117627234,1,33.0
1995,M2,40.88536400404449,51.219933153578246,43.83685119649478,39.0,78.0,41.34722096768508,6,13.810246039770812,1,0.0
1995,M3,40.88536400404449,51.16437759802269,43.75351786316145,39.0,78.0,41.34722096768508,6,13.810246039770812,1,0.0
