comparison,n,delta_AccT_mean,delta_AccT_std,delta_AccT,delta_old_acc_mean,delta_old_acc_std,delta_old_acc,delta_current_acc_mean,delta_current_acc_std,delta_current_acc,delta_HM_old_current_mean,delta_HM_old_current_std,delta_HM_old_current,delta_old_to_current_mean,delta_old_to_current_std,delta_old_to_current,delta_current_to_old_mean,delta_current_to_old_std,delta_current_to_old
locked_nc_dsm_aux lambda=0.1 vs Locked NC-ConCM,3,7.3699754793018215,0.8398043279135122,7.3700+/-0.8398,5.839608229096922,1.244267821535282,5.8396+/-1.2443,12.840436736060331,7.3494877472096345,12.8404+/-7.3495,8.13449331671827,1.2608112528502187,8.1345+/-1.2608,-2.7954993530797942,5.485517716153643,-2.7955+/-5.4855,-10.04863840177932,8.861816867196547,-10.0486+/-8.8618
locked_nc_dsm_aux lambda=0.2 vs Locked NC-ConCM,3,8.66301321417208,0.5896896821810885,8.6630+/-0.5897,6.454311928041162,2.4171053721132196,6.4543+/-2.4171,16.678838051563066,8.715947774753046,16.6788+/-8.7159,9.644982568265858,1.6977891920397865,9.6450+/-1.6978,-3.5185303042408633,7.506040511710734,-3.5185+/-7.5060,-13.037782817069745,11.665364580398846,-13.0378+/-11.6654
Pure DSM-ConCM vs locked_nc_dsm_aux lambda=0.1,3,10.473921726731566,4.4156675906103295,10.4739+/-4.4157,14.66889622818145,9.028564259736262,14.6689+/-9.0286,-14.07951573188994,30.975643048961846,-14.0795+/-30.9756,-0.6331051863945211,15.8737389055405,-0.6331+/-15.8737,-18.006404011162783,7.156015352782332,-18.0064+/-7.1560,16.52062139123227,36.05507189973231,16.5206+/-36.0551
Pure DSM-ConCM vs Locked NC-ConCM,3,17.843897206033386,4.511032018675531,17.8439+/-4.5110,20.508504457278374,10.260757693170676,20.5085+/-10.2608,-1.2390789958296082,38.31410854475418,-1.2391+/-38.3141,7.5013881303237495,17.132817218010516,7.5014+/-17.1328,-20.801903364242577,12.230990605164347,-20.8019+/-12.2310,6.471982989452954,44.88547949306071,6.4720+/-44.8855
