seed,comparison,delta_AccT,delta_old_acc,delta_current_acc,delta_HM_old_current,delta_old_to_current,delta_current_to_old
1,locked_nc_dsm_aux lambda=0.1 vs Locked NC-ConCM,8.338848444738588,5.595667870036095,15.880893300248147,8.952300467750618,3.2490974729241877,-13.399503722084368
1,locked_nc_dsm_aux lambda=0.2 vs Locked NC-ConCM,8.074123097286567,4.061371841155228,19.106699751861044,8.603928561561432,5.144404332129962,-16.625310173697272
1,Pure DSM-ConCM vs locked_nc_dsm_aux lambda=0.1,10.787557908669747,14.440433212996396,0.7444168734491257,10.473602036635626,-12.36462093862816,-0.744416873449131
1,Pure DSM-ConCM vs Locked NC-ConCM,19.126406353408335,20.03610108303249,16.625310173697272,19.425902504386244,-9.115523465703973,-14.1439205955335
2,locked_nc_dsm_aux lambda=0.1 vs Locked NC-ConCM,6.920684292379477,4.735376044568241,18.181818181818187,8.7686806351821,-4.178272980501397,-16.74641148325359
2,locked_nc_dsm_aux lambda=0.2 vs Locked NC-ConCM,9.253499222395028,6.406685236768801,23.923444976076567,11.604134976979246,-7.613741875580317,-22.48803827751196
2,Pure DSM-ConCM vs locked_nc_dsm_aux lambda=0.1,5.909797822706061,5.756731662024144,6.698564593301441,6.441145006363314,-15.598885793871862,-7.655502392344498
2,Pure DSM-ConCM vs Locked NC-ConCM,12.830482115085537,10.492107706592385,24.880382775119628,15.209825641545414,-19.77715877437326,-24.401913875598087
3,locked_nc_dsm_aux lambda=0.1 vs Locked NC-ConCM,6.8503937007874,7.1877807726864305,4.4585987261146585,6.682498847222092,-7.457322551662173,0.0
3,locked_nc_dsm_aux lambda=0.2 vs Locked NC-ConCM,8.661417322834644,8.894878706199457,7.00636942675159,8.726884166256895,-8.086253369272235,0.0
3,Pure DSM-ConCM vs locked_nc_dsm_aux lambda=0.1,14.72440944881889,23.80952380952381,-49.681528662420384,-18.814062602182503,-26.05570530098832,57.961783439490446
3,Pure DSM-ConCM vs Locked NC-ConCM,21.57480314960629,30.99730458221024,-45.222929936305725,-12.13156375496041,-33.513027852650495,57.961783439490446
