seed,branch,session,n_train_images,batches_per_epoch,epochs,optimizer_steps,status
1993,B,0,12320,257,10,2570,NOT_RUN_BLOCKED_BUDGET
1993,B,1,300,7,10,70,NOT_RUN_BLOCKED_BUDGET
1993,B,2,6098,128,10,1280,NOT_RUN_BLOCKED_BUDGET
1993,C,0,12320,257,10,2570,NOT_RUN_BLOCKED_BUDGET
1993,C,1,300,7,10,70,NOT_RUN_BLOCKED_BUDGET
1993,C,2,6098,128,10,1280,NOT_RUN_BLOCKED_BUDGET
1994,B,0,2047,43,10,430,NOT_RUN_BLOCKED_BUDGET
1994,B,1,13792,288,10,2880,NOT_RUN_BLOCKED_BUDGET
1994,B,2,2879,60,10,600,NOT_RUN_BLOCKED_BUDGET
1994,C,0,2047,43,10,430,NOT_RUN_BLOCKED_BUDGET
1994,C,1,13792,288,10,2880,NOT_RUN_BLOCKED_BUDGET
1994,C,2,2879,60,10,600,NOT_RUN_BLOCKED_BUDGET
1995,B,0,15142,316,10,3160,NOT_RUN_BLOCKED_BUDGET
1995,B,1,714,15,10,150,NOT_RUN_BLOCKED_BUDGET
1995,B,2,2862,60,10,600,NOT_RUN_BLOCKED_BUDGET
1995,C,0,15142,316,10,3160,NOT_RUN_BLOCKED_BUDGET
1995,C,1,714,15,10,150,NOT_RUN_BLOCKED_BUDGET
1995,C,2,2862,60,10,600,NOT_RUN_BLOCKED_BUDGET
