method,order_seed,session,seen_classes,old_classes,current_classes,split,predictor,scope,n_images,n_classes,correct_sample_weighted,correct_class_macro,to_other_sample_weighted,to_other_class_macro,wrong_within_sample_weighted,wrong_within_class_macro,parent_id,core
A-CB,1995,1,6,4,2,val,A1_fixed_analytic,old,147,4,63.26530612244898,65.17612455112456,15.646258503401361,14.952631827631826,21.08843537414966,19.87124362124362,,True
A-U,1995,2,8,6,2,val,A1_fixed_analytic,current,70,2,45.714285714285715,34.78260869565217,47.14285714285714,54.80072463768116,7.142857142857142,10.416666666666668,,True
A-U,1995,2,8,6,2,val,A1_fixed_analytic,old,225,6,27.111111111111114,24.395986895986898,32.88888888888889,33.901175181662985,40.0,41.70283792235012,,True
A-CB,1995,2,8,6,2,val,A1_fixed_analytic,current,70,2,45.714285714285715,46.7391304347826,50.0,47.01086956521739,4.285714285714286,6.25,,True
A-CB,1995,2,8,6,2,val,A1_fixed_analytic,old,225,6,56.888888888888886,58.416641312982776,8.0,7.9087090672456535,35.11111111111111,33.67464961977157,,True
S-J-U,1993,0,4,0,4,val,A1_fixed_analytic,current,149,4,41.61073825503356,36.112804878048784,0.0,0.0,58.38926174496645,63.88719512195122,1993,True
S-J-U,1993,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1993,True
S-J-CB,1993,0,4,0,4,val,A1_fixed_analytic,current,149,4,77.85234899328859,75.02725424981523,0.0,0.0,22.14765100671141,24.97274575018477,1993,True
S-J-CB,1993,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1993,True
S-M-U,1993,0,4,0,4,val,A1_fixed_analytic,current,149,4,44.966442953020135,39.22256097560975,0.0,0.0,55.033557046979865,60.77743902439025,1993,False
S-M-U,1993,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1993,False
S-M-CB,1993,0,4,0,4,val,A1_fixed_analytic,current,149,4,77.85234899328859,75.98946784922394,0.0,0.0,22.14765100671141,24.010532150776054,1993,False
S-M-CB,1993,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1993,False
S-F-U,1993,0,4,0,4,val,A1_fixed_analytic,current,149,4,35.57046979865772,30.53353658536585,0.0,0.0,64.42953020134227,69.46646341463415,1993,False
S-F-U,1993,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1993,False
S-F-CB,1993,0,4,0,4,val,A1_fixed_analytic,current,149,4,66.44295302013423,63.85716925351071,0.0,0.0,33.557046979865774,36.14283074648929,1993,False
S-F-CB,1993,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1993,False
S-J-U,1993,1,6,4,2,val,A1_fixed_analytic,current,63,2,0.0,0.0,100.0,100.0,0.0,0.0,1993,True
S-J-U,1993,1,6,4,2,val,A1_fixed_analytic,old,149,4,41.61073825503356,36.112804878048784,0.0,0.0,58.38926174496645,63.88719512195122,1993,True
S-J-CB,1993,1,6,4,2,val,A1_fixed_analytic,current,63,2,66.66666666666666,69.9064449064449,31.746031746031743,28.170478170478177,1.5873015873015872,1.9230769230769231,1993,True
S-J-CB,1993,1,6,4,2,val,A1_fixed_analytic,old,149,4,68.45637583892618,66.47126755358462,10.06711409395973,10.358924611973393,21.476510067114095,23.16980783444198,1993,True
S-M-U,1993,1,6,4,2,val,A1_fixed_analytic,current,63,2,0.0,0.0,100.0,100.0,0.0,0.0,1993,False
S-M-U,1993,1,6,4,2,val,A1_fixed_analytic,old,149,4,44.29530201342282,38.59756097560976,0.0,0.0,55.70469798657718,61.40243902439024,1993,False
S-M-CB,1993,1,6,4,2,val,A1_fixed_analytic,current,63,2,68.25396825396825,71.82952182952182,31.746031746031743,28.170478170478177,0.0,0.0,1993,False
S-M-CB,1993,1,6,4,2,val,A1_fixed_analytic,old,149,4,72.48322147651007,70.66426459719143,9.395973154362416,9.821230598669624,18.120805369127517,19.514504804138948,1993,False
S-F-U,1993,1,6,4,2,val,A1_fixed_analytic,current,63,2,0.0,0.0,100.0,100.0,0.0,0.0,1993,False
S-F-U,1993,1,6,4,2,val,A1_fixed_analytic,old,149,4,35.57046979865772,30.53353658536585,0.0,0.0,64.42953020134227,69.46646341463415,1993,False
S-F-CB,1993,1,6,4,2,val,A1_fixed_analytic,current,63,2,66.66666666666666,69.33471933471932,30.158730158730158,26.819126819126822,3.1746031746031744,3.8461538461538463,1993,False
S-F-CB,1993,1,6,4,2,val,A1_fixed_analytic,old,149,4,59.73154362416108,58.14578713968959,10.738255033557047,10.567257945306725,29.53020134228188,31.286954915003694,1993,False
S-J-U,1993,2,8,6,2,val,A1_fixed_analytic,current,83,2,62.65060240963856,61.01645123384254,31.32530120481928,32.491186839012926,6.024096385542169,6.492361927144535,1993,True
S-J-U,1993,2,8,6,2,val,A1_fixed_analytic,old,212,6,21.69811320754717,17.613636363636363,45.75471698113208,46.36890621646719,32.54716981132076,36.017457419896445,1993,True
S-J-CB,1993,2,8,6,2,val,A1_fixed_analytic,current,83,2,55.42168674698795,55.28789659224442,40.963855421686745,41.18683901292597,3.614457831325301,3.525264394829612,1993,True
S-J-CB,1993,2,8,6,2,val,A1_fixed_analytic,old,212,6,63.20754716981132,63.86958935739424,11.320754716981133,11.389162273308614,25.471698113207548,24.741248369297153,1993,True
S-M-U,1993,2,8,6,2,val,A1_fixed_analytic,current,83,2,61.44578313253012,59.66509988249119,32.53012048192771,34.1069330199765,6.024096385542169,6.227967097532315,1993,False
S-M-U,1993,2,8,6,2,val,A1_fixed_analytic,old,212,6,23.11320754716981,18.863636363636363,40.09433962264151,39.937571035132,36.79245283018868,41.198792601231624,1993,False
S-M-CB,1993,2,8,6,2,val,A1_fixed_analytic,current,83,2,51.80722891566265,52.02702702702703,43.373493975903614,43.09635722679201,4.819277108433735,4.876615746180963,1993,False
S-M-CB,1993,2,8,6,2,val,A1_fixed_analytic,old,212,6,68.39622641509435,68.71436142777605,8.018867924528301,8.310435627508799,23.58490566037736,22.975202944715143,1993,False
S-F-U,1993,2,8,6,2,val,A1_fixed_analytic,current,83,2,57.831325301204814,56.66862514688602,34.93975903614458,36.01645123384254,7.228915662650602,7.314923619271446,1993,False
S-F-U,1993,2,8,6,2,val,A1_fixed_analytic,old,212,6,20.28301886792453,16.325757575757578,41.9811320754717,41.733305239402796,37.735849056603776,41.94093718483962,1993,False
S-F-CB,1993,2,8,6,2,val,A1_fixed_analytic,current,83,2,51.80722891566265,51.7626321974148,48.19277108433735,48.2373678025852,0.0,0.0,1993,False
S-F-CB,1993,2,8,6,2,val,A1_fixed_analytic,old,212,6,53.77358490566038,55.13498723864577,14.622641509433961,14.09902355024306,31.60377358490566,30.76598921111116,1993,False
S-J-U,1994,0,4,0,4,val,A1_fixed_analytic,current,142,4,44.36619718309859,39.41990771259064,0.0,0.0,55.633802816901415,60.58009228740936,1994,True
S-J-U,1994,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1994,True
S-J-CB,1994,0,4,0,4,val,A1_fixed_analytic,current,142,4,59.859154929577464,59.184382553285,0.0,0.0,40.140845070422536,40.815617446715,1994,True
S-J-CB,1994,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1994,True
S-M-U,1994,0,4,0,4,val,A1_fixed_analytic,current,142,4,45.07042253521127,40.09558338826631,0.0,0.0,54.929577464788736,59.904416611733694,1994,False
S-M-U,1994,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1994,False
S-M-CB,1994,0,4,0,4,val,A1_fixed_analytic,current,142,4,61.97183098591549,61.044138650845966,0.0,0.0,38.028169014084504,38.955861349154034,1994,False
S-M-CB,1994,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1994,False
S-F-U,1994,0,4,0,4,val,A1_fixed_analytic,current,142,4,44.36619718309859,39.41990771259064,0.0,0.0,55.633802816901415,60.58009228740936,1994,False
S-F-U,1994,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1994,False
S-F-CB,1994,0,4,0,4,val,A1_fixed_analytic,current,142,4,60.56338028169014,59.84481432652164,0.0,0.0,39.436619718309856,40.15518567347836,1994,False
S-F-CB,1994,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1994,False
S-J-U,1994,1,6,4,2,val,A1_fixed_analytic,current,81,2,81.48148148148148,79.72972972972974,0.0,0.0,18.51851851851852,20.27027027027027,1994,True
S-J-U,1994,1,6,4,2,val,A1_fixed_analytic,old,142,4,4.225352112676056,3.719512195121952,85.91549295774648,87.08470665787739,9.859154929577464,9.195781147000659,1994,True
S-J-CB,1994,1,6,4,2,val,A1_fixed_analytic,current,81,2,69.1358024691358,68.58108108108108,19.753086419753085,20.331695331695332,11.11111111111111,11.087223587223589,1994,True
S-J-CB,1994,1,6,4,2,val,A1_fixed_analytic,old,142,4,54.929577464788736,54.76365084596792,11.267605633802818,11.636178861788617,33.80281690140845,33.60017029224346,1994,True
S-M-U,1994,1,6,4,2,val,A1_fixed_analytic,current,81,2,81.48148148148148,79.72972972972974,0.0,0.0,18.51851851851852,20.27027027027027,1994,False
S-M-U,1994,1,6,4,2,val,A1_fixed_analytic,old,142,4,5.633802816901409,4.954268292682927,83.80281690140845,85.24019446275544,10.56338028169014,9.805537244561634,1994,False
S-M-CB,1994,1,6,4,2,val,A1_fixed_analytic,current,81,2,67.90123456790124,67.22972972972974,20.98765432098765,21.46805896805897,11.11111111111111,11.302211302211303,1994,False
S-M-CB,1994,1,6,4,2,val,A1_fixed_analytic,old,142,4,54.22535211267606,54.138650845967916,11.971830985915492,12.311854537464292,33.80281690140845,33.549494616567785,1994,False
S-F-U,1994,1,6,4,2,val,A1_fixed_analytic,current,81,2,77.77777777777779,75.67567567567568,0.0,0.0,22.22222222222222,24.324324324324326,1994,False
S-F-U,1994,1,6,4,2,val,A1_fixed_analytic,old,142,4,2.8169014084507045,2.4847560975609757,88.73239436619718,89.60489452867502,8.450704225352112,7.910349373764008,1994,False
S-F-CB,1994,1,6,4,2,val,A1_fixed_analytic,current,81,2,69.1358024691358,68.36609336609337,16.049382716049383,16.707616707616708,14.814814814814813,14.926289926289925,1994,False
S-F-CB,1994,1,6,4,2,val,A1_fixed_analytic,old,142,4,52.816901408450704,52.8734069435289,11.971830985915492,12.261178861788617,35.2112676056338,34.86541419468249,1994,False
S-J-U,1994,2,8,6,2,val,A1_fixed_analytic,current,72,2,44.44444444444444,34.78260869565217,40.27777777777778,44.06354515050167,15.277777777777779,21.153846153846153,1994,True
S-J-U,1994,2,8,6,2,val,A1_fixed_analytic,old,223,6,27.3542600896861,24.46764946764947,33.18385650224215,33.15729809632249,39.46188340807175,42.37505243602806,1994,True
S-J-CB,1994,2,8,6,2,val,A1_fixed_analytic,current,72,2,55.55555555555556,62.70903010033444,40.27777777777778,32.357859531772576,4.166666666666666,4.933110367892977,1994,True
S-J-CB,1994,2,8,6,2,val,A1_fixed_analytic,old,223,6,54.7085201793722,54.034278180619644,7.174887892376682,7.572836139909311,38.11659192825112,38.39288567947105,1994,True
S-M-U,1994,2,8,6,2,val,A1_fixed_analytic,current,72,2,45.83333333333333,35.869565217391305,37.5,41.05351170568562,16.666666666666664,23.076923076923077,1994,False
S-M-U,1994,2,8,6,2,val,A1_fixed_analytic,old,223,6,28.251121076233183,25.3009828009828,32.73542600896861,33.26240320142759,39.01345291479821,41.4366139975896,1994,False
S-M-CB,1994,2,8,6,2,val,A1_fixed_analytic,current,72,2,61.111111111111114,67.05685618729098,34.72222222222222,28.010033444816052,4.166666666666666,4.933110367892977,1994,False
S-M-CB,1994,2,8,6,2,val,A1_fixed_analytic,old,223,6,54.7085201793722,54.08838716765546,6.726457399103139,7.1501018757116315,38.56502242152467,38.76151095663291,1994,False
S-F-U,1994,2,8,6,2,val,A1_fixed_analytic,current,72,2,43.05555555555556,33.69565217391305,44.44444444444444,48.99665551839465,12.5,17.307692307692307,1994,False
S-F-U,1994,2,8,6,2,val,A1_fixed_analytic,old,223,6,26.45739910313901,23.566748566748565,31.390134529147986,31.179069868094256,42.152466367713004,45.254181565157175,1994,False
S-F-CB,1994,2,8,6,2,val,A1_fixed_analytic,current,72,2,61.111111111111114,67.89297658862876,36.11111111111111,29.09698996655518,2.7777777777777777,3.0100334448160537,1994,False
S-F-CB,1994,2,8,6,2,val,A1_fixed_analytic,old,223,6,53.81165919282511,53.16716106350253,7.623318385650224,8.023286590359762,38.56502242152467,38.809552346137714,1994,False
S-J-U,1995,0,4,0,4,val,A1_fixed_analytic,current,147,4,49.65986394557823,44.34735872235872,0.0,0.0,50.34013605442177,55.652641277641266,1995,True
S-J-U,1995,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1995,True
S-J-CB,1995,0,4,0,4,val,A1_fixed_analytic,current,147,4,80.95238095238095,82.00989888489889,0.0,0.0,19.047619047619047,17.990101115101115,1995,True
S-J-CB,1995,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1995,True
S-M-U,1995,0,4,0,4,val,A1_fixed_analytic,current,147,4,53.74149659863946,48.09121621621622,0.0,0.0,46.25850340136054,51.90878378378378,1995,False
S-M-U,1995,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1995,False
S-M-CB,1995,0,4,0,4,val,A1_fixed_analytic,current,147,4,81.63265306122449,82.19086656586656,0.0,0.0,18.367346938775512,17.809133434133432,1995,False
S-M-CB,1995,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1995,False
S-F-U,1995,0,4,0,4,val,A1_fixed_analytic,current,147,4,42.857142857142854,37.84398034398034,0.0,0.0,57.14285714285714,62.156019656019645,1995,False
S-F-U,1995,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1995,False
S-F-CB,1995,0,4,0,4,val,A1_fixed_analytic,current,147,4,74.14965986394559,75.15592515592515,0.0,0.0,25.850340136054424,24.844074844074846,1995,False
S-F-CB,1995,0,4,0,4,val,A1_fixed_analytic,old,0,0,,,,,,,1995,False
S-J-U,1995,1,6,4,2,val,A1_fixed_analytic,current,78,2,3.8461538461538463,3.6585365853658534,92.3076923076923,92.2874093605801,3.8461538461538463,4.054054054054054,1995,True
S-J-U,1995,1,6,4,2,val,A1_fixed_analytic,old,147,4,48.97959183673469,43.67168304668304,0.0,0.0,51.02040816326531,56.32831695331695,1995,True
S-J-CB,1995,1,6,4,2,val,A1_fixed_analytic,current,78,2,53.84615384615385,53.72445616348056,15.384615384615385,15.161502966381017,30.76923076923077,31.11404087013843,1995,True
S-J-CB,1995,1,6,4,2,val,A1_fixed_analytic,old,147,4,70.74829931972789,72.14019089019088,13.60544217687075,13.026956151956155,15.646258503401361,14.832852957852957,1995,True
S-M-U,1995,1,6,4,2,val,A1_fixed_analytic,current,78,2,3.8461538461538463,3.6585365853658534,91.02564102564102,90.93605800922874,5.128205128205128,5.405405405405405,1995,False
S-M-U,1995,1,6,4,2,val,A1_fixed_analytic,old,147,4,53.06122448979592,47.41554054054054,0.0,0.0,46.93877551020408,52.58445945945947,1995,False
S-M-CB,1995,1,6,4,2,val,A1_fixed_analytic,current,78,2,52.56410256410257,52.3731048121292,15.384615384615385,15.161502966381017,32.05128205128205,32.465392221489786,1995,False
S-M-CB,1995,1,6,4,2,val,A1_fixed_analytic,old,147,4,73.46938775510205,74.53269703269703,13.60544217687075,13.128307503307504,12.925170068027212,12.338995463995465,1995,False
S-F-U,1995,1,6,4,2,val,A1_fixed_analytic,current,78,2,3.8461538461538463,3.6585365853658534,94.87179487179486,94.99011206328281,1.282051282051282,1.3513513513513513,1995,False
S-F-U,1995,1,6,4,2,val,A1_fixed_analytic,old,147,4,42.857142857142854,37.84398034398034,0.0,0.0,57.14285714285714,62.156019656019645,1995,False
S-F-CB,1995,1,6,4,2,val,A1_fixed_analytic,current,78,2,56.41025641025641,56.29531970995385,11.538461538461538,11.239288068556363,32.05128205128205,32.465392221489786,1995,False
S-F-CB,1995,1,6,4,2,val,A1_fixed_analytic,old,147,4,56.4625850340136,57.80110092610092,17.687074829931973,17.84338971838972,25.850340136054424,24.35550935550935,1995,False
S-J-U,1995,2,8,6,2,val,A1_fixed_analytic,current,70,2,45.714285714285715,34.78260869565217,44.285714285714285,50.6340579710145,10.0,14.583333333333334,1995,True
S-J-U,1995,2,8,6,2,val,A1_fixed_analytic,old,225,6,29.777777777777775,27.001433251433255,29.333333333333332,30.37397067884873,40.88888888888889,42.624596069718024,1995,True
S-J-CB,1995,2,8,6,2,val,A1_fixed_analytic,current,70,2,51.42857142857142,53.07971014492754,44.285714285714285,41.666666666666664,4.285714285714286,5.253623188405797,1995,True
S-J-CB,1995,2,8,6,2,val,A1_fixed_analytic,old,225,6,62.66666666666667,63.892685539027006,7.111111111111111,7.109159517696104,30.22222222222222,28.998154943276894,1995,True
S-M-U,1995,2,8,6,2,val,A1_fixed_analytic,current,70,2,45.714285714285715,34.78260869565217,41.42857142857143,46.46739130434783,12.857142857142856,18.75,1995,False
S-M-U,1995,2,8,6,2,val,A1_fixed_analytic,old,225,6,32.0,29.0468877968878,28.888888888888886,29.977629215434092,39.111111111111114,40.97548298767812,1995,False
S-M-CB,1995,2,8,6,2,val,A1_fixed_analytic,current,70,2,51.42857142857142,53.07971014492754,44.285714285714285,40.67028985507246,4.285714285714286,6.25,1995,False
S-M-CB,1995,2,8,6,2,val,A1_fixed_analytic,old,225,6,65.33333333333333,66.28921177701666,5.777777777777778,5.829470738007323,28.888888888888886,27.88131748497602,1995,False
S-F-U,1995,2,8,6,2,val,A1_fixed_analytic,current,70,2,44.285714285714285,33.69565217391305,51.42857142857142,60.05434782608696,4.285714285714286,6.25,1995,False
S-F-U,1995,2,8,6,2,val,A1_fixed_analytic,old,225,6,26.666666666666668,23.911752661752665,26.222222222222225,27.233744063012356,47.11111111111111,48.85450327523499,1995,False
S-F-CB,1995,2,8,6,2,val,A1_fixed_analytic,current,70,2,47.14285714285714,51.81159420289855,44.285714285714285,38.677536231884055,8.571428571428571,9.510869565217392,1995,False
S-F-CB,1995,2,8,6,2,val,A1_fixed_analytic,old,225,6,51.55555555555556,52.56527421161567,11.555555555555555,11.72374510789145,36.888888888888886,35.710980680492874,1995,False
