method,order_seed,session,dimension,trace_G,regularized_condition,solve_relative_residual,W_norm,G_sha256,R_sha256,W_sha256,finite,joint_cross_block_norm,sufficient_statistic_bytes,future_classes_in_statistics
A-U,1995,0,768,0.9999999994362458,619.9539939071573,1.0844217773508343e-15,4.724019196996927,f54942aa234831e3c54a7f41a2fb647a3e9251cd7a7125f2cadefced3a7658b6,70edb799c0a15265174e5a637e59e6c6c3353059a48444b899260bb8aeae0737,485f428fbb945271eaf9f09905bfb8f0c47aaa3dcb60b681a130ddc221074e71,True,,4743168,False
A-CB,1995,0,768,0.9999999973403354,600.2915576301167,9.439849225212059e-16,7.199190785663371,e1c0c2a47b93e9cc6b3d66c6338ecbace43e81680ed9a5b8eb6c44ccbc8427d8,37a3f95d08d80110642bf7227adf31d79bdabb5c548dff29b889f56a0a3bcca9,3260acadc565986a8440b7d99f398e77914a02fc449022c0d0d457a45aacfa8c,True,,4743168,False
A-U,1995,1,768,0.9999999993811818,616.6666774505904,9.249525242562496e-16,4.811489262417238,a80bba59ea17771ca4ff06c4459a024fce5f8989331b8522c5db25686daf1127,9e1c6d857099b8042e22288a2551106cf72c25e5b27d2b0d4a2bc44b9d6fb5b7,80dad1d8530c0accbf33ca23a61c8cab91d46d12f96fd2c214986266ea31b79a,True,,4755456,False
A-CB,1995,1,768,0.9999999973594474,595.5762937515206,1.145042255008085e-15,7.586722025849636,7838a785aa1553c46751eebf95bdb162147a824aa19b24edef0af8380f7ff8d4,d6674c22cf8b100701f611f4fb872ba73bac755c721822b32d3e8d8e13e23b18,ebe17f8ff662614a1374f34d91315d0888eaefd07e2d663271cbd8c02043b1ef,True,,4755456,False
A-U,1995,2,768,0.9999999993984807,610.592810806402,9.526554885223018e-16,5.343718185976911,cfc67cd53e182f02f7a6f68f45f557e90abc88db9184d0e2a511062477a0aa20,d94d86f5b1409f37741b1d78169024f9c514aecf459fca9abdf1e0314d8c1fe8,682d0639bd3f0517bbe089098ab6161412a67b5d6d0aa784002bb6e6ed19701f,True,,4767744,False
A-CB,1995,2,768,0.999999998571877,598.2894442477025,1.1285096092759098e-15,7.995111492982893,ef7ed82d4a394ffb828ded4dbc32b64620e5fb769a834bee4414c7171ad49e4e,3d0ba3724f48f9e2e8fdfa12a270a0649f3f2290e980cf1dce3de94bb0c2b66e,0f455a3c6029ebfb99e55bc8b80c45d41bb07e084e562ef15b443b3f7effcb1a,True,,4767744,False
S-J-U,1993,0,1536,1.0,588.7311408178823,8.950444105180028e-16,4.597383054080148,ff179677db0a1dc05823f8d25e06b907950cd10c8faef51f76dd596322b7372a,a6d570b7e946db29e46cb3ac16cab03f1cade8d184b76eb3ce5d7e9a035ed64a,444d1b29143074bd43fdf4beb90b531aaabceed5310dd7bcdbe336289de4a194,True,0.2945544196621054,18923520,False
S-J-CB,1993,0,1536,1.0,560.4502024326864,9.993156793562751e-16,8.249430230721318,2b2109fa6d55eba226e95238af7ab7862cb55a27b4aba6a8969ee41e102209e4,237ef57db834d500b6e3cfa750d8ed64a8566eb5148296b545c7b2ab923b7365,7a2d81d0ff6f7b99b61f39d9f89a2e29f9d4181a1f6576326f6fb883e2b260de,True,0.2815090595543356,18923520,False
S-M-U,1993,0,768,1.0,636.7857038182603,9.006642498474277e-16,4.448700973859341,1583e3d2673cd29762fc492d410f1d9e479241b661983fc23c6befe4e6d564a0,6dc3256ce6f71c11718813265378b0fe3c09e5e46d3aeb63e53284abe029dc78,b7b72e965862ccc27e5ce93a4ca6bccb97ffc3433fd514e980b92782eaadae1d,True,,4743168,False
S-M-CB,1993,0,768,1.0,595.0064737904397,9.663858611949179e-16,8.198009176038736,4963733e8ceefd2f657cd48b6ab968c775de1bbe7eac44f997ec84cc9421ac0b,16072f961a7bd0298b19e681a3c4d39f0c14d439e63f7665ac3bde31fa024998,cecb71d1b094d1701b9c4552c44f595bb1766c1ae150465101b16561645535c0,True,,4743168,False
S-F-U,1993,0,768,1.0,543.2160477749419,9.436050333963912e-16,4.004730465010169,ff1b34baaada7f7cb7fa779b2bf465dfb5193712ea4f4555f00d7c984d899842,3e481877ef3d75aa8787aaed1e774f9aa9527f632dcea9390ad10fff55fb753d,f652a37d93e2a8abc41ae965c12cc1a8135aaa2dd4c43bf5dcf5923c377fead2,True,,4743168,False
S-F-CB,1993,0,768,1.0,528.0647692033455,1.0654832116610692e-15,7.853958106119169,ad3265f147bd76ff25735485037de6888ed4795ef1f987b28167b8109b73a54d,eb71e8e0516f8ecc5ae239ce6c6262619e10747c980d2ed60c87367d26debff5,507e03e38ea2e0892314e96153ee17e80394d4acf912bff6902054f2981bef6a,True,,4743168,False
S-J-U,1993,1,1536,1.0000000000000002,587.1957339834378,1.0600446651996594e-15,4.666373544276621,642415a1ad63a54487b92922037500d71e12228c5f165b024bd87a418cb38020,c4a031aa63c986cc152c09c8176f33ce08635fa7c0ff6cbe09e2f6d96ce209fd,db38ed2e8cbef6f214af6ca1d315fc7f7b42970698874fb59c38dde0706a9e33,True,0.29380929103342607,18948096,False
S-J-CB,1993,1,1536,1.0,559.3242514786272,1.1195333299170671e-15,8.822916023747624,c84805b09acfed06dc7554a1b92a387fea9ec9376e2e6b81a709c6f5c9055726,89c6e0e316c77e68dbf126dc4e9a7c00261c205d1428ead0cae771a0def19fd8,93046b002ca463c37a3307334a11884550636f7265da8e77df17e128a75e8b1d,True,0.2807886991842649,18948096,False
S-M-U,1993,1,768,1.0,634.5336036504661,8.209238002487972e-16,4.497689300640312,e1924103c9e8429dc3298d31647e076830f0efa389e87f9892f72ebdc793b804,f71f5c8a65107f706e703861087371243e904b5cb3c0619a99bbe63e88a2d226,fa917fd30fa9e9ead48f2406cb5caeeaf83429719f2c8dd040dba3e34ea2050f,True,,4755456,False
S-M-CB,1993,1,768,1.0,590.8302912117754,1.0712654567504827e-15,8.608375724593476,228f290e022c954962f15b3af36440365e370164193988ce94676c4fda38e194,7aa795e7cb50736c34a802615e07d91127fc04aa359bfce9f7ebb201e25823b0,768091bf650be0c4bbefc0f385526981823be5da221276464f87ce48abce577d,True,,4755456,False
S-F-U,1993,1,768,1.0,542.3909931934564,9.186091483375063e-16,4.121205475403705,ccbbcdc687c8ff3c6afc4234a7225e22d01c981925d069fc59aa8fba0f9ceaed,fa5f702c3b0cc52969c8ac049906faa0c073aa43dc79b0d69c97786da06862be,1c1ea68ab74c3c710d7331b2e1876480eabd2dfe2b3c375465100e54fd75068d,True,,4755456,False
S-F-CB,1993,1,768,1.0,530.0648595010451,1.040598706192083e-15,8.571544209095027,a8719fa214dafadad4986fd54b966936955d622df7220e321a71d14b387b3294,75203833bf59d3b0bb71cc675dbcd72c44493e6a5ba52afaaa6eb66021b92337,0575b887aeef879d984212802a30f61a50f8fc89ee53678936af7ac615e7ba55,True,,4755456,False
S-J-U,1993,2,1536,1.0,567.386587525616,1.0591317176080278e-15,5.697461455743147,b59b01b1fa5080bd40b3047a56a3d5d3357a3d2aef19a73e6c36c0ea79c15be9,8804b91b79645f8aa81a4dc5c295365b4248929c9f1012ee5f282613213833b5,542469c49bf6da250256929b8f040a0826059583b7ff262ccf7d92349c0e9261,True,0.2843346853840234,18972672,False
S-J-CB,1993,2,1536,1.0,555.6347105429346,1.0343740242366019e-15,8.31253288775159,2f48f173b9e6aca764ba5aa3749753ec5e867d421f838b87521a65eee09945e2,804f40a1dada1f7e03a6a6df20582033aa95470363f333a463ca657e0cbb4bf7,7d83373c4ef99aedd8dcd20db22592fed3678622255ac468d3234ac06831b34b,True,0.2788988875048925,18972672,False
S-M-U,1993,2,768,1.0,608.6724179603067,1.2929085118706718e-15,5.492051979966206,402b96492f37d3d240782425cf558e116a68b1945c85ea648e976683f4d4a1d7,2dc6e90824cf59bfd52880ac91fd46a348b015816f98bc13da61ce7a58b48944,44d035f637f3f7555527f3224a0ce37f24821aa9af0bb4cbb281e04ea1f62fed,True,,4767744,False
S-M-CB,1993,2,768,1.0,586.9147769965316,1.0915258224650177e-15,8.079160406175085,ebc9f11208c410ededd8e8ca9fcc20996e25cd31089b0a1edb1a78fd650db7be,9e98c66f4816c4ecabbd6e0ce20450dffdd4d71deea681f2763ea7e4a6cfa8e1,2198ce47886f90f3f533eca08947edef94ba64d93879b9aafe1ca6db18818911,True,,4767744,False
S-F-U,1993,2,768,1.0,528.3686855093972,8.923689646397879e-16,5.3875863108694,3bd472722dedaca8bec025f8f8cad1f2d1390bdd56259746c9a7f51d4682e9dc,4d7b24d50b494fd34da505fcd465dc0742174373fcc1d4d03533c47d549c7081,b4b8b21bf761e363bf9172e42fd5fd98b2c411f38f6c2ed0425e5d1dc7592e8e,True,,4767744,False
S-F-CB,1993,2,768,1.0,526.5063096772069,1.0350940316848206e-15,7.918134836858781,8769aa1907a0daeef71a03221331c4b097f948a07fd646b30cbff547ad981ecd,2e50b3118610f1b8240df105b844852f91aa578d7572f3d2fb9ab55c946c4b7a,c0cd40afc24ad5659117d6c049a02ed4057e38e2504ebf5b70dd5b31f622b118,True,,4767744,False
S-J-U,1994,0,1536,1.0,581.8573146161652,1.0140582985493566e-15,6.6054508944528445,a46de4ccdf01c7a6281df855b34bc1c767579ae84d9d6fb89e6fa49dd4b29e1d,b27f0f105472c8719c1614d4f5d8a6eecd596e97ddfd2322de30582ab83b5fd7,51999c31dab7ea0542a8f61db88d02ed1c63d7697f0b49daa596a15ef0018658,True,0.29300532630134124,18923520,False
S-J-CB,1994,0,1536,1.0,588.3855937617336,9.574771682480796e-16,8.687660834878784,0a1b27c4f66ece8d3c8ee9b3fcb324e0bd87585b13bafcf2ee33499173845c4f,4e3207fc30a996f56b45e371a5e2b2ad5a4553c1f177c0db4aec63c5b8ad9267,e5a808bc503ecb5744664fa71431f09ddd6ebef08785366a8cc2b568506da248,True,0.2962818716405894,18923520,False
S-M-U,1994,0,768,1.0,564.7030863327712,1.0060778235431478e-15,6.563099205811736,aa0c80f692fbf834b73f9e773329c79ead6f1f7e56e7d266ca8b025f6a02b3ce,dd04c6db9526d6eee77fb126c9676653b288902a049409f6da3ffdc87da0b7af,621e6e57581e58e6e35cd81f613e1e75fba907f7161b495effe29411045cc5b8,True,,4743168,False
S-M-CB,1994,0,768,1.0,572.2992332941333,9.022503158594663e-16,8.583120726162281,3780576d8b00c725190d0ad5343b35d8f512ddc55a80fe2bec97cbcb3180b668,3b6297606fabb6f156177c2a51fe904a01e7678afa2af195b19ccbfce804b201,afb025face13672c32aa944c9e75d92a400cdde10dd362c5d26ec66a6733b39a,True,,4743168,False
S-F-U,1994,0,768,1.0,599.2358557584395,8.93879425758315e-16,6.393767040145283,2a45f23e27dbbbc15fac1dec5ddb94a6f7889f6cbc434187ca511131f08d5875,a1fbca1f701d7ddb421bef69041a1c6d2dfcdea3e1981c327d550e5c7b23e986,2cee1271459bf7df0736666318d51e131a29ed065900ec44b460dad02c74333a,True,,4743168,False
S-F-CB,1994,0,768,1.0,604.6959225813764,1.111016546012568e-15,8.575534992271503,d6ec32dd48ba9f5e0b0a284a47068da88dd23ee775ce452e3f6ed8a03aff2575,b0cbf8516c3d3bc1d27108e2f4db8f98c00033f02fa57b46012adc63b40dea09,9107cbf83238eae320f761fda539260bdaf16ef9e2653f6075abdc1c0abe7630,True,,4743168,False
S-J-U,1994,1,1536,1.0,603.2869999941865,8.416069562221243e-16,4.873211098487799,c72ae78c295762adfab9ebfce80d59b4fa10461a71394dda485a57be7dc5a2d6,36d00e1af009470a6d8808bf6750a10008329c2cea34a2db6b336abd93dd13e6,a22957050181c3aaf9a817dde06d09347313bff1177efa09441511fa9e04799f,True,0.30321417013247565,18948096,False
S-J-CB,1994,1,1536,1.0,581.6304475387981,1.0130800840451147e-15,8.11490957624438,f257cb20807ce66311ba3c8088ef8c3dadcf43110d13076df2e70b4d2da33bfe,92f90a4abd6c8723b29d542816a76ffcf30a2a22db3945a10d13dc5fb443c0ea,3f7e1a826db6dfeafc3bc7fb3107bb96068c418ec79aee74c239d9395a17247d,True,0.29275399871856145,18948096,False
S-M-U,1994,1,768,1.0,587.2730315678816,9.180595733761328e-16,4.828733781508132,aaf629bb602cbdc7201bfc2147117f02ec52b279c7c479d865e0c475387e8a5a,de0ce73d700a9dfd076a5cb9f2922c0444b08b45376794dbe6ccad7674326720,13ef7b95db7de091c2c1a037f8c33f7e53a56142560cf9ac11ec437157a9bf86,True,,4755456,False
S-M-CB,1994,1,768,1.0,565.2090952391181,1.1005596323873991e-15,8.015743035646963,5d932d3700324640e29dbd2c7e2dc8f6486b6fab68490097354565084871fb5a,e63a6d1cb56645f9c7a70fc03c28a6d1b680754590def91eb43a9c467482a60e,21fa3fbe7b34b11a478a29110bb4288a474aada76518d945266df6bcf8b4c44c,True,,4755456,False
S-F-U,1994,1,768,1.0,619.4676969645348,9.247280540022334e-16,4.8285220958509445,7216f721f1adf706cd849bed760cf7401e5bbbd0aa00d5e6f5dc275bdea65d05,be8541a90337ee6daa7ad69ad7b412f8b0c1ef9755df6cd89127766142b4c87c,d16df63d9eb718cc93ad98882084e95079e749519b15f254248e51a211e28544,True,,4755456,False
S-F-CB,1994,1,768,1.0,598.2487946657353,1.122461965179092e-15,8.002328655227027,2bfa6fd3a647aeda6f7e83523778b9d671e6ea5999e90749cf98577567a9d55c,6512e7f2303bc7e21658370cd983bb1626a95d414593a25fd42b96c182c3b5a8,b323b0ece5191cb1b5fc7712342db9676268ae5d6b4df5cc84eaff4d8e38e54c,True,,4755456,False
S-J-U,1994,2,1536,1.0,596.8789503891162,9.885764267863152e-16,5.4052531402976625,33390959bde029953a473bfeac06fa682cfbf0d4374284174f7f8ed391cdf9a8,eb6e41f006157371360bb6943e82a2bfbc2cf704fba1580384d9f8edb3bbd0ec,3253c6f7f347ee34048321ff18bbd8598125ec049bb36dc086478a5754b726dc,True,0.30015861932199456,18972672,False
S-J-CB,1994,2,1536,1.0,584.1073400050934,1.124955814647944e-15,8.140149565201936,42e2687e942d8663d3bf109c420675d9279972cd0670a3899edc2c3723d568d7,69e90ca8493c8b45d9d65d4a9a48116af0e69c7cdbe6e70786da384d2f9791d6,1df038a966c875d40a70c83793377c0274e486ff012f7912f2a6344ecc6a481a,True,0.2938757945064009,18972672,False
S-M-U,1994,2,768,1.0,580.1211951800533,8.781745089182774e-16,5.34484936821671,5709b896ed7428c0f7caa683e0f5431feb47ea972e4765d52825c751fe47eae0,9cc05ba262b893b9a4a472c57ced6d5ce250704497a5bd21389325ca6163f1f2,87e344755c846b67924e88c6eb8450fc569050c8da5e6e9aa1166d192ac742c3,True,,4767744,False
S-M-CB,1994,2,768,1.0,567.3098591036528,1.2811866305722453e-15,8.041781648049996,a0368309838f137a7843ae72cf5d4bc7984b4b60e20e9ec46e86d1ddad7e1c58,f6fc1240d45a34081cbd7e786b569e939136b4f2d6c285de3a1682fab4574116,07110a1bedeb25a7e659cc09642d7af2964b1f270d22df76302c28c7c339f6c3,True,,4767744,False
S-F-U,1994,2,768,1.0,613.8016502002538,9.978723129471561e-16,5.374422087753543,aa4d2d97d0f9be2e80c0cb05bd82ac60213207733ed9481685534446df941375,3c66810ce248d66883563f6b05b0631bdf7dc5aea283883321e1a8f8e749f0d8,e761cbeb62397e7f7e5df4ea5a8c1a7f4d33ba318a291bb6f21bffa4d44258b6,True,,4767744,False
S-F-CB,1994,2,768,1.0,601.0934156272899,1.0614836393238752e-15,8.037229608776872,7b1e9a05d67fdbea07769248712f5d78e0dc48f255d98e09ae9679dc12995c4d,b5940d8ec604731d14332bf581444c58883e1af8f0a8dca4c540cfa949978e24,6e53fcb390f3c020c4aa6d962035e05b1b640ddde1289ced6b8141924833658e,True,,4767744,False
S-J-U,1995,0,1536,1.0,624.5776953541277,1.2366499462282573e-15,5.610532498863971,9413d7efc93e5c605939efd2e5ea3c7b1d8c9e2c1352b70c1c28162e1c3b4ccc,62c15d4bafb71591678e9285cc9b3748e765b1ad39cca7e777cfc130a6e20647,a5b8fc42fb2a15b1cc0e45168b1f1f692094fe2cc4421b14fb3db5bb3b677f1b,True,0.31279819291327127,18923520,False
S-J-CB,1995,0,1536,1.0,598.7208530081768,9.485965666266301e-16,7.64064125910256,87b7d9802867e970f8fe9d6bef9ec98a7479e845f6206f7f0aaf5be734143c4f,a85eebf6ac4af2044aaa3eda30ade52888fdc76d582cfa9af566f61e87ba9f69,15723f3a8a9f6ab7e02cf2b2be29b3bf4b56f4fed99f959f8f3aee1cf37dfada,True,0.2995878222476641,18923520,False
S-M-U,1995,0,768,1.0,633.7320310557487,9.179861998266765e-16,5.517239127212619,b46ef60bb57bf5fa2e854e03fa4df74921cd0111c39a1263cec62f5440958569,5abedf4d48d30351e7b28b87d9e2c936e526d155711e85107770c81bea2cefe9,2a4fe5d19a1a1b9d851e29b630cfc2f11d29b2f1fa3d3601bb29833dc1b88ac5,True,,4743168,False
S-M-CB,1995,0,768,1.0,587.6555996303204,1.0126254112333823e-15,7.324538703849349,a07c84af7257efcbbc8f05e8819ab4cb1d2fc4c45ff1534bffa535db5bd0d66a,7e6e1b9abeb7696c63c1bff0fa168c7f3c020e5170e57011a5ce38306a8b5855,ee9237f0b5a17d14f2d875e6a2abfe6f90e3af58d1153b74b11549c16a89bda4,True,,4743168,False
S-F-U,1995,0,768,1.0,617.4809119460962,7.86675065511419e-16,4.7525635384196745,004b84a97e11200e6517600a712033ae16af1be093f76d17c57dfdf2e81ffde1,56d006b4eea066feed914fa46cf52e23fda5ca753708c9d5ff743d85973fc49e,a2f579043435ee74e0ea43f0c31759c889db03652efffa9d9d697b1ebf9e9446,True,,4743168,False
S-F-CB,1995,0,768,1.0,611.0805453499767,1.0255377746422929e-15,7.2083829720000985,ba312823f838ab8ac7d4426795daa2bd5ec1dd594e38eaeefd181b8de74c80a4,f71b8206dba2cfbb3dda88200f257aa17a038d666c1d2cca6dc8d0eb63255ef7,4a03d91f957ca2c70c799e1d82fcc7e1814c17448323e599c686b23122c9d40c,True,,4743168,False
S-J-U,1995,1,1536,1.0,621.700101426695,1.0631604084672567e-15,5.637001203610632,6bf273edc6263c00d1f88ed4c52a3c677db1f89c7f20b7110dd5a95b78e1ea3a,dbf8cb8dbaa48a265aada92ebbc30f53fb776713cd0cba3b2a50d6ec0ee6a99e,fa9d2f63d85f2008ab3051774fcce2dd922b1f6610c8ed46584e8c9b7ea0e73c,True,0.31140838124711484,18948096,False
S-J-CB,1995,1,1536,1.0,599.8623988526855,1.1962370289497023e-15,8.005128502210438,82f01fcb0f8669829dc6e62085639d8426444f40de6eaa5d268a3c388835343d,9abad22cb9d73ed72dd65c7c523c35103b82605d6acf152c025ce067e060d364,3a50375eac5463834f933141daaeb93f66cb47a190c8b4b364863200cb6e76a5,True,0.3003807261329945,18948096,False
S-M-U,1995,1,768,1.0,630.0720182641666,1.0665023227988574e-15,5.527875513278081,d443ac29ab400f890a7911042cbde7ce4f3d33f63d21d5313aec134c3bf202e3,3f796897c8e05f224e3b42677dd0793865229fab2ce1e490e144dfb55fcdc78b,b810347a4e6410270015f3a6008d1079d1151444ab5af046d653e66ef4813c32,True,,4755456,False
S-M-CB,1995,1,768,1.0,592.051956205724,1.114017390997288e-15,7.699620466743018,674e07328af7fa92c1474711297e864a17d706c7067a0f91e941962806a10684,6113549fde8f7a5d897a68415e1a21982cecb7358f233475683240fed7d3cec0,ac41685111def6ac19138fde094e5f98150b5e8684df80409fb5d97556268697,True,,4755456,False
S-F-U,1995,1,768,1.0,615.3168983475799,7.817380448490328e-16,4.834078076601039,95f746428a909244a2616bab9a910ffb72549d53a4d15e27e4bc8ba1b20d982d,21c2530a79fd6e74c83a3ff811e38b4908110d1094d330f3f9b93d7311d731d8,e9e8bc9ba75900bf1e2e2643a35c7adf89e6e4842d3d42da92a46875ff39992b,True,,4755456,False
S-F-CB,1995,1,768,1.0,609.0769507211394,1.317931715437809e-15,7.547162008490877,580f24472058bf3747451bb39bf36858970c662467375ee6c55c88e3c8b62934,60831c3ead2f9f1bb6ff2df9c0571a5ec4bd199206d98b2526d71d7ac819a118,df1c2cf92cfa3b03f045278a74aa665c80c5b6dabd6d8f0d4da1d8c8dd722a3f,True,,4755456,False
S-J-U,1995,2,1536,1.0,615.3220352065609,1.0558875791403332e-15,6.013967908506008,f69061325a709f4e987c74610ab781db8474e4b75196790d1206a99d6eac716f,2d3ccb102151c738c16865bd7235f887b2c45d895cb80026adf8fa4764e2516c,d3a373ac116b79d8b250d0aae49a4dfe5a122cfa017c6765dc197d8e2ec3d18d,True,0.30832896018227984,18972672,False
S-J-CB,1995,2,1536,1.0,603.8976447705508,1.141372752475159e-15,8.4087084744094,cbc4aed339eedd558c551e8ce8bc9b5f9424a4706e054182f2ac1fdcc17ff0b2,1f3956e95adbf019e33024a5c88d2348a77a25860c8952d4ca4d6b9d233643a7,320ffbbb95254eb65b5f5b60e14caf2dd377e26d7a6d13f70ae1f2edf4d56541,True,0.30236746206280396,18972672,False
S-M-U,1995,2,768,1.0,621.2732944694969,8.850456375006505e-16,5.837894589647722,28d9aefd6b878a4221ec1ba7a00f9b352acddf9eb613cb9cf751a5198dc76b61,271d003e21253ca066c48d8ec98443fb633db3dc7f440e06496daa3de727a810,4c57f35436c142b46463e03676544adef4b5073592137c21580ff443c40ce139,True,,4767744,False
S-M-CB,1995,2,768,1.0,598.6528755866343,1.0487000269795382e-15,8.129262802820811,de615c08ee679077b6e84d7b4047f8d86cc7f9bf127294d675b952021f19b05c,dfcedf0b97b30e52c0bc1b1f24077ff40865cd580a4e6f745cdc5aed70ff7c34,7b88806412d8faf497ff05920e9cd3009d8eedf9a008f69b989706ffa5e05833,True,,4767744,False
S-F-U,1995,2,768,1.0,611.1834969011742,7.976729605007935e-16,5.3939025293760015,d1f9fdc4bb79d6881aa5c320a20c247c677981e5e960ec3d5d39c3efbb86403f,40c244d64f80a7c402f830c08fc513bd3d9b368de53065bcde8c663a0cee2556,f76522a54e40ac71bbda6e868fdf9cd2e5a646e60c5d2cddaeecbae9cbaf1db2,True,,4767744,False
S-F-CB,1995,2,768,1.0,610.5222285845108,1.1902488884273417e-15,7.860475153207069,b71b2c88e03302a6856500d523244a028b8cc7efd013a65a13954cdf3f9c4a5b,9ffb2c0574d7dbf463726a6ea86a3678c338a0482c5b37ec7a6adb8a0128367d,71dd08cdaa91f8bff640f33c3aa6422b4438f262c24a1b0dc29c9ea4fbdabf17,True,,4767744,False
