method,order_seed,session,seen_classes,old_classes,current_classes,split,predictor,balanced_accuracy,accuracy,macro_f1,old_macro_recall,current_macro_recall,component_equal_balanced_accuracy,lesion_equal_balanced_accuracy,n_images,n_components,worst_class_recall,zero_recall_classes,HM_old_current_macro,head_rank2,head_rank2_n_classes,mid_rank4,mid_rank4_n_classes,tail_rank2,tail_rank2_n_classes,old_tail_rank2,old_tail_n_classes,current_tail_rank2,current_tail_n_classes,restricted_current_BA_diagnostic,restricted_old_BA_diagnostic,parent_id,core,base_macro_recall,base_n_classes,post_base_macro_recall,post_base_n_classes,tail_base_macro_recall,tail_base_n_classes,tail_post_base_macro_recall,tail_post_base_n_classes,label_6_recall,label_6_n_correct,label_6_n_images,label_7_recall,label_7_n_correct,label_7_n_images,raw_margin_quantiles,exact_argmax_ties,AvgBA_all,AvgBA_inc
S-J-CB,1994,2,8,6,2,val,A1_fixed_analytic,56.20296616054834,54.91525423728814,56.583045410411415,54.034278180619644,62.709030100334445,56.331138607647894,56.331138607647894,295,278,35.0,[],58.04936020356249,65.87837837837839,2,44.851358516522886,4,69.23076923076923,2,50.0,1,88.46153846153845,1,93.9799331103679,57.658847872262506,1994,True,48.11222808174028,4,64.29370423935642,4,50.0,1,88.46153846153845,1,88.46153846153845,23,26,50.0,12,24,"[-0.7459995822000023, -0.23935308731459712, -0.0927880766648853, 0.03221042255168388, 0.19916469382738072, 0.49463765672219057, 0.7603834811375554]",0,58.25226987939076,57.786213542443654
S-J-CB,1995,2,8,6,2,val,A1_fixed_analytic,61.18944169050214,60.0,61.872159902177856,63.89268553902701,53.07971014492754,61.42634745285674,61.42634745285674,295,278,47.82608695652174,[],57.986419940576916,66.7997542997543,2,51.318749820870714,4,75.32051282051282,2,92.3076923076923,1,58.333333333333336,1,84.23913043478262,66.45615810249957,1995,True,68.97680022680024,4,53.40208315420405,4,92.3076923076923,1,58.333333333333336,1,92.3076923076923,24,26,58.333333333333336,14,24,"[-0.7987523656818729, -0.2576623390813532, -0.0932441433856843, 0.05159445687430014, 0.23401563746123397, 0.5586013387148187, 0.8483058723262223]",0,69.73365107445171,63.595527169228134
S-M-U,1993,2,8,6,2,val,A1_fixed_analytic,29.064002243350068,33.89830508474576,20.468844556982223,18.863636363636363,59.66509988249119,28.843673218673217,28.843673218673217,295,278,0.0,"[4, 7, 5, 6]",28.664685097077637,68.21253071253071,2,24.021739130434785,4,0.0,2,0.0,2,,0,89.98237367802587,25.335365853658537,1993,False,28.295454545454543,4,29.832549941245595,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.8923533801280212, -0.5844876357325707, -0.3543042327667787, -0.1959476584619427, 0.21361418709688307, 0.7494760538586999, 1.0901287971334386]",0,31.339423512010995,27.397854780211617
S-M-U,1994,2,8,6,2,val,A1_fixed_analytic,27.943128405084927,32.54237288135593,18.659087466086405,25.300982800982798,35.869565217391305,27.582156019656022,27.582156019656022,295,278,0.0,"[7, 4, 5, 6]",29.67229433260422,73.4029484029484,2,19.184782608695652,4,0.0,2,0.0,1,0.0,1,50.0,29.05018377579353,1994,False,1.25,4,54.636256810169854,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.8757985709643995, -0.5886849364508411, -0.4134842171010425, -0.2422617638688172, 0.17496888016631604, 0.7386018112910857, 1.0397964968156854]",0,32.639377966127704,28.911275255058396
S-M-U,1995,2,8,6,2,val,A1_fixed_analytic,30.480818021578894,35.25423728813559,21.829370153440024,29.046887796887802,34.78260869565217,29.96741059241059,29.96741059241059,295,278,0.0,"[6, 4, 5, 7]",31.657042200975024,75.89066339066339,2,23.016304347826086,4,0.0,2,0.0,1,0.0,1,50.0,32.345638321248074,1995,False,43.5703316953317,4,17.391304347826086,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.8961161429118774, -0.580631939395173, -0.3764620967411365, -0.1995282212508112, 0.2555928541454676, 0.7313267694144124, 1.0624969955943036]",0,37.133968931092475,31.655345288530604
S-M-CB,1993,2,8,6,2,val,A1_fixed_analytic,64.5425278275888,63.72881355932203,65.11045009604459,68.71436142777607,52.02702702702703,64.50421898467565,64.50421898467565,295,278,50.0,[],59.21753898806678,67.93611793611794,2,57.45674027686223,4,75.32051282051282,2,75.32051282051282,2,,0,90.24676850763807,71.91980079175201,1993,False,67.15678122690318,4,61.92827442827443,4,58.333333333333336,1,92.3076923076923,1,92.3076923076923,24,26,58.333333333333336,14,24,"[-0.9158460999044399, -0.25770674761233264, -0.08670364732959587, 0.06953124389852222, 0.24417256693186973, 0.5301951450571283, 0.8807166061737328]",0,70.52822645048253,67.79760575111185
S-M-CB,1994,2,8,6,2,val,A1_fixed_analytic,57.33050442256433,56.271186440677965,58.05618657925301,54.08838716765546,67.05685618729096,57.46941504197696,57.46941504197696,295,278,37.5,[],59.87849129292115,67.22972972972973,2,46.430759364879194,4,69.23076923076923,2,50.0,1,88.46153846153845,1,93.9799331103679,57.71295685929832,1994,False,47.517715886618326,4,67.14329295851034,4,50.0,1,88.46153846153845,1,88.46153846153845,23,26,50.0,12,24,"[-0.7330162919176859, -0.24571390436263213, -0.10348105431846272, 0.03330205207872461, 0.19644489513317603, 0.4974206205830752, 0.7867224407927705]",0,58.95899562687739,57.91642411489309
S-M-CB,1995,2,8,6,2,val,A1_fixed_analytic,62.986836368994375,62.03389830508475,63.86487562895575,66.28921177701666,53.07971014492754,62.963186325221926,62.963186325221926,295,278,47.82608695652174,[],58.95357167019729,70.2088452088452,2,53.20899372330974,4,75.32051282051282,2,92.3076923076923,1,58.333333333333336,1,82.15579710144928,67.9794996258411,1995,False,73.18134568134569,4,52.792327056643074,4,92.3076923076923,1,58.333333333333336,1,92.3076923076923,24,26,58.333333333333336,14,24,"[-0.9412647441464479, -0.29588924759772783, -0.09230421773582202, 0.06972057391379544, 0.24547783009871438, 0.5552366719016697, 0.8982438402571447]",0,70.77462307578956,65.06650133075107
S-F-U,1993,2,8,6,2,val,A1_fixed_analytic,26.411474468539687,30.847457627118647,16.69281366446315,16.325757575757574,56.66862514688602,26.505767130767133,26.505767130767133,295,278,0.0,"[4, 7, 5, 6]",25.348751555715186,70.7002457002457,2,17.472826086956523,4,0.0,2,0.0,2,,0,89.15981198589894,20.816304108987037,1993,False,24.488636363636363,4,28.33431257344301,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.9294095406740804, -0.6344146859902158, -0.4221457866781356, -0.2558904696117088, 0.15174049439835938, 0.6934819083679361, 1.1198323157852441]",0,25.76690070360537,23.383582762725126
S-F-U,1994,2,8,6,2,val,A1_fixed_analytic,26.098974468539687,30.508474576271187,16.47979179714931,23.56674856674857,33.69565217391305,25.99431818181818,25.99431818181818,295,278,0.0,"[3, 7, 4, 5, 6]",27.735370934643367,70.7002457002457,2,16.847826086956523,4,0.0,2,0.0,1,0.0,1,50.0,26.052490961027548,1994,False,0.0,4,52.197948937079374,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.9151376759076707, -0.5920085419277638, -0.41412161629050265, -0.24012096060730334, 0.19502585207539103, 0.7535871619991966, 1.04334137033368]",0,30.80020382379874,26.49035187940278
S-F-U,1995,2,8,6,2,val,A1_fixed_analytic,26.35772753979276,30.847457627118647,16.79302923095694,23.91175266175266,33.69565217391305,26.2737168987169,26.2737168987169,295,278,0.0,"[6, 4, 5, 7]",27.972865740350837,70.48525798525799,2,17.472826086956523,4,0.0,2,0.0,1,0.0,1,52.083333333333336,26.855336489482834,1995,False,35.867628992628994,4,16.847826086956523,4,0.0,1,0.0,1,0.0,0,26,0.0,0,24,"[-0.9652996744087035, -0.6429261930775314, -0.4145412487310446, -0.2619149585221749, 0.15314142711897633, 0.6871049446642308, 1.1352939266717061]",0,30.216846769405098,26.40327998211747
S-F-CB,1993,2,8,6,2,val,A1_fixed_analytic,54.29189847833803,53.22033898305085,54.26613816479574,55.13498723864578,51.7626321974148,54.304429719967644,54.304429719967644,295,278,27.500000000000004,[],53.3956149949667,63.17567567567568,2,42.380574503453616,4,69.23076923076923,2,69.23076923076923,2,,0,89.42420681551117,61.07824415751245,1993,False,49.10060975609756,4,59.4831872005785,4,50.0,1,88.46153846153845,1,88.46153846153845,23,26,50.0,12,24,"[-0.5990677796987678, -0.25884843515418826, -0.11738670027041113, 0.018746678033734754, 0.2026584783942289, 0.5001641032373563, 0.8796269885718778]",0,60.008166312182745,58.083664841518754
S-F-CB,1994,2,8,6,2,val,A1_fixed_analytic,56.84861494478409,55.59322033898305,56.85595717795402,53.16716106350253,67.89297658862876,57.0002452142545,57.0002452142545,295,278,32.5,[],59.63444105343263,64.52702702702703,2,45.85679329913158,4,71.15384615384616,2,50.0,1,92.3076923076923,1,96.98996655518395,57.17051863393326,1994,False,47.48722808174028,4,66.2100018078279,4,50.0,1,92.3076923076923,1,92.3076923076923,24,26,50.0,12,24,"[-0.7202013402535818, -0.25479522901062795, -0.10604473010904966, 0.030055582662530778, 0.18992984846791583, 0.48317201399907656, 0.7413822549160421]",0,58.243688340785376,57.44312534791723
S-F-CB,1995,2,8,6,2,val,A1_fixed_analytic,52.37685420943639,50.50847457627119,52.11608189104717,52.56527421161567,51.81159420289855,52.641306959224906,52.641306959224906,295,278,25.0,[],52.18571313713799,58.415233415233416,2,39.648655813820184,4,71.7948717948718,2,76.92307692307693,1,66.66666666666666,1,80.88768115942028,59.06955437443243,1995,False,54.68838593838594,4,50.06532248048685,4,76.92307692307693,1,66.66666666666666,1,76.92307692307693,20,26,66.66666666666666,16,24,"[-0.4400002963312014, -0.22909764348397824, -0.11056318988717678, 0.004084507210422805, 0.15281718274095368, 0.46353431702786424, 0.8797940523860096]",0,61.61065107313781,54.83801403174415
