contrast,order_seed,session,metric,point_pp,lower95,upper95,resamples,seed,unit,parents_resampled,independent_confirmation,interpretation
A-CB minus A-U,1993,0,balanced_accuracy,37.92544345898004,29.503854164523496,46.12538612423489,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,1994,0,balanced_accuracy,21.64441880905295,12.986417958656322,29.90500992063492,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,1995,0,balanced_accuracy,39.12752787752788,33.237911899557446,44.82336251190551,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,fixed_pair_mean,0,balanced_accuracy,32.89913004852029,27.354747310025964,38.31662687267307,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,1993,0,tail_rank2,50.0,28.0,72.01818181818172,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,1994,0,tail_rank2,54.166666666666664,29.618055555555557,76.92307692307692,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,1995,0,tail_rank2,96.15384615384616,87.5,100.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,fixed_pair_mean,0,tail_rank2,66.77350427350427,51.499893162393164,81.97720797720797,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,1993,0,current_macro_recall,37.92544345898004,29.503854164523496,46.12538612423489,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,1994,0,current_macro_recall,21.64441880905295,12.986417958656322,29.90500992063492,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,1995,0,current_macro_recall,39.12752787752788,33.237911899557446,44.82336251190551,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,fixed_pair_mean,0,current_macro_recall,32.89913004852029,27.354747310025964,38.31662687267307,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,1995,0,label_6_recall,96.15384615384616,87.5,100.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
A-CB minus A-U,1993,0,label_7_recall,50.0,28.0,72.01818181818172,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
