dataset,seed,task,method,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,4,N10,0,0,7,0,0.0,-111.81475830078125,7
HK,1993,4,N10,1,4,165,0,0.0,-126.83525085449219,165
HK,1993,4,N10,2,12,41,0,0.0,-100.60924530029297,41
HK,1993,4,N10,3,8,153,0,0.0,-123.0536117553711,153
HK,1993,4,N10,4,2,182,0,0.0,-93.69893646240234,182
HK,1993,4,N10,5,11,61,0,0.0,-38.351070404052734,61
HK,1993,4,N10,6,17,5,4,80.0,8.021214485168457,5
HK,1993,4,N10,7,3,157,157,100.0,29.35736656188965,157
HK,1994,4,N10,0,22,21,0,0.0,-78.03457641601562,21
HK,1994,4,N10,1,16,8,0,0.0,-77.67378234863281,8
HK,1994,4,N10,2,12,41,1,2.4390243902439024,-14.594114303588867,41
HK,1994,4,N10,3,13,160,0,0.0,-64.26480102539062,160
HK,1994,4,N10,4,21,4,0,0.0,-12.418092727661133,4
HK,1994,4,N10,5,4,165,144,87.27272727272727,9.278376579284668,165
HK,1994,4,N10,6,19,2,0,0.0,-3.8971290588378906,2
HK,1994,4,N10,7,17,5,5,100.0,5.784422874450684,5
HK,1995,4,N10,0,9,164,0,0.0,-119.94300079345703,164
HK,1995,4,N10,1,13,160,0,0.0,-111.21663665771484,160
HK,1995,4,N10,2,16,8,0,0.0,-115.19771575927734,8
HK,1995,4,N10,3,14,60,0,0.0,-100.47138214111328,60
HK,1995,4,N10,4,15,123,0,0.0,-64.1607894897461,123
HK,1995,4,N10,5,5,1,0,0.0,-100.66768646240234,1
HK,1995,4,N10,6,12,41,41,100.0,34.97399139404297,41
HK,1995,4,N10,7,1,113,113,100.0,34.83624267578125,113
ISIC,1993,4,N10,0,4,41,0,0.0,-131.49557495117188,38
ISIC,1993,4,N10,1,0,44,0,0.0,-134.40452575683594,44
ISIC,1993,4,N10,2,3,40,0,0.0,-126.0959701538086,37
ISIC,1993,4,N10,3,7,24,0,0.0,-117.64839935302734,20
ISIC,1993,4,N10,4,5,37,0,0.0,-109.2497787475586,34
ISIC,1993,4,N10,5,6,26,0,0.0,-98.56672668457031,24
ISIC,1993,4,N10,6,2,46,40,86.95652173913044,5.880539417266846,45
ISIC,1993,4,N10,7,1,37,34,91.89189189189189,9.838817596435547,36
ISIC,1994,4,N10,0,3,40,0,0.0,-121.98030090332031,37
ISIC,1994,4,N10,1,7,24,0,0.0,-125.44854736328125,20
ISIC,1994,4,N10,2,4,41,0,0.0,-111.42340087890625,38
ISIC,1994,4,N10,3,5,37,0,0.0,-114.9137191772461,34
ISIC,1994,4,N10,4,1,37,0,0.0,-108.0531997680664,36
ISIC,1994,4,N10,5,0,44,0,0.0,-109.96831512451172,44
ISIC,1994,4,N10,6,6,26,13,50.0,0.7097632884979248,24
ISIC,1994,4,N10,7,2,46,46,100.0,24.512754440307617,45
ISIC,1995,4,N10,0,1,37,0,0.0,-131.10829162597656,36
ISIC,1995,4,N10,1,3,40,0,0.0,-137.9176025390625,37
ISIC,1995,4,N10,2,0,44,0,0.0,-126.00835418701172,44
ISIC,1995,4,N10,3,6,26,0,0.0,-118.43926239013672,24
ISIC,1995,4,N10,4,4,41,0,0.0,-126.0872573852539,38
ISIC,1995,4,N10,5,5,37,0,0.0,-127.70138549804688,34
ISIC,1995,4,N10,6,2,46,46,100.0,19.224775314331055,45
ISIC,1995,4,N10,7,7,24,12,50.0,-3.807859420776367,20
HK,1993,4,N1,0,0,7,0,0.0,-112.56645965576172,7
HK,1993,4,N1,1,4,165,0,0.0,-126.53373718261719,165
HK,1993,4,N1,2,12,41,0,0.0,-100.2352294921875,41
HK,1993,4,N1,3,8,153,0,0.0,-122.87918853759766,153
HK,1993,4,N1,4,2,182,0,0.0,-97.12875366210938,182
HK,1993,4,N1,5,11,61,0,0.0,-39.58344268798828,61
HK,1993,4,N1,6,17,5,4,80.0,7.887896537780762,5
HK,1993,4,N1,7,3,157,157,100.0,29.78275489807129,157
HK,1994,4,N1,0,22,21,0,0.0,-78.19268798828125,21
HK,1994,4,N1,1,16,8,0,0.0,-77.61170959472656,8
HK,1994,4,N1,2,12,41,1,2.4390243902439024,-14.454276084899902,41
