version,new_epochs,final_checkpoints,wall_minutes,gpu_process_hours
V4,60,6,29.120527009169262,0.8659695223304961
V5,60,6,29.653793295224506,0.8795112969477972
V6,60,6,29.118975873788198,0.8659288142787086
V7,60,6,29.383755938212076,0.878825076619784
V8,60,6,29.369610742727914,0.8745923227734036
V9,60,6,29.36967890262604,0.8742922021283044
