branch,balanced_accuracy_mean,balanced_accuracy_sample_sd,old_macro_recall_mean,old_macro_recall_sample_sd,current_macro_recall_mean,current_macro_recall_sample_sd,tail_rank2_mean,tail_rank2_sample_sd
C,41.84839765831283,3.365968804917753,54.834944103236786,3.5599580203029526,2.888758323540932,5.003476187160388,47.48931623931624,25.478417351010062
E,25.180908333082247,3.083909111808628,6.309193809193809,1.4139826820362056,81.79605190474756,10.543200318012657,28.0982905982906,9.379222330636152
F,46.45557716408724,5.443636284269594,37.85874438313463,8.139903708341942,72.24607550694508,11.515525190077225,32.69230769230769,13.358119220624813
G,51.01657773085398,3.753662561485289,43.77908972421168,7.813380968047968,72.72904175078088,8.446593099129965,40.22435897435897,10.929205199761228
H,52.580042829910276,1.0306627262205676,47.525677007384324,3.206813379061594,67.74314029748813,6.880413756373566,45.61965811965812,7.008050261216024
I,50.4474522409305,4.21646706782489,44.051429051429054,9.068181211435917,69.63552180943485,11.657859202250158,40.6517094017094,1.244784209159299
J,51.64288128266124,4.413228921269402,45.46641388104803,6.315511033074487,70.17228348750088,2.6966828715507414,43.75,15.573757196482484
K,51.49614783230902,4.084429094414908,50.35218849243239,5.200337071168969,54.92802585193889,1.444850033121418,42.73504273504273,9.206494821536042
