dataset,seed,task,method,scope,n_images,n_classes,correct_sample,correct_macro,to_other_sample,to_other_macro,wrong_within_sample,wrong_within_macro
HK,1993,1,C0,current,172,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,1,P,current,172,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,1,C1,current,172,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,1,C2,current,172,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,1,C3,current,172,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,2,C0,old,172,2,99.4186046511628,92.85714285714286,0.5813953488372093,7.142857142857142,0.0,0.0
HK,1993,2,C0,current,194,2,97.42268041237114,93.90243902439023,2.5773195876288657,6.097560975609756,0.0,0.0
HK,1993,2,P,old,172,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,2,P,current,194,2,97.42268041237114,93.90243902439023,2.5773195876288657,6.097560975609756,0.0,0.0
HK,1993,2,C1,old,172,2,99.4186046511628,92.85714285714286,0.5813953488372093,7.142857142857142,0.0,0.0
HK,1993,2,C1,current,194,2,97.9381443298969,95.1219512195122,2.0618556701030926,4.878048780487805,0.0,0.0
HK,1993,2,C2,old,172,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,2,C2,current,194,2,97.42268041237114,93.90243902439023,2.5773195876288657,6.097560975609756,0.0,0.0
HK,1993,2,C3,old,172,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1993,2,C3,current,194,2,97.42268041237114,93.90243902439023,2.5773195876288657,6.097560975609756,0.0,0.0
HK,1993,3,C0,old,366,4,95.90163934426229,79.00696864111498,3.825136612021858,20.38327526132404,0.273224043715847,0.6097560975609756
HK,1993,3,C0,current,243,2,95.88477366255144,91.80327868852459,4.11522633744856,8.19672131147541,0.0,0.0
HK,1993,3,P,old,366,4,96.72131147540983,86.7595818815331,3.0054644808743167,12.630662020905921,0.273224043715847,0.6097560975609756
HK,1993,3,P,current,243,2,91.35802469135803,82.78688524590163,8.641975308641975,17.21311475409836,0.0,0.0
HK,1993,3,C1,old,366,4,95.08196721311475,74.21602787456446,4.644808743169399,25.174216027874564,0.273224043715847,0.6097560975609756
HK,1993,3,C1,current,243,2,97.53086419753086,95.08196721311475,2.4691358024691357,4.918032786885246,0.0,0.0
HK,1993,3,C2,old,366,4,96.72131147540983,86.7595818815331,3.0054644808743167,12.630662020905921,0.273224043715847,0.6097560975609756
HK,1993,3,C2,current,243,2,91.35802469135803,82.78688524590163,8.641975308641975,17.21311475409836,0.0,0.0
HK,1993,3,C3,old,366,4,96.72131147540983,86.7595818815331,3.0054644808743167,12.630662020905921,0.273224043715847,0.6097560975609756
HK,1993,3,C3,current,243,2,91.35802469135803,82.78688524590163,8.641975308641975,17.21311475409836,0.0,0.0
HK,1994,1,C0,current,29,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1994,1,P,current,29,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1994,1,C1,current,29,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1994,1,C2,current,29,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1994,1,C3,current,29,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1994,2,C0,old,29,2,96.55172413793103,93.75,3.4482758620689653,6.25,0.0,0.0
HK,1994,2,C0,current,201,2,95.52238805970148,93.5594512195122,3.9800995024875623,6.128048780487805,0.4975124378109453,0.3125
HK,1994,2,P,old,29,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1994,2,P,current,201,2,96.01990049751244,93.8719512195122,3.482587064676617,5.815548780487805,0.4975124378109453,0.3125
HK,1994,2,C1,old,29,2,96.55172413793103,93.75,3.4482758620689653,6.25,0.0,0.0
HK,1994,2,C1,current,201,2,95.52238805970148,93.5594512195122,3.9800995024875623,6.128048780487805,0.4975124378109453,0.3125
HK,1994,2,C2,old,29,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1994,2,C2,current,201,2,95.52238805970148,93.5594512195122,3.9800995024875623,6.128048780487805,0.4975124378109453,0.3125
HK,1994,2,C3,old,29,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1994,2,C3,current,201,2,95.52238805970148,93.5594512195122,3.9800995024875623,6.128048780487805,0.4975124378109453,0.3125
HK,1994,3,C0,old,230,4,89.56521739130436,77.56877903600464,6.521739130434782,15.788690476190476,3.91304347826087,6.642530487804878
HK,1994,3,C0,current,169,2,98.81656804733728,87.19696969696969,1.183431952662722,12.803030303030303,0.0,0.0
HK,1994,3,P,old,230,4,93.91304347826087,90.37383855981417,2.608695652173913,6.1086309523809526,3.4782608695652173,3.5175304878048776
HK,1994,3,P,current,169,2,98.22485207100591,62.5,1.7751479289940828,37.5,0.0,0.0
HK,1994,3,C1,old,230,4,89.56521739130436,76.98805894308943,6.956521739130435,16.979166666666664,3.4782608695652173,6.032774390243902
HK,1994,3,C1,current,169,2,99.40828402366864,87.5,0.591715976331361,12.5,0.0,0.0
HK,1994,3,C2,old,230,4,93.91304347826087,90.37383855981417,2.608695652173913,6.1086309523809526,3.4782608695652173,3.5175304878048776
HK,1994,3,C2,current,169,2,98.22485207100591,62.5,1.7751479289940828,37.5,0.0,0.0
HK,1994,3,C3,old,230,4,93.91304347826087,90.37383855981417,2.608695652173913,6.1086309523809526,3.4782608695652173,3.5175304878048776
HK,1994,3,C3,current,169,2,98.22485207100591,62.5,1.7751479289940828,37.5,0.0,0.0
HK,1995,1,C0,current,324,2,98.4567901234568,98.4375,0.0,0.0,1.5432098765432098,1.5625
HK,1995,1,P,current,324,2,98.4567901234568,98.4375,0.0,0.0,1.5432098765432098,1.5625
HK,1995,1,C1,current,324,2,98.4567901234568,98.4375,0.0,0.0,1.5432098765432098,1.5625
HK,1995,1,C2,current,324,2,98.4567901234568,98.4375,0.0,0.0,1.5432098765432098,1.5625
HK,1995,1,C3,current,324,2,98.4567901234568,98.4375,0.0,0.0,1.5432098765432098,1.5625
HK,1995,2,C0,old,324,2,97.53086419753086,97.50762195121952,0.9259259259259258,0.929878048780488,1.5432098765432098,1.5625
HK,1995,2,C0,current,68,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1995,2,P,old,324,2,97.53086419753086,97.50762195121952,0.9259259259259258,0.929878048780488,1.5432098765432098,1.5625
HK,1995,2,P,current,68,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1995,2,C1,old,324,2,97.53086419753086,97.50762195121952,0.9259259259259258,0.929878048780488,1.5432098765432098,1.5625
HK,1995,2,C1,current,68,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1995,2,C2,old,324,2,97.8395061728395,97.82012195121952,0.9259259259259258,0.929878048780488,1.2345679012345678,1.25
HK,1995,2,C2,current,68,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1995,2,C3,old,324,2,97.8395061728395,97.82012195121952,0.9259259259259258,0.929878048780488,1.2345679012345678,1.25
HK,1995,2,C3,current,68,2,100.0,100.0,0.0,0.0,0.0,0.0
HK,1995,3,C0,old,392,4,97.95918367346938,98.76143292682926,0.25510204081632654,0.1524390243902439,1.7857142857142856,1.0861280487804876
HK,1995,3,C0,current,124,2,98.38709677419355,49.59349593495935,1.6129032258064515,50.40650406504065,0.0,0.0
HK,1995,3,P,old,392,4,98.46938775510205,99.06631097560977,0.0,0.0,1.530612244897959,0.9336890243902438
HK,1995,3,P,current,124,2,98.38709677419355,49.59349593495935,1.6129032258064515,50.40650406504065,0.0,0.0
HK,1995,3,C1,old,392,4,97.95918367346938,98.76143292682926,0.25510204081632654,0.1524390243902439,1.7857142857142856,1.0861280487804876
HK,1995,3,C1,current,124,2,98.38709677419355,49.59349593495935,1.6129032258064515,50.40650406504065,0.0,0.0
HK,1995,3,C2,old,392,4,98.46938775510205,99.06631097560977,0.0,0.0,1.530612244897959,0.9336890243902438
HK,1995,3,C2,current,124,2,98.38709677419355,49.59349593495935,1.6129032258064515,50.40650406504065,0.0,0.0
HK,1995,3,C3,old,392,4,98.46938775510205,99.06631097560977,0.0,0.0,1.530612244897959,0.9336890243902438
HK,1995,3,C3,current,124,2,98.38709677419355,49.59349593495935,1.6129032258064515,50.40650406504065,0.0,0.0
ISIC,1993,1,C0,current,85,2,97.6470588235294,97.5609756097561,0.0,0.0,2.3529411764705883,2.4390243902439024
ISIC,1993,1,P,current,85,2,95.29411764705881,95.28824833702882,0.0,0.0,4.705882352941177,4.711751662971175
ISIC,1993,1,C1,current,85,2,97.6470588235294,97.5609756097561,0.0,0.0,2.3529411764705883,2.4390243902439024
ISIC,1993,1,C2,current,85,2,97.6470588235294,97.5609756097561,0.0,0.0,2.3529411764705883,2.4390243902439024
ISIC,1993,1,C3,current,85,2,97.6470588235294,97.5609756097561,0.0,0.0,2.3529411764705883,2.4390243902439024
ISIC,1993,2,C0,old,85,2,69.41176470588235,69.04101995565411,29.411764705882355,29.73946784922395,1.1764705882352942,1.2195121951219512
ISIC,1993,2,C0,current,64,2,73.4375,69.58333333333333,18.75,20.0,7.8125,10.416666666666668
ISIC,1993,2,P,old,85,2,84.70588235294117,84.47893569844788,12.941176470588237,13.16518847006652,2.3529411764705883,2.3558758314855877
ISIC,1993,2,P,current,64,2,51.5625,51.24999999999999,35.9375,34.583333333333336,12.5,14.166666666666666
ISIC,1993,2,C1,old,85,2,69.41176470588235,69.04101995565411,29.411764705882355,29.73946784922395,1.1764705882352942,1.2195121951219512
ISIC,1993,2,C1,current,64,2,76.5625,72.08333333333333,15.625,17.5,7.8125,10.416666666666668
ISIC,1993,2,C2,old,85,2,83.52941176470588,83.25942350332593,16.470588235294116,16.74057649667406,0.0,0.0
ISIC,1993,2,C2,current,64,2,62.5,61.66666666666667,31.25,30.833333333333336,6.25,7.5
ISIC,1993,2,C3,old,85,2,83.52941176470588,83.25942350332593,16.470588235294116,16.74057649667406,0.0,0.0
ISIC,1993,2,C3,current,64,2,62.5,61.66666666666667,31.25,30.833333333333336,6.25,7.5
ISIC,1993,3,C0,old,149,4,58.38926174496645,58.06310051736882,18.79194630872483,17.903732446415376,22.818791946308725,24.033167036215815
ISIC,1993,3,C0,current,63,2,79.36507936507937,80.14553014553015,17.46031746031746,16.008316008316008,3.1746031746031744,3.8461538461538463
ISIC,1993,3,P,old,149,4,64.42953020134227,62.81966001478197,10.738255033557047,11.847745750184776,24.832214765100673,25.332594235033255
ISIC,1993,3,P,current,63,2,65.07936507936508,68.55509355509355,33.33333333333333,29.521829521829524,1.5873015873015872,1.9230769230769231
ISIC,1993,3,C1,old,149,4,58.38926174496645,58.06310051736882,18.79194630872483,17.903732446415376,22.818791946308725,24.033167036215815
ISIC,1993,3,C1,current,63,2,82.53968253968253,83.41995841995842,15.873015873015872,14.656964656964657,1.5873015873015872,1.9230769230769231
ISIC,1993,3,C2,old,149,4,68.45637583892618,66.98632668144865,8.724832214765101,8.764320029563933,22.818791946308725,24.249353288987436
ISIC,1993,3,C2,current,63,2,68.25396825396825,71.82952182952182,31.746031746031743,28.170478170478177,0.0,0.0
ISIC,1993,3,C3,old,149,4,68.45637583892618,66.98632668144865,8.724832214765101,8.764320029563933,22.818791946308725,24.249353288987436
