dataset,seed,task,contrast,metric,difference_pp,low,high
HK,fixed_three_mean,2,C1-C0,current,0.4065040650406502,0.0,1.2195121951219505
HK,1993,2,C1-C0,tail,0.0,0.0,0.0
HK,1994,2,C1-C0,tail,0.0,0.0,0.0
HK,1995,2,C1-C0,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,C1-C0,tail,0.0,0.0,0.0
HK,1993,2,C1-C0,HM,0.5990379428160395,0.0,1.9585987261146585
HK,1994,2,C1-C0,HM,0.0,0.0,0.0
HK,1995,2,C1-C0,HM,0.0,0.0,0.0
HK,fixed_three_mean,2,C1-C0,HM,0.19967931427201316,0.0,0.6528662420382195
HK,1993,2,C2-C0,BA,3.5714285714285694,0.0,10.714285714285722
HK,1994,2,C2-C0,BA,3.125,0.0,9.375
HK,1995,2,C2-C0,BA,0.15625,0.0,0.46875
HK,fixed_three_mean,2,C2-C0,BA,2.28422619047619,0.0,5.610119047619047
HK,1993,2,C2-C0,old,7.142857142857139,0.0,21.42857142857143
HK,1994,2,C2-C0,old,6.25,0.0,18.75
HK,1995,2,C2-C0,old,0.3125,0.0,0.9375
HK,fixed_three_mean,2,C2-C0,old,4.56845238095238,0.0,11.220238095238093
HK,1993,2,C2-C0,current,0.0,0.0,0.0
HK,1994,2,C2-C0,current,0.0,0.0,0.0
HK,1995,2,C2-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,2,C2-C0,current,0.0,0.0,0.0
HK,1993,2,C2-C0,tail,14.285714285714292,0.0,42.857142857142854
HK,1994,2,C2-C0,tail,12.5,0.0,37.5
HK,1995,2,C2-C0,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,C2-C0,tail,8.92857142857143,0.0,22.023809523809522
HK,1993,2,C2-C0,HM,3.4784802403078885,0.0,11.441825476429287
HK,1994,2,C2-C0,HM,3.017944653518171,0.0,9.856474956538193
HK,1995,2,C2-C0,HM,0.15996526584065407,0.0,0.48746439897302024
HK,fixed_three_mean,2,C2-C0,HM,2.2187967198889047,0.0,5.752875013836558
HK,1993,2,C3-C0,BA,3.5714285714285694,0.0,10.714285714285722
HK,1994,2,C3-C0,BA,3.125,0.0,9.375
HK,1995,2,C3-C0,BA,0.15625,0.0,0.46875
HK,fixed_three_mean,2,C3-C0,BA,2.28422619047619,0.0,5.610119047619047
HK,1993,2,C3-C0,old,7.142857142857139,0.0,21.42857142857143
HK,1994,2,C3-C0,old,6.25,0.0,18.75
HK,1995,2,C3-C0,old,0.3125,0.0,0.9375
HK,fixed_three_mean,2,C3-C0,old,4.56845238095238,0.0,11.220238095238093
HK,1993,2,C3-C0,current,0.0,0.0,0.0
HK,1994,2,C3-C0,current,0.0,0.0,0.0
HK,1995,2,C3-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-C0,current,0.0,0.0,0.0
HK,1993,2,C3-C0,tail,14.285714285714292,0.0,42.857142857142854
HK,1994,2,C3-C0,tail,12.5,0.0,37.5
HK,1995,2,C3-C0,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-C0,tail,8.92857142857143,0.0,22.023809523809522
HK,1993,2,C3-C0,HM,3.4784802403078885,0.0,11.441825476429287
HK,1994,2,C3-C0,HM,3.017944653518171,0.0,9.856474956538193
HK,1995,2,C3-C0,HM,0.15996526584065407,0.0,0.48746439897302024
HK,fixed_three_mean,2,C3-C0,HM,2.2187967198889047,0.0,5.752875013836558
HK,1993,2,interaction,BA,-0.6097560975609753,-1.8292682926829258,0.0
HK,1994,2,interaction,BA,0.0,0.0,0.0
HK,1995,2,interaction,BA,0.0,0.0,0.0
HK,fixed_three_mean,2,interaction,BA,-0.2032520325203251,-0.6097560975609753,0.0
HK,1993,2,interaction,old,0.0,0.0,0.0
HK,1994,2,interaction,old,0.0,0.0,0.0
HK,1995,2,interaction,old,0.0,0.0,0.0
HK,fixed_three_mean,2,interaction,old,0.0,0.0,0.0
HK,1993,2,interaction,current,-1.2195121951219505,-3.6585365853658516,0.0
HK,1994,2,interaction,current,0.0,0.0,0.0
HK,1995,2,interaction,current,0.0,0.0,0.0
HK,fixed_three_mean,2,interaction,current,-0.4065040650406502,-1.2195121951219505,0.0
HK,1993,2,interaction,tail,0.0,0.0,0.0
HK,1994,2,interaction,tail,0.0,0.0,0.0
HK,1995,2,interaction,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,interaction,tail,0.0,0.0,0.0
HK,1993,2,interaction,HM,-0.5990379428160395,-1.9585987261146585,0.0
HK,1994,2,interaction,HM,0.0,0.0,0.0
HK,1995,2,interaction,HM,0.0,0.0,0.0
HK,fixed_three_mean,2,interaction,HM,-0.19967931427201316,-0.6528662420382195,0.0
HK,1993,2,C2-P,BA,0.0,0.0,0.0
HK,1994,2,C2-P,BA,-0.15625,-0.46875,0.0
HK,1995,2,C2-P,BA,0.15625,0.0,0.46875
HK,fixed_three_mean,2,C2-P,BA,0.0,-0.15625,0.15625
HK,1993,2,C2-P,old,0.0,0.0,0.0
HK,1994,2,C2-P,old,0.0,0.0,0.0
HK,1995,2,C2-P,old,0.3125,0.0,0.9375
HK,fixed_three_mean,2,C2-P,old,0.10416666666666667,0.0,0.3125
HK,1993,2,C2-P,current,0.0,0.0,0.0
HK,1994,2,C2-P,current,-0.3125,-0.9375,0.0
HK,1995,2,C2-P,current,0.0,0.0,0.0
HK,fixed_three_mean,2,C2-P,current,-0.10416666666666667,-0.3125,0.0
HK,1993,2,C2-P,tail,0.0,0.0,0.0
HK,1994,2,C2-P,tail,0.0,0.0,0.0
HK,1995,2,C2-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,C2-P,tail,0.0,0.0,0.0
HK,1993,2,C2-P,HM,0.0,0.0,0.0
HK,1994,2,C2-P,HM,-0.16655230747799976,-0.5156882338753025,0.0
HK,1995,2,C2-P,HM,0.15996526584065407,0.0,0.48746439897302024
HK,fixed_three_mean,2,C2-P,HM,-0.0021956805457818973,-0.16394969293644598,0.15895923356708863
HK,1993,2,C3-P,BA,0.0,0.0,0.0
HK,1994,2,C3-P,BA,-0.15625,-0.46875,0.0
HK,1995,2,C3-P,BA,0.15625,0.0,0.46875
HK,fixed_three_mean,2,C3-P,BA,0.0,-0.15625,0.15625
HK,1993,2,C3-P,old,0.0,0.0,0.0
HK,1994,2,C3-P,old,0.0,0.0,0.0
HK,1995,2,C3-P,old,0.3125,0.0,0.9375
HK,fixed_three_mean,2,C3-P,old,0.10416666666666667,0.0,0.3125
HK,1993,2,C3-P,current,0.0,0.0,0.0
HK,1994,2,C3-P,current,-0.3125,-0.9375,0.0
HK,1995,2,C3-P,current,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-P,current,-0.10416666666666667,-0.3125,0.0
HK,1993,2,C3-P,tail,0.0,0.0,0.0
HK,1994,2,C3-P,tail,0.0,0.0,0.0
HK,1995,2,C3-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-P,tail,0.0,0.0,0.0
HK,1993,2,C3-P,HM,0.0,0.0,0.0
HK,1994,2,C3-P,HM,-0.16655230747799976,-0.5156882338753025,0.0
HK,1995,2,C3-P,HM,0.15996526584065407,0.0,0.48746439897302024
HK,fixed_three_mean,2,C3-P,HM,-0.0021956805457818973,-0.16394969293644598,0.15895923356708863
HK,1993,3,C3-C1,BA,4.2640086822414105,-1.8640162982426038,10.867081738733077
HK,1994,3,C3-C1,BA,0.59051974448316,-9.049373306233065,10.10973492547425
HK,1995,3,C3-C1,BA,0.2032520325203251,-0.10924796747968912,0.6173780487804805
HK,fixed_three_mean,3,C3-C1,BA,1.6859268197482986,-2.2247100498425,5.737555192869948
HK,1993,3,C3-C1,old,12.543554006968648,4.181184668989545,22.64808362369338
HK,1994,3,C3-C1,old,13.385779616724733,6.108630952380935,21.436011904761912
HK,1995,3,C3-C1,old,0.3048780487804805,-0.16387195121951947,0.9260670731707279
HK,fixed_three_mean,3,C3-C1,old,8.744737224157953,4.967033548683701,12.95495789779327
HK,1993,3,C3-C1,current,-12.295081967213122,-18.032786885245898,-7.377049180327873
HK,1994,3,C3-C1,current,-25.0,-50.0,0.0
HK,1995,3,C3-C1,current,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-C1,current,-12.431693989071041,-21.03825136612022,-3.82513661202186
HK,1993,3,C3-C1,tail,42.85714285714286,14.285714285714281,85.71428571428571
HK,1994,3,C3-C1,tail,-18.75,-43.75,6.25
HK,1995,3,C3-C1,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-C1,tail,8.035714285714286,-7.1428571428571415,22.916666666666668
HK,1993,3,C3-C1,HM,1.363554402973051,-4.257403683766741,7.220154229639312
HK,1994,3,C3-C1,HM,-8.012367341693988,-23.45195003046212,6.486385734646477
HK,1995,3,C3-C1,HM,0.0680001788663418,-0.0370667925079907,0.20873880561889102
HK,fixed_three_mean,3,C3-C1,HM,-2.193604253284865,-7.667984988377465,3.0518037334876356
HK,1993,3,C1-C0,BA,-2.101064336170296,-7.40941718550674,1.2426695988271204
HK,1994,3,C1-C0,BA,-0.2861366276000439,-2.361595044521877,1.3205222961320544
HK,1995,3,C1-C0,BA,0.0,0.0,0.0
HK,fixed_three_mean,3,C1-C0,BA,-0.7957336545901134,-2.726006663231773,0.5335256469802643
HK,1993,3,C1-C0,old,-4.79094076655052,-12.543554006968634,0.0
HK,1994,3,C1-C0,old,-0.5807200929152145,-3.5714285714285694,1.8292682926829258
HK,1995,3,C1-C0,old,0.0,0.0,0.0
HK,fixed_three_mean,3,C1-C0,old,-1.7905536198219114,-4.578010065814941,0.009678668215258313
HK,1993,3,C1-C0,current,3.278688524590166,0.8196721311475414,6.557377049180332
HK,1994,3,C1-C0,current,0.30303030303031164,0.0,0.9090909090909065
HK,1995,3,C1-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,3,C1-C0,current,1.1939062758734924,0.27322404371584713,2.286802450736881
HK,1993,3,C1-C0,tail,-14.285714285714281,-42.85714285714286,0.0
HK,1994,3,C1-C0,tail,0.0,0.0,0.0
HK,1995,3,C1-C0,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,C1-C0,tail,-4.76190476190476,-14.285714285714286,0.0
HK,1993,3,C1-C0,HM,-1.5626672118364127,-6.452686786736716,1.7115915718097783
HK,1994,3,C1-C0,HM,-0.1934235857516171,-1.9170742361440225,1.217355804451524
HK,1995,3,C1-C0,HM,0.0,0.0,0.0
HK,fixed_three_mean,3,C1-C0,HM,-0.5853635991960099,-2.2857572107100554,0.653985947449962
HK,1993,3,C2-C0,BA,2.1629443460711144,-3.021957883513269,8.15119190419072
HK,1994,3,C2-C0,BA,0.30438311688311614,-9.425110479797972,9.838034361471871
HK,1995,3,C2-C0,BA,0.2032520325203251,-0.10924796747968912,0.6173780487804805
HK,fixed_three_mean,3,C2-C0,BA,0.8901931651581853,-2.9121498241131656,4.638357652970549
HK,1993,3,C2-C0,old,7.752613240418128,0.0,15.505226480836242
HK,1994,3,C2-C0,old,12.805059523809518,5.952380952380963,21.004464285714292
HK,1995,3,C2-C0,old,0.3048780487804805,-0.16387195121951947,0.9260670731707279
HK,fixed_three_mean,3,C2-C0,old,6.954183604336042,3.571396813298488,11.01448019502517
HK,1993,3,C2-C0,current,-9.016393442622956,-13.93442622950819,-4.098360655737707
HK,1994,3,C2-C0,current,-24.69696969696969,-49.69696969696969,0.30303030303031164
HK,1995,3,C2-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-C0,current,-11.237787713197548,-19.84612518628912,-2.7322404371584716
HK,1993,3,C2-C0,tail,28.571428571428577,0.0,57.142857142857146
HK,1994,3,C2-C0,tail,-18.75,-43.75,6.25
HK,1995,3,C2-C0,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-C0,tail,3.2738095238095255,-10.416666666666666,17.559523809523807
HK,1993,3,C2-C0,HM,-0.19911280886336158,-5.2513300819986535,5.067649061029574
HK,1994,3,C2-C0,HM,-8.205790927445605,-23.69250353887848,6.218655611186732
HK,1995,3,C2-C0,HM,0.0680001788663418,-0.0370667925079907,0.20873880561889102
HK,fixed_three_mean,3,C2-C0,HM,-2.778967852480875,-8.292859734054069,2.2861148539959313
HK,1993,3,C3-C0,BA,2.1629443460711144,-3.021957883513269,8.15119190419072
HK,1994,3,C3-C0,BA,0.30438311688311614,-9.425110479797972,9.838034361471871
HK,1995,3,C3-C0,BA,0.2032520325203251,-0.10924796747968912,0.6173780487804805
HK,fixed_three_mean,3,C3-C0,BA,0.8901931651581853,-2.9121498241131656,4.638357652970549
HK,1993,3,C3-C0,old,7.752613240418128,0.0,15.505226480836242
HK,1994,3,C3-C0,old,12.805059523809518,5.952380952380963,21.004464285714292
HK,1995,3,C3-C0,old,0.3048780487804805,-0.16387195121951947,0.9260670731707279
HK,fixed_three_mean,3,C3-C0,old,6.954183604336042,3.571396813298488,11.01448019502517
HK,1993,3,C3-C0,current,-9.016393442622956,-13.93442622950819,-4.098360655737707
HK,1994,3,C3-C0,current,-24.69696969696969,-49.69696969696969,0.30303030303031164
HK,1995,3,C3-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-C0,current,-11.237787713197548,-19.84612518628912,-2.7322404371584716
HK,1993,3,C3-C0,tail,28.571428571428577,0.0,57.142857142857146
HK,1994,3,C3-C0,tail,-18.75,-43.75,6.25
HK,1995,3,C3-C0,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-C0,tail,3.2738095238095255,-10.416666666666666,17.559523809523807
HK,1993,3,C3-C0,HM,-0.19911280886336158,-5.2513300819986535,5.067649061029574
HK,1994,3,C3-C0,HM,-8.205790927445605,-23.69250353887848,6.218655611186732
HK,1995,3,C3-C0,HM,0.0680001788663418,-0.0370667925079907,0.20873880561889102
HK,fixed_three_mean,3,C3-C0,HM,-2.778967852480875,-8.292859734054069,2.2861148539959313
HK,1993,3,interaction,BA,2.101064336170296,-1.2426695988271375,7.40941718550674
HK,1994,3,interaction,BA,0.2861366276000439,-1.3205222961320544,2.361595044521877
HK,1995,3,interaction,BA,0.0,0.0,0.0
HK,fixed_three_mean,3,interaction,BA,0.7957336545901134,-0.5335256469802645,2.726006663231771
HK,1993,3,interaction,old,4.79094076655052,0.0,12.543554006968634
HK,1994,3,interaction,old,0.5807200929152145,-1.8292682926829258,3.5714285714285694
HK,1995,3,interaction,old,0.0,0.0,0.0
HK,fixed_three_mean,3,interaction,old,1.7905536198219114,-0.009678668215258313,4.578010065814941
HK,1993,3,interaction,current,-3.278688524590166,-6.557377049180332,-0.8196721311475414
HK,1994,3,interaction,current,-0.30303030303031164,-0.9090909090909065,0.0
HK,1995,3,interaction,current,0.0,0.0,0.0
HK,fixed_three_mean,3,interaction,current,-1.1939062758734924,-2.286802450736881,-0.27322404371584713
HK,1993,3,interaction,tail,14.285714285714281,0.0,42.85714285714286
HK,1994,3,interaction,tail,0.0,0.0,0.0
HK,1995,3,interaction,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,interaction,tail,4.76190476190476,0.0,14.285714285714286
HK,1993,3,interaction,HM,1.5626672118364127,-1.7115915718097796,6.452686786736714
HK,1994,3,interaction,HM,0.1934235857516171,-1.217355804451525,1.9170742361440218
HK,1995,3,interaction,HM,0.0,0.0,0.0
HK,fixed_three_mean,3,interaction,HM,0.5853635991960099,-0.6539859474499626,2.2857572107100546
HK,1993,3,C2-P,BA,0.0,0.0,0.0
HK,1994,3,C2-P,BA,0.0,0.0,0.0
HK,1995,3,C2-P,BA,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-P,BA,0.0,0.0,0.0
HK,1993,3,C2-P,old,0.0,0.0,0.0
HK,1994,3,C2-P,old,0.0,0.0,0.0
HK,1995,3,C2-P,old,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-P,old,0.0,0.0,0.0
HK,1993,3,C2-P,current,0.0,0.0,0.0
HK,1994,3,C2-P,current,0.0,0.0,0.0
HK,1995,3,C2-P,current,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-P,current,0.0,0.0,0.0
HK,1993,3,C2-P,tail,0.0,0.0,0.0
HK,1994,3,C2-P,tail,0.0,0.0,0.0
HK,1995,3,C2-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-P,tail,0.0,0.0,0.0
HK,1993,3,C2-P,HM,0.0,0.0,0.0
HK,1994,3,C2-P,HM,0.0,0.0,0.0
HK,1995,3,C2-P,HM,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-P,HM,0.0,0.0,0.0
HK,1993,3,C3-P,BA,0.0,0.0,0.0
HK,1994,3,C3-P,BA,0.0,0.0,0.0
HK,1995,3,C3-P,BA,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-P,BA,0.0,0.0,0.0
HK,1993,3,C3-P,old,0.0,0.0,0.0
HK,1994,3,C3-P,old,0.0,0.0,0.0
HK,1995,3,C3-P,old,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-P,old,0.0,0.0,0.0
HK,1993,3,C3-P,current,0.0,0.0,0.0
HK,1994,3,C3-P,current,0.0,0.0,0.0
HK,1995,3,C3-P,current,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-P,current,0.0,0.0,0.0
HK,1993,3,C3-P,tail,0.0,0.0,0.0
HK,1994,3,C3-P,tail,0.0,0.0,0.0
HK,1995,3,C3-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-P,tail,0.0,0.0,0.0
HK,1993,3,C3-P,HM,0.0,0.0,0.0
HK,1994,3,C3-P,HM,0.0,0.0,0.0
HK,1995,3,C3-P,HM,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-P,HM,0.0,0.0,0.0
ISIC,1993,1,C3-C1,BA,0.0,0.0,0.0
ISIC,1994,1,C3-C1,BA,0.0,0.0,0.0
ISIC,1995,1,C3-C1,BA,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C3-C1,BA,0.0,0.0,0.0
ISIC,1993,1,C3-C1,current,0.0,0.0,0.0
ISIC,1994,1,C3-C1,current,0.0,0.0,0.0
ISIC,1995,1,C3-C1,current,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C3-C1,current,0.0,0.0,0.0
ISIC,1994,1,C3-C1,tail,0.0,0.0,0.0
ISIC,1993,1,C1-C0,BA,0.0,0.0,0.0
ISIC,1994,1,C1-C0,BA,0.0,0.0,0.0
ISIC,1995,1,C1-C0,BA,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C1-C0,BA,0.0,0.0,0.0
ISIC,1993,1,C1-C0,current,0.0,0.0,0.0
ISIC,1994,1,C1-C0,current,0.0,0.0,0.0
ISIC,1995,1,C1-C0,current,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C1-C0,current,0.0,0.0,0.0
ISIC,1994,1,C1-C0,tail,0.0,0.0,0.0
ISIC,1993,1,C2-C0,BA,0.0,0.0,0.0
ISIC,1994,1,C2-C0,BA,0.0,0.0,0.0
ISIC,1995,1,C2-C0,BA,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C2-C0,BA,0.0,0.0,0.0
ISIC,1993,1,C2-C0,current,0.0,0.0,0.0
ISIC,1994,1,C2-C0,current,0.0,0.0,0.0
ISIC,1995,1,C2-C0,current,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C2-C0,current,0.0,0.0,0.0
ISIC,1994,1,C2-C0,tail,0.0,0.0,0.0
ISIC,1993,1,C3-C0,BA,0.0,0.0,0.0
ISIC,1994,1,C3-C0,BA,0.0,0.0,0.0
ISIC,1995,1,C3-C0,BA,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C3-C0,BA,0.0,0.0,0.0
ISIC,1993,1,C3-C0,current,0.0,0.0,0.0
ISIC,1994,1,C3-C0,current,0.0,0.0,0.0
ISIC,1995,1,C3-C0,current,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C3-C0,current,0.0,0.0,0.0
ISIC,1994,1,C3-C0,tail,0.0,0.0,0.0
ISIC,1993,1,interaction,BA,0.0,0.0,0.0
ISIC,1994,1,interaction,BA,0.0,0.0,0.0
ISIC,1995,1,interaction,BA,0.0,0.0,0.0
ISIC,fixed_three_mean,1,interaction,BA,0.0,0.0,0.0
ISIC,1993,1,interaction,current,0.0,0.0,0.0
ISIC,1994,1,interaction,current,0.0,0.0,0.0
ISIC,1995,1,interaction,current,0.0,0.0,0.0
ISIC,fixed_three_mean,1,interaction,current,0.0,0.0,0.0
ISIC,1994,1,interaction,tail,0.0,0.0,0.0
ISIC,1993,1,C2-P,BA,2.2727272727272805,0.0,5.681818181818187
ISIC,1994,1,C2-P,BA,-2.0833333333333286,-8.333333333333329,5.0
ISIC,1995,1,C2-P,BA,2.804054054054049,-3.947501778093882,9.89159891598915
ISIC,fixed_three_mean,1,C2-P,BA,0.9978159978160003,-2.3413236591886775,4.42081236288553
ISIC,1993,1,C2-P,current,2.2727272727272805,0.0,5.681818181818187
ISIC,1994,1,C2-P,current,-2.0833333333333286,-8.333333333333329,5.0
ISIC,1995,1,C2-P,current,2.804054054054049,-3.947501778093882,9.89159891598915
ISIC,fixed_three_mean,1,C2-P,current,0.9978159978160003,-2.3413236591886775,4.42081236288553
ISIC,1994,1,C2-P,tail,-4.166666666666664,-16.66666666666667,10.0
ISIC,1993,1,C3-P,BA,2.2727272727272805,0.0,5.681818181818187
ISIC,1994,1,C3-P,BA,-2.0833333333333286,-8.333333333333329,5.0
ISIC,1995,1,C3-P,BA,2.804054054054049,-3.947501778093882,9.89159891598915
