dataset,seed,task,contrast,metric,difference_pp
ISIC,1994,3,C2-P,old,0.8840090090090129
ISIC,1995,3,C2-P,old,5.61885749385749
ISIC,1993,3,C2-P,current,3.2744282744282884
ISIC,1994,3,C2-P,current,4.760442260442261
ISIC,1995,3,C2-P,current,0.0
ISIC,1993,3,C2-P,tail,4.006410256410248
ISIC,1994,3,C2-P,tail,8.333333333333336
ISIC,1995,3,C2-P,tail,0.0
ISIC,1993,3,C2-P,HM,3.761255538174808
ISIC,1994,3,C2-P,HM,2.4732694035769427
ISIC,1995,3,C2-P,HM,2.1847849876703265
ISIC,1993,3,C3-P,BA,3.8692538692538676
ISIC,1994,3,C3-P,BA,1.3631452960721262
ISIC,1995,3,C3-P,BA,3.7459049959049935
ISIC,1993,3,C3-P,old,4.166666666666664
ISIC,1994,3,C3-P,old,-0.3355031861129376
ISIC,1995,3,C3-P,old,5.61885749385749
ISIC,1993,3,C3-P,current,3.2744282744282884
ISIC,1994,3,C3-P,current,4.760442260442261
ISIC,1995,3,C3-P,current,0.0
ISIC,1993,3,C3-P,tail,4.006410256410248
ISIC,1994,3,C3-P,tail,8.333333333333336
ISIC,1995,3,C3-P,tail,0.0
ISIC,1993,3,C3-P,HM,3.761255538174808
ISIC,1994,3,C3-P,HM,1.7130295700297182
ISIC,1995,3,C3-P,HM,2.1847849876703265
