dataset,seed,source,method,identity,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,0,0,7,5,71.42857142857143,0.14864709298235465,7
HK,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,1,4,165,165,100.0,0.7676127362499676,165
HK,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,2,12,41,32,78.04878048780488,0.28320218094483995,41
HK,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,3,8,153,153,100.0,0.783306223578032,153
HK,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,4,2,182,182,100.0,0.8173089934872139,182
HK,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,5,11,61,40,65.57377049180327,0.12235588783804033,61
HK,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,0,0,7,5,71.42857142857143,0.16188390602592787,7
HK,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,1,4,165,165,100.0,0.766390989625211,165
HK,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,2,12,41,31,75.60975609756098,0.2845472255373037,41
HK,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,3,8,153,153,100.0,0.7796986400622304,153
HK,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,4,2,182,182,100.0,0.8153400309441208,182
HK,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,5,11,61,40,65.57377049180327,0.11125109128776377,61
ISIC,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,0,4,41,24,58.53658536585366,0.07550913541865618,38
ISIC,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,1,0,44,40,90.9090909090909,0.36331609430590195,44
ISIC,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,2,3,40,21,52.5,0.026514574000682377,37
ISIC,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,3,7,24,14,58.333333333333336,0.04837506210820649,20
ISIC,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,4,5,37,19,51.351351351351354,0.07065198602094461,34
ISIC,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,5,6,26,23,88.46153846153847,0.4121122842621906,24
ISIC,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,0,4,41,26,63.41463414634146,0.09539188645896718,38
ISIC,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,1,0,44,39,88.63636363636364,0.37439866580383147,44
ISIC,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,2,3,40,24,60.0,0.03866573400577271,37
ISIC,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,3,7,24,14,58.333333333333336,0.06320469525444228,20
ISIC,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,4,5,37,19,51.351351351351354,0.07304354213262412,34
ISIC,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,5,6,26,24,92.3076923076923,0.4238444854078906,24
