dataset,seed,method,original_label,arrival_task,first_recall,terminal_recall,first_to_terminal,max_to_terminal
HK,1993,P,0,1,100.0,71.42857142857143,28.57142857142857,28.57142857142857
HK,1993,P,4,1,100.0,100.0,0.0,0.0
HK,1993,P,12,2,87.8048780487805,75.60975609756098,12.19512195121952,12.19512195121952
HK,1993,P,8,2,100.0,100.0,0.0,0.0
HK,1993,P,2,3,100.0,100.0,,
HK,1993,P,11,3,65.57377049180327,65.57377049180327,,
HK,1993,C0,0,1,100.0,42.857142857142854,57.142857142857146,57.142857142857146
HK,1993,C0,4,1,100.0,100.0,0.0,0.0
HK,1993,C0,12,2,87.8048780487805,73.17073170731707,14.63414634146342,14.63414634146342
HK,1993,C0,8,2,100.0,100.0,0.0,0.0
HK,1993,C0,2,3,100.0,100.0,,
HK,1993,C0,11,3,83.60655737704919,83.60655737704919,,
HK,1993,C1,0,1,100.0,28.571428571428573,71.42857142857143,71.42857142857143
HK,1993,C1,4,1,100.0,100.0,0.0,0.0
HK,1993,C1,12,2,90.2439024390244,68.29268292682927,21.951219512195124,21.951219512195124
HK,1993,C1,8,2,100.0,100.0,0.0,0.0
HK,1993,C1,2,3,100.0,100.0,,
HK,1993,C1,11,3,90.1639344262295,90.1639344262295,,
HK,1993,C2,0,1,100.0,71.42857142857143,28.57142857142857,28.57142857142857
HK,1993,C2,4,1,100.0,100.0,0.0,0.0
HK,1993,C2,12,2,87.8048780487805,75.60975609756098,12.19512195121952,12.19512195121952
HK,1993,C2,8,2,100.0,100.0,0.0,0.0
HK,1993,C2,2,3,100.0,100.0,,
HK,1993,C2,11,3,65.57377049180327,65.57377049180327,,
HK,1993,C3,0,1,100.0,71.42857142857143,28.57142857142857,28.57142857142857
HK,1993,C3,4,1,100.0,100.0,0.0,0.0
HK,1993,C3,12,2,87.8048780487805,75.60975609756098,12.19512195121952,12.19512195121952
HK,1993,C3,8,2,100.0,100.0,0.0,0.0
HK,1993,C3,2,3,100.0,100.0,,
HK,1993,C3,11,3,65.57377049180327,65.57377049180327,,
HK,1994,P,22,1,100.0,76.19047619047619,23.80952380952381,23.80952380952381
HK,1994,P,16,1,100.0,100.0,0.0,0.0
HK,1994,P,12,2,90.2439024390244,87.8048780487805,2.439024390243901,2.439024390243901
HK,1994,P,13,2,97.5,97.5,0.0,0.0
HK,1994,P,21,3,25.0,25.0,,
HK,1994,P,4,3,100.0,100.0,,
HK,1994,C0,22,1,100.0,38.095238095238095,61.904761904761905,61.904761904761905
HK,1994,C0,16,1,100.0,87.5,12.5,12.5
HK,1994,C0,12,2,90.2439024390244,87.8048780487805,2.439024390243901,2.439024390243901
HK,1994,C0,13,2,96.875,96.875,0.0,0.0
HK,1994,C0,21,3,75.0,75.0,,
HK,1994,C0,4,3,99.39393939393939,99.39393939393939,,
HK,1994,C1,22,1,100.0,33.333333333333336,66.66666666666666,66.66666666666666
HK,1994,C1,16,1,100.0,87.5,12.5,12.5
HK,1994,C1,12,2,90.2439024390244,90.2439024390244,0.0,0.0
HK,1994,C1,13,2,96.875,96.875,0.0,0.0
HK,1994,C1,21,3,75.0,75.0,,
HK,1994,C1,4,3,100.0,100.0,,
HK,1994,C2,22,1,100.0,76.19047619047619,23.80952380952381,23.80952380952381
HK,1994,C2,16,1,100.0,100.0,0.0,0.0
HK,1994,C2,12,2,90.2439024390244,87.8048780487805,2.439024390243901,2.439024390243901
HK,1994,C2,13,2,96.875,97.5,-0.625,0.0
HK,1994,C2,21,3,25.0,25.0,,
HK,1994,C2,4,3,100.0,100.0,,
HK,1994,C3,22,1,100.0,76.19047619047619,23.80952380952381,23.80952380952381
HK,1994,C3,16,1,100.0,100.0,0.0,0.0
HK,1994,C3,12,2,90.2439024390244,87.8048780487805,2.439024390243901,2.439024390243901
HK,1994,C3,13,2,96.875,97.5,-0.625,0.0
HK,1994,C3,21,3,25.0,25.0,,
HK,1994,C3,4,3,100.0,100.0,,
HK,1995,P,9,1,100.0,99.39024390243902,0.6097560975609753,0.6097560975609753
HK,1995,P,13,1,96.875,96.875,0.0,0.0
HK,1995,P,16,2,100.0,100.0,0.0,0.0
HK,1995,P,14,2,100.0,100.0,0.0,0.0
HK,1995,P,15,3,99.1869918699187,99.1869918699187,,
HK,1995,P,5,3,0.0,0.0,,
HK,1995,C0,9,1,100.0,98.17073170731707,1.8292682926829258,1.8292682926829258
HK,1995,C0,13,1,96.875,96.875,0.0,0.0
HK,1995,C0,16,2,100.0,100.0,0.0,0.0
HK,1995,C0,14,2,100.0,100.0,0.0,0.0
HK,1995,C0,15,3,99.1869918699187,99.1869918699187,,
HK,1995,C0,5,3,0.0,0.0,,
HK,1995,C1,9,1,100.0,98.17073170731707,1.8292682926829258,1.8292682926829258
HK,1995,C1,13,1,96.875,96.875,0.0,0.0
HK,1995,C1,16,2,100.0,100.0,0.0,0.0
HK,1995,C1,14,2,100.0,100.0,0.0,0.0
HK,1995,C1,15,3,99.1869918699187,99.1869918699187,,
HK,1995,C1,5,3,0.0,0.0,,
HK,1995,C2,9,1,100.0,99.39024390243902,0.6097560975609753,0.6097560975609753
HK,1995,C2,13,1,96.875,96.875,0.0,0.0
HK,1995,C2,16,2,100.0,100.0,0.0,0.0
HK,1995,C2,14,2,100.0,100.0,0.0,0.0
HK,1995,C2,15,3,99.1869918699187,99.1869918699187,,
HK,1995,C2,5,3,0.0,0.0,,
HK,1995,C3,9,1,100.0,99.39024390243902,0.6097560975609753,0.6097560975609753
HK,1995,C3,13,1,96.875,96.875,0.0,0.0
HK,1995,C3,16,2,100.0,100.0,0.0,0.0
HK,1995,C3,14,2,100.0,100.0,0.0,0.0
HK,1995,C3,15,3,99.1869918699187,99.1869918699187,,
HK,1995,C3,5,3,0.0,0.0,,
ISIC,1993,P,4,1,95.1219512195122,60.97560975609756,34.146341463414636,34.146341463414636
ISIC,1993,P,0,1,95.45454545454545,88.63636363636364,6.818181818181813,6.818181818181813
ISIC,1993,P,3,2,52.5,47.5,5.0,5.0
ISIC,1993,P,7,2,50.0,54.166666666666664,-4.166666666666664,0.0
ISIC,1993,P,5,3,48.648648648648646,48.648648648648646,,
ISIC,1993,P,6,3,88.46153846153847,88.46153846153847,,
ISIC,1993,C0,4,1,95.1219512195122,34.146341463414636,60.97560975609756,60.97560975609756
ISIC,1993,C0,0,1,100.0,77.27272727272727,22.727272727272734,22.727272727272734
ISIC,1993,C0,3,2,85.0,62.5,22.5,22.5
ISIC,1993,C0,7,2,54.166666666666664,58.333333333333336,-4.166666666666671,0.0
ISIC,1993,C0,5,3,75.67567567567568,75.67567567567568,,
ISIC,1993,C0,6,3,84.61538461538461,84.61538461538461,,
ISIC,1993,C1,4,1,95.1219512195122,34.146341463414636,60.97560975609756,60.97560975609756
ISIC,1993,C1,0,1,100.0,77.27272727272727,22.727272727272734,22.727272727272734
ISIC,1993,C1,3,2,90.0,62.5,27.5,27.5
ISIC,1993,C1,7,2,54.166666666666664,58.333333333333336,-4.166666666666671,0.0
ISIC,1993,C1,5,3,78.37837837837837,78.37837837837837,,
ISIC,1993,C1,6,3,88.46153846153847,88.46153846153847,,
ISIC,1993,C2,4,1,95.1219512195122,60.97560975609756,34.146341463414636,34.146341463414636
ISIC,1993,C2,0,1,100.0,88.63636363636364,11.36363636363636,11.36363636363636
ISIC,1993,C2,3,2,65.0,60.0,5.0,5.0
ISIC,1993,C2,7,2,58.333333333333336,58.333333333333336,0.0,0.0
ISIC,1993,C2,5,3,51.351351351351354,51.351351351351354,,
ISIC,1993,C2,6,3,92.3076923076923,92.3076923076923,,
ISIC,1993,C3,4,1,95.1219512195122,60.97560975609756,34.146341463414636,34.146341463414636
ISIC,1993,C3,0,1,100.0,88.63636363636364,11.36363636363636,11.36363636363636
ISIC,1993,C3,3,2,65.0,60.0,5.0,5.0
ISIC,1993,C3,7,2,58.333333333333336,58.333333333333336,0.0,0.0
ISIC,1993,C3,5,3,51.351351351351354,51.351351351351354,,
ISIC,1993,C3,6,3,92.3076923076923,92.3076923076923,,
ISIC,1994,P,3,1,97.5,50.0,47.5,47.5
ISIC,1994,P,7,1,54.166666666666664,50.0,4.166666666666664,4.166666666666664
ISIC,1994,P,4,2,51.21951219512195,60.97560975609756,-9.756097560975611,0.0
ISIC,1994,P,5,2,51.351351351351354,48.648648648648646,2.702702702702709,2.702702702702709
ISIC,1994,P,1,3,48.648648648648646,48.648648648648646,,
