dataset,seed,method,prefix_terminal_BA,prefix_average_BA,old,current,tail
HK,1993,P,85.43534966965596,94.12885639395036,86.75958188153311,82.78688524590163,71.42857142857143
HK,1993,C0,83.27240532358485,92.2173987547838,79.00696864111498,91.80327868852459,42.857142857142854
HK,1993,C1,81.17134098741455,91.7202960085807,74.21602787456446,95.08196721311475,28.571428571428573
HK,1993,C2,85.43534966965596,94.12885639395036,86.75958188153311,82.78688524590163,71.42857142857143
HK,1993,C3,85.43534966965596,94.12885639395036,86.75958188153311,82.78688524590163,71.42857142857143
HK,1994,P,81.08255903987612,92.67284488321074,90.37383855981417,62.5,62.5
HK,1994,C0,80.778175922993,91.4776338442497,77.56877903600466,87.19696969696969,81.25
HK,1994,C1,80.49203929539296,91.38225496838301,76.98805894308944,87.5,81.25
HK,1994,C2,81.08255903987612,92.6207615498774,90.37383855981417,62.5,62.5
HK,1994,C3,81.08255903987612,92.6207615498774,90.37383855981417,62.5,62.5
HK,1995,P,82.57537262872629,93.25556120144535,99.06631097560975,49.59349593495935,50.0
HK,1995,C0,82.37212059620596,93.18781052393858,98.76143292682927,49.59349593495935,50.0
HK,1995,C1,82.37212059620596,93.18781052393858,98.76143292682927,49.59349593495935,50.0
HK,1995,C2,82.57537262872629,93.30764453477867,99.06631097560975,49.59349593495935,50.0
HK,1995,C3,82.57537262872629,93.30764453477867,99.06631097560975,49.59349593495935,50.0
ISIC,1993,P,64.73147119488583,75.96139579371287,62.81966001478197,68.55509355509355,71.31410256410257
ISIC,1993,C0,65.42391039342259,77.43235421589081,58.06310051736881,80.14553014553015,71.47435897435898
ISIC,1993,C1,66.51538648489868,78.21284624638282,58.06310051736881,83.41995841995842,73.3974358974359
ISIC,1993,C2,68.6007250641397,79.54158191963069,66.98632668144863,71.82952182952184,75.32051282051282
ISIC,1993,C3,68.6007250641397,79.54158191963069,66.98632668144863,71.82952182952184,75.32051282051282
ISIC,1994,P,55.54548450889914,63.31273346517248,52.40606460118655,61.82432432432432,50.0
ISIC,1994,C0,53.932136127258076,61.83143093204069,41.064051856734785,79.66830466830467,45.833333333333336
ISIC,1994,C1,51.313572441621226,60.28102381760919,36.46053065260382,81.01965601965603,37.5
ISIC,1994,C2,57.72163793505257,63.75525886196618,53.29007361019556,66.58476658476658,58.333333333333336
ISIC,1994,C3,56.90862980497127,63.259030926713855,52.07056141507361,66.58476658476658,58.333333333333336
ISIC,1995,P,61.31495536983343,75.02362054191323,65.17612455112456,53.59261700725115,92.3076923076923
ISIC,1995,C0,57.08402479743944,71.12354786135275,55.517269892269894,60.21753460777851,96.15384615384616
ISIC,1995,C1,55.98845370186834,70.0022386150435,53.87391324891325,60.21753460777851,92.3076923076923
ISIC,1995,C2,65.06086036573842,76.54902269231538,70.79498204498205,53.59261700725115,92.3076923076923
ISIC,1995,C3,65.06086036573842,76.54902269231538,70.79498204498205,53.59261700725115,92.3076923076923
