dataset,seed,source,method,identity,n_images,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,restricted_old_BA,restricted_old_accuracy,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,prefix_terminal_BA
HK,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,609,94.7454844006568,82.1000704721635,[],100.0,71.81127548980407,71.42857142857143,87.36933797909408,93.98954703832753,98.63387978142076,82.78688524590163,100.0,100.0,85.01640692531701,85.8418537346966
HK,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,609,94.58128078817734,81.78210678210678,[],100.0,70.59176329468212,71.42857142857143,86.75958188153311,97.5609756097561,98.90710382513662,82.78688524590163,100.0,100.0,84.72669081108397,85.43534966965596
ISIC,1993,U,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,212,66.50943396226415,67.88982632696757,[],90.9090909090909,54.129312239068334,73.3974358974359,65.06975240206947,69.36853288987436,71.14093959731544,69.9064449064449,96.72557172557173,96.82539682539682,67.40144043285089,66.68198323686129
ISIC,1993,F,Q11,OFFLINE_ORACLE_NOT_ONLINE_CIL,212,68.86792452830188,70.25060453424274,[],88.63636363636364,58.255328499230934,75.32051282051282,67.5960827790096,72.26995565410199,73.8255033557047,71.82952182952184,98.64864864864865,98.4126984126984,69.64853144725663,69.00722912918035
