comparison,stage,metric,lower_pp,upper_pp,resamples,seed,valid_draws,parents_resampled
S-J-CB minus A-CB,3,HM_old_current_macro,-0.00028031580767979837,2.183648928813874,2000,44001,2000,False
S-J-CB minus A-CB,3,label_0_recall,-42.85714285714286,0.0,2000,44001,2000,False
S-J-CB minus A-CB,3,label_12_recall,-1.6260162601626007,5.691056910569112,2000,44001,2000,False
S-J-CB minus A-CB,3,label_11_recall,-1.0928961748633885,8.743169398907103,2000,44001,2000,False
S-J-CB minus A-CB,3,label_17_recall,0.0,26.666666666666668,2000,44001,2000,False
S-J-CB minus A-CB,3,label_3_recall,1.6985138004246256,7.218683651804672,2000,44001,2000,False
S-J-CB minus A-CB,3,label_16_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,3,label_22_recall,0.0,12.698412698412696,2000,44001,2000,False
S-J-CB minus A-CB,3,label_13_recall,0.0,2.2968749999999716,2000,44001,2000,False
S-J-CB minus A-CB,3,label_18_recall,-1.0101010101010104,14.14141414141414,2000,44001,2000,False
S-J-CB minus A-CB,3,label_9_recall,-1.0162601626016254,0.0,2000,44001,2000,False
S-J-CB minus A-CB,3,label_19_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,3,label_15_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,3,label_6_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,3,label_5_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,4,balanced_accuracy,1.7327111145969294,6.807216468399544,2000,44001,2000,False
S-J-CB minus A-CB,4,old_macro_recall,1.7237360917416444,6.370685787159881,2000,44001,2000,False
S-J-CB minus A-CB,4,current_macro_recall,-0.6063131313131366,13.662499999999994,2000,44001,2000,False
S-J-CB minus A-CB,4,base_macro_recall,0.5283423967051546,6.345653429708426,2000,44001,2000,False
S-J-CB minus A-CB,4,post_base_macro_recall,3.3089608186577335,7.936230099808498,2000,44001,2000,False
S-J-CB minus A-CB,4,tail_rank8_macro_recall,-0.034013605442175666,14.345238095238093,2000,44001,2000,False
S-J-CB minus A-CB,4,middle_rank7_macro_recall,0.9348528786843554,5.312033907960647,2000,44001,2000,False
S-J-CB minus A-CB,4,head_rank8_macro_recall,0.9547314618039792,2.459772082141493,2000,44001,2000,False
S-J-CB minus A-CB,4,HM_old_current_macro,0.9537772876549407,9.849299026946301,2000,44001,2000,False
S-J-CB minus A-CB,4,label_0_recall,-42.85714285714286,0.0,2000,44001,2000,False
S-J-CB minus A-CB,4,label_4_recall,1.6161616161616148,7.4747474747474785,2000,44001,2000,False
S-J-CB minus A-CB,4,label_12_recall,-1.6260162601626054,5.711382113821034,2000,44001,2000,False
S-J-CB minus A-CB,4,label_11_recall,-1.6393442622950805,9.303278688524518,2000,44001,2000,False
S-J-CB minus A-CB,4,label_17_recall,0.0,26.666666666666668,2000,44001,2000,False
S-J-CB minus A-CB,4,label_3_recall,2.7600849256900184,8.922505307855605,2000,44001,2000,False
S-J-CB minus A-CB,4,label_21_recall,0.0,75.0,2000,44001,2000,False
S-J-CB minus A-CB,4,label_16_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,4,label_22_recall,0.0,12.698412698412696,2000,44001,2000,False
S-J-CB minus A-CB,4,label_13_recall,0.0,2.9166666666666665,2000,44001,2000,False
S-J-CB minus A-CB,4,label_18_recall,-2.020202020202023,13.13131313131313,2000,44001,2000,False
S-J-CB minus A-CB,4,label_14_recall,-1.1111111111111143,6.11111111111111,2000,44001,2000,False
S-J-CB minus A-CB,4,label_9_recall,-1.0162601626016254,0.4065040650406502,2000,44001,2000,False
S-J-CB minus A-CB,4,label_19_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,4,label_15_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,4,label_6_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,4,label_5_recall,33.333333333333336,33.333333333333336,2000,44001,2000,False
S-J-CB minus A-CB,4,label_20_recall,-3.030303030303031,10.606060606060606,2000,44001,2000,False
S-J-CB minus A-CB,5,balanced_accuracy,1.8999009638670792,6.90880709818562,2000,44001,2000,False
S-J-CB minus A-CB,5,old_macro_recall,2.046206970388436,7.539614981408547,2000,44001,2000,False
S-J-CB minus A-CB,5,current_macro_recall,-0.22659231758659526,1.554015368343839,2000,44001,2000,False
S-J-CB minus A-CB,5,base_macro_recall,0.9002162626469886,7.4142067785801125,2000,44001,2000,False
S-J-CB minus A-CB,5,post_base_macro_recall,2.9031499473699025,6.754861656520927,2000,44001,2000,False
S-J-CB minus A-CB,5,tail_rank8_macro_recall,1.309523809523809,14.583333333333334,2000,44001,2000,False
S-J-CB minus A-CB,5,middle_rank7_macro_recall,1.2931610382063785,5.660288724358985,2000,44001,2000,False
S-J-CB minus A-CB,5,head_rank8_macro_recall,0.8905262854903657,2.344440508731431,2000,44001,2000,False
S-J-CB minus A-CB,5,HM_old_current_macro,1.62948988168747,5.625781053633719,2000,44001,2000,False
S-J-CB minus A-CB,5,label_0_recall,-42.85714285714286,0.0,2000,44001,2000,False
S-J-CB minus A-CB,5,label_4_recall,0.8080808080808121,6.464646464646468,2000,44001,2000,False
S-J-CB minus A-CB,5,label_12_recall,-1.6260162601626054,8.943089430894304,2000,44001,2000,False
S-J-CB minus A-CB,5,label_8_recall,0.0,2.614379084967325,2000,44001,2000,False
S-J-CB minus A-CB,5,label_2_recall,-0.7326007326007394,4.212454212454219,2000,44001,2000,False
S-J-CB minus A-CB,5,label_11_recall,-2.7459016393442632,8.196721311475411,2000,44001,2000,False
S-J-CB minus A-CB,5,label_17_recall,0.0,46.666666666666664,2000,44001,2000,False
S-J-CB minus A-CB,5,label_3_recall,2.760084925690028,9.341825902335458,2000,44001,2000,False
