method,Final_BA,sample_std_BA,worst_seed_BA,AvgBA_all,AvgBA_inc,tail_rank8,tail_rank8_macro_recall,head_rank8_macro_recall,middle_rank7_macro_recall,old_macro_recall,current_macro_recall,HM_old_current_macro,base_macro_recall,post_base_macro_recall,old_tail_macro_recall,current_tail_macro_recall,tail_base_macro_recall,tail_post_base_macro_recall
A-CB,61.12772365602367,1.1234667099445444e-14,61.12772365602366,65.55759615729414,64.7499115219169,33.61607142857143,33.61607142857143,90.0313352552934,59.53691294537509,58.16909201237502,92.19335591433456,71.2970659494189,61.70032285282063,60.3833447001876,27.293792517006803,100.0,31.587301587301592,39.285714285714285
S-J-CB,65.50912988371046,3.392047824686598,63.42955173202085,68.01106157753719,67.30159069260257,41.6220238095238,41.6220238095238,91.65058535611388,62.932730571462685,62.905161671828175,92.8507961084744,74.89958528622124,65.72491263780724,65.22861230338464,35.54634353741496,100.0,36.964285714285715,56.845238095238095
S-M-CB,65.81618064081813,3.198242420089542,63.40039357715582,67.59958758241756,66.87572105469921,41.9345238095238,41.9345238095238,92.12464814050789,63.04268273408051,63.19727445056412,93.31469563848532,75.2561816789954,66.09781470061999,65.45005636307572,35.903486394557824,100.0,37.589285714285715,56.845238095238095
