method,order_seed,session,split,seen_classes,old_classes,current_classes,scope,n_images,n_classes,correct_sample_weighted,correct_class_macro,to_other_sample_weighted,to_other_class_macro,wrong_within_sample_weighted,wrong_within_class_macro
A-CB,1993,0,val,13,0,13,current,997,13,88.26479438314945,72.46367839497842,0.0,0.0,11.735205616850552,27.536321605021584
A-CB,1993,0,val,13,0,13,old,0,0,,,,,,
A-CB,1993,1,val,15,13,2,current,224,2,99.10714285714286,98.86178861788618,0.8928571428571428,1.1382113821138211,0.0,0.0
A-CB,1993,1,val,15,13,2,old,997,13,87.56268806419257,71.73782468571457,1.0030090270812437,0.6377408615191845,11.434302908726178,27.62443445276625
A-CB,1993,2,val,17,15,2,current,125,2,97.6,49.59349593495935,2.4,50.40650406504065,0.0,0.0
A-CB,1993,2,val,17,15,2,old,1221,15,89.1072891072891,74.92225573066328,0.4095004095004095,0.6902839973141266,10.483210483210485,24.387460272022594
A-CB,1993,3,val,19,17,2,current,2,2,0.0,0.0,100.0,100.0,0.0,0.0
A-CB,1993,3,val,19,17,2,old,1346,17,89.37592867756315,71.22376574898553,0.2971768202080238,0.6544435956200662,10.326894502228825,28.121790655394403
A-CB,1993,4,val,21,19,2,current,216,2,60.18518518518518,49.27272727272727,39.81481481481482,50.72727272727272,0.0,0.0
A-CB,1993,4,val,21,19,2,old,1348,19,87.9080118694362,61.296604481357306,2.1513353115727005,13.105812072528018,9.940652818991099,25.59758344611468
A-CB,1993,5,val,23,21,2,current,134,2,95.52238805970148,97.34513274336283,4.477611940298507,2.6548672566371683,0.0,0.0
A-CB,1993,5,val,23,21,2,old,1564,21,81.58567774936061,57.678446600086595,2.4296675191815855,1.4545276152419009,15.9846547314578,40.86702578467149
A-CB,1994,0,val,13,0,13,current,755,13,86.09271523178808,62.022751059161976,0.0,0.0,13.90728476821192,37.977248940838024
A-CB,1994,0,val,13,0,13,old,0,0,,,,,,
A-CB,1994,1,val,15,13,2,current,165,2,98.7878787878788,99.39024390243902,1.2121212121212122,0.6097560975609756,0.0,0.0
A-CB,1994,1,val,15,13,2,old,755,13,85.56291390728477,61.750579550499396,0.7947019867549668,0.44451450189155106,13.642384105960264,37.80490594760905
A-CB,1994,2,val,17,15,2,current,54,2,70.37037037037037,75.75757575757575,27.77777777777778,22.727272727272727,1.8518518518518516,1.5151515151515151
A-CB,1994,2,val,17,15,2,old,920,15,87.60869565217392,65.4042544492667,0.21739130434782608,8.0,12.173913043478262,26.5957455507333
A-CB,1994,3,val,19,17,2,current,263,2,87.07224334600761,88.5575221238938,12.927756653992395,11.442477876106194,0.0,0.0
A-CB,1994,3,val,19,17,2,old,974,17,84.49691991786447,63.94742631097443,2.4640657084188913,3.915227326436372,13.03901437371663,32.1373463625892
A-CB,1994,4,val,21,19,2,current,126,2,53.96825396825397,55.757575757575765,44.44444444444444,42.72727272727273,1.5873015873015872,1.5151515151515151
A-CB,1994,4,val,21,19,2,old,1237,19,84.7210994341148,59.75830022976189,0.8892481810832661,15.437953948063063,14.38965238480194,24.80374582217504
A-CB,1994,5,val,23,21,2,current,335,2,89.25373134328358,89.90160166630754,10.746268656716417,10.098398333692451,0.0,0.0
A-CB,1994,5,val,23,21,2,old,1363,21,81.07116654438738,58.387354321710916,1.173881144534116,1.1980104457980563,17.754952311078505,40.41463523249102
A-CB,1995,0,val,13,0,13,current,884,13,94.45701357466064,74.30162854840042,0.0,0.0,5.542986425339366,25.698371451599574
A-CB,1995,0,val,13,0,13,old,0,0,,,,,,
A-CB,1995,1,val,15,13,2,current,67,2,37.3134328358209,18.939393939393938,59.70149253731343,30.303030303030305,2.9850746268656714,50.75757575757576
A-CB,1995,1,val,15,13,2,old,884,13,93.77828054298642,72.67991025792317,1.244343891402715,6.391733266733267,4.97737556561086,20.928356475343563
A-CB,1995,2,val,17,15,2,current,164,2,98.17073170731707,85.39581437670608,1.8292682926829267,14.604185623293903,0.0,0.0
A-CB,1995,2,val,17,15,2,old,951,15,89.16929547844374,62.631624366918494,0.7360672975814931,4.321138211382114,10.094637223974763,33.04723742169941
A-CB,1995,3,val,19,17,2,current,243,2,87.65432098765432,75.40983606557377,12.345679012345679,24.59016393442623,0.0,0.0
A-CB,1995,3,val,19,17,2,old,1115,17,89.5067264573991,63.87943890703769,1.345291479820628,2.637819545140427,9.147982062780269,33.48274154782189
A-CB,1995,4,val,21,19,2,current,169,2,84.61538461538461,43.333333333333336,15.384615384615385,56.666666666666664,0.0,0.0
A-CB,1995,4,val,21,19,2,old,1358,19,86.45066273932254,63.375335947600995,2.8718703976435935,5.980483925505715,10.677466863033873,30.64418012689328
A-CB,1995,5,val,23,21,2,current,171,2,81.28654970760235,89.33333333333333,18.71345029239766,10.666666666666668,0.0,0.0
A-CB,1995,5,val,23,21,2,old,1527,21,82.84217419777342,58.44147511532751,3.6673215455140804,3.9666586626374145,13.490504256712507,37.59186622203508
S-J-CB,1993,0,val,13,0,13,current,997,13,90.17051153460382,74.6485222150373,0.0,0.0,9.829488465396189,25.35147778496271
S-J-CB,1993,0,val,13,0,13,old,0,0,,,,,,
S-J-CB,1993,1,val,15,13,2,current,224,2,99.10714285714286,98.86178861788618,0.8928571428571428,1.1382113821138211,0.0,0.0
S-J-CB,1993,1,val,15,13,2,old,997,13,89.46840521564694,72.24032590315245,0.802407221664995,0.5406683480453972,9.729187562688065,27.21900574880215
S-J-CB,1993,2,val,17,15,2,current,125,2,97.6,49.59349593495935,2.4,50.40650406504065,0.0,0.0
S-J-CB,1993,2,val,17,15,2,old,1221,15,91.23669123669124,75.65037153788174,0.2457002457002457,0.44469081054446913,8.517608517608517,23.904937651573785
S-J-CB,1993,3,val,19,17,2,current,2,2,0.0,0.0,100.0,100.0,0.0,0.0
S-J-CB,1993,3,val,19,17,2,old,1346,17,91.53046062407132,72.27339402867146,0.22288261515601782,0.5564043799337917,8.246656760772659,27.170201591394743
S-J-CB,1993,4,val,21,19,2,current,216,2,59.72222222222222,48.939393939393945,40.27777777777778,51.06060606060606,0.0,0.0
S-J-CB,1993,4,val,21,19,2,old,1348,19,90.13353115727003,62.50130683871314,1.7062314540059347,11.243319430031589,8.160237388724036,26.255373731255272
S-J-CB,1993,5,val,23,21,2,current,134,2,96.26865671641791,97.78761061946904,3.731343283582089,2.2123893805309733,0.0,0.0
S-J-CB,1993,5,val,23,21,2,old,1564,21,84.07928388746802,60.157355647501966,2.1099744245524295,1.323706055848913,13.810741687979538,38.518938296649125
S-J-CB,1994,0,val,13,0,13,current,755,13,89.40397350993378,64.52662281390822,0.0,0.0,10.596026490066226,35.47337718609179
S-J-CB,1994,0,val,13,0,13,old,0,0,,,,,,
S-J-CB,1994,1,val,15,13,2,current,165,2,97.57575757575758,98.78048780487805,2.4242424242424243,1.2195121951219512,0.0,0.0
S-J-CB,1994,1,val,15,13,2,old,755,13,88.74172185430463,64.04978320960176,0.7947019867549668,0.44451450189155106,10.463576158940398,35.50570228850668
S-J-CB,1994,2,val,17,15,2,current,54,2,72.22222222222221,77.27272727272727,24.074074074074073,19.696969696969695,3.7037037037037033,3.0303030303030303
S-J-CB,1994,2,val,17,15,2,old,920,15,90.21739130434783,67.41609606605424,0.21739130434782608,4.666666666666666,9.565217391304348,27.9172372672791
S-J-CB,1994,3,val,19,17,2,current,263,2,87.83269961977186,89.33333333333333,12.167300380228136,10.666666666666668,0.0,0.0
S-J-CB,1994,3,val,19,17,2,old,974,17,87.26899383983573,65.98802714158172,1.8480492813141685,3.1185424989668,10.882956878850102,30.89343035945146
S-J-CB,1994,4,val,21,19,2,current,126,2,57.936507936507944,59.62121212121212,41.269841269841265,39.621212121212125,0.7936507936507936,0.7575757575757576
S-J-CB,1994,4,val,21,19,2,old,1237,19,87.30800323362975,69.29753875769367,0.5658852061438965,8.575485276383866,12.126111560226354,22.126975965922473
S-J-CB,1994,5,val,23,21,2,current,335,2,90.74626865671642,91.43144437262085,9.253731343283581,8.568555627379157,0.0,0.0
S-J-CB,1994,5,val,23,21,2,old,1363,21,83.56566397652237,67.32736971710028,1.3939838591342628,1.3050862608384732,15.040352164343359,31.367544022061246
S-J-CB,1995,0,val,13,0,13,current,884,13,95.36199095022624,75.50010297768547,0.0,0.0,4.638009049773756,24.49989702231452
S-J-CB,1995,0,val,13,0,13,old,0,0,,,,,,
S-J-CB,1995,1,val,15,13,2,current,67,2,40.298507462686565,20.454545454545457,56.71641791044776,28.78787878787879,2.9850746268656714,50.75757575757576
S-J-CB,1995,1,val,15,13,2,old,884,13,94.45701357466064,74.92725959279045,1.3574660633484164,6.624833499833501,4.18552036199095,18.447906907376062
S-J-CB,1995,2,val,17,15,2,current,164,2,96.34146341463415,77.61601455868971,3.6585365853658534,22.38398544131028,0.0,0.0
S-J-CB,1995,2,val,17,15,2,old,951,15,90.22082018927445,64.90185114449821,0.7360672975814931,4.321138211382114,9.04311251314406,30.777010644119684
S-J-CB,1995,3,val,19,17,2,current,243,2,88.88888888888889,77.8688524590164,11.11111111111111,22.131147540983605,0.0,0.0
S-J-CB,1995,3,val,19,17,2,old,1115,17,90.22421524663677,65.08262395447785,1.2556053811659191,2.5857633244220515,8.520179372197308,32.331612721100086
S-J-CB,1995,4,val,21,19,2,current,169,2,86.98224852071006,56.742424242424235,13.017751479289942,43.25757575757576,0.0,0.0
S-J-CB,1995,4,val,21,19,2,old,1358,19,87.77614138438881,64.96105828114509,2.798232695139912,5.948266729359589,9.425625920471282,29.09067498949532
S-J-CB,1995,5,val,23,21,2,current,171,2,81.28654970760235,89.33333333333333,18.71345029239766,10.666666666666668,0.0,0.0
S-J-CB,1995,5,val,23,21,2,old,1527,21,84.28290766208252,61.23075965088226,3.3398821218074657,3.760193827738238,12.37721021611002,35.0090465213795
S-M-CB,1993,0,val,13,0,13,current,997,13,90.37111334002006,73.7209416783596,0.0,0.0,9.628886659979939,26.27905832164041
S-M-CB,1993,0,val,13,0,13,old,0,0,,,,,,
S-M-CB,1993,1,val,15,13,2,current,224,2,99.10714285714286,98.86178861788618,0.8928571428571428,1.1382113821138211,0.0,0.0
S-M-CB,1993,1,val,15,13,2,old,997,13,89.96990972918756,72.06867659371746,0.6018054162487462,0.44451450189155106,9.42828485456369,27.48680890439099
S-M-CB,1993,2,val,17,15,2,current,125,2,97.6,49.59349593495935,2.4,50.40650406504065,0.0,0.0
S-M-CB,1993,2,val,17,15,2,old,1221,15,91.15479115479116,74.61259276443187,0.32760032760032765,0.6467110125646711,8.517608517608517,24.74069622300345
S-M-CB,1993,3,val,19,17,2,current,2,2,0.0,0.0,100.0,100.0,0.0,0.0
S-M-CB,1993,3,val,19,17,2,old,1346,17,91.45616641901931,71.43862328967425,0.22288261515601782,0.5564043799337917,8.320950965824665,28.004972330391944
S-M-CB,1993,4,val,21,19,2,current,216,2,60.18518518518518,48.84848484848485,39.81481481481482,51.15151515151515,0.0,0.0
S-M-CB,1993,4,val,21,19,2,old,1348,19,90.20771513353115,62.73504313980217,1.5578635014836795,10.654010211818669,8.234421364985163,26.610946648379162
S-M-CB,1993,5,val,23,21,2,current,134,2,97.01492537313433,98.23008849557522,2.9850746268656714,1.7699115044247788,0.0,0.0
S-M-CB,1993,5,val,23,21,2,old,1564,21,84.01534526854219,60.08327977540158,2.1099744245524295,1.3286653045056405,13.87468030690537,38.588054920092766
S-M-CB,1994,0,val,13,0,13,current,755,13,89.66887417218543,63.8295808500943,0.0,0.0,10.331125827814569,36.170419149905705
S-M-CB,1994,0,val,13,0,13,old,0,0,,,,,,
S-M-CB,1994,1,val,15,13,2,current,165,2,98.7878787878788,99.39024390243902,1.2121212121212122,0.6097560975609756,0.0,0.0
S-M-CB,1994,1,val,15,13,2,old,755,13,89.13907284768212,63.56216042898536,0.6622516556291391,0.396437578814628,10.198675496688741,36.04140199220002
S-M-CB,1994,2,val,17,15,2,current,54,2,70.37037037037037,75.75757575757575,25.925925925925924,21.21212121212121,3.7037037037037033,3.0303030303030303
S-M-CB,1994,2,val,17,15,2,old,920,15,90.32608695652173,65.47709362500899,0.5434782608695652,12.708333333333332,9.130434782608695,21.814573041657685
S-M-CB,1994,3,val,19,17,2,current,263,2,85.93155893536122,87.66666666666667,14.068441064638785,12.333333333333334,0.0,0.0
S-M-CB,1994,3,val,19,17,2,old,974,17,87.57700205338809,64.4729373399317,2.0533880903490758,2.7733362346428883,10.369609856262834,32.753726425425405
