method,seed,Final_BA,AvgBA_all,AvgBA_inc,tail_rank8_macro_recall,head_rank8_macro_recall,middle_rank7_macro_recall,old_macro_recall,current_macro_recall,HM_old_current_macro,base_macro_recall,post_base_macro_recall,old_tail_macro_recall,current_tail_macro_recall,tail_base_macro_recall,tail_post_base_macro_recall
A-CB,1993,61.12772365602367,67.46102624429669,66.46049581416035,33.61607142857143,90.0313352552934,59.53691294537509,57.67844660008661,97.34513274336283,72.43692945932031,63.68819735336066,57.79910784948557,24.13265306122449,100.0,42.23214285714286,25.0
A-CB,1994,61.12772365602368,63.74286833221902,64.08689178683042,33.61607142857143,90.03133525529338,59.53691294537509,58.38735432171093,89.90160166630754,70.79578699042344,54.92284775366606,69.19406232908854,33.61607142857143,,28.15476190476191,50.0
A-CB,1995,61.12772365602366,65.4688938953667,63.70234696475997,33.61607142857143,90.0313352552934,59.5369129453751,58.4414751153275,89.33333333333333,70.65848139851293,66.48992345143517,54.1568639219887,24.13265306122449,100.0,24.375,42.85714285714286
S-J-CB,1993,63.42955173202085,68.72135823351373,67.53592543720902,34.95535714285714,92.17045031496626,63.124747167698885,60.15735564750197,97.78761061946904,74.4897948822444,67.1261553250596,58.623967061070445,25.663265306122447,100.0,44.910714285714285,25.0
S-J-CB,1994,69.42337620888469,68.00460903596738,68.7002062803792,52.45535714285714,92.06241485961426,62.942210969225194,67.3273697171003,91.43144437262085,77.54956717634607,60.68713239531378,80.78049316652687,52.45535714285714,,36.607142857142854,100.0
S-J-CB,1995,63.674461710225835,67.30721746313048,65.6686403602195,37.45535714285714,90.71889089376113,62.73123357746398,61.230759650882256,89.33333333333333,72.65939380007322,69.36145019304831,56.2813766825566,28.520408163265305,100.0,29.375,45.535714285714285
S-M-CB,1993,63.40039357715582,68.29381306318119,67.20838734014549,35.89285714285714,92.47263204380005,61.6121626830466,60.083279775401586,98.23008849557522,74.56080246287196,67.25124954565268,58.39428081810987,26.73469387755102,100.0,46.785714285714285,25.0
S-M-CB,1994,69.44310997745698,66.99748249352619,67.63106282221256,52.45535714285714,92.59086246575139,62.40311037323458,67.2903269511944,92.04733175321411,77.74552606109637,60.70950254109156,80.79679964473198,52.45535714285714,,36.607142857142854,100.0
S-M-CB,1995,64.60503836784163,67.50746719054528,65.78771300173958,37.45535714285714,91.31044991197223,65.11277514596036,62.21821662509639,89.66666666666666,73.46221651301789,70.33269201511574,57.15908862638528,28.520408163265305,100.0,29.375,45.535714285714285
