comparison,seed,stage,metric,delta_pp
S-J-CB minus A-CB,1993,0,balanced_accuracy,2.1848438200588873
S-J-CB minus A-CB,1993,0,tail_rank8_macro_recall,1.4285714285714235
S-J-CB minus A-CB,1993,0,head_rank8_macro_recall,2.244524204200104
S-J-CB minus A-CB,1993,0,middle_rank7_macro_recall,2.8665157313697875
S-J-CB minus A-CB,1993,0,old_macro_recall,
S-J-CB minus A-CB,1993,0,current_macro_recall,2.1848438200588873
S-J-CB minus A-CB,1993,0,HM_old_current_macro,
S-J-CB minus A-CB,1993,0,base_macro_recall,2.1848438200588873
S-J-CB minus A-CB,1993,0,post_base_macro_recall,
S-J-CB minus A-CB,1993,0,old_tail_macro_recall,
S-J-CB minus A-CB,1993,0,current_tail_macro_recall,1.4285714285714235
S-J-CB minus A-CB,1993,0,tail_base_macro_recall,1.4285714285714235
S-J-CB minus A-CB,1993,0,tail_post_base_macro_recall,
S-J-CB minus A-CB,1993,1,balanced_accuracy,0.4355010551128231
S-J-CB minus A-CB,1993,1,tail_rank8_macro_recall,-3.5714285714285765
S-J-CB minus A-CB,1993,1,head_rank8_macro_recall,1.980574841079715
S-J-CB minus A-CB,1993,1,middle_rank7_macro_recall,1.7869562131857322
S-J-CB minus A-CB,1993,1,old_macro_recall,0.5025012174378816
S-J-CB minus A-CB,1993,1,current_macro_recall,0.0
S-J-CB minus A-CB,1993,1,HM_old_current_macro,0.3365043028118606
S-J-CB minus A-CB,1993,1,base_macro_recall,0.5025012174378816
S-J-CB minus A-CB,1993,1,post_base_macro_recall,0.0
S-J-CB minus A-CB,1993,1,old_tail_macro_recall,-3.5714285714285765
S-J-CB minus A-CB,1993,1,current_tail_macro_recall,
S-J-CB minus A-CB,1993,1,tail_base_macro_recall,-3.5714285714285765
S-J-CB minus A-CB,1993,1,tail_post_base_macro_recall,
S-J-CB minus A-CB,1993,2,balanced_accuracy,0.6424551240162799
S-J-CB minus A-CB,1993,2,tail_rank8_macro_recall,-2.857142857142861
S-J-CB minus A-CB,1993,2,head_rank8_macro_recall,2.240520267168847
S-J-CB minus A-CB,1993,2,middle_rank7_macro_recall,1.904761904761898
S-J-CB minus A-CB,1993,2,old_macro_recall,0.7281158072184724
S-J-CB minus A-CB,1993,2,current_macro_recall,0.0
S-J-CB minus A-CB,1993,2,HM_old_current_macro,0.22966728571318384
S-J-CB minus A-CB,1993,2,base_macro_recall,0.8401336237135979
S-J-CB minus A-CB,1993,2,post_base_macro_recall,0.0
S-J-CB minus A-CB,1993,2,old_tail_macro_recall,-3.5714285714285765
