method,seed,stage,residual,stream_batch_W_max_abs,G_sha256,R_sha256,full_joint_cross_block_norm,score_max_abs,weight_norm_difference,W_structure_verified,solve_relative_residual,score_ties
A-CB,1994,4,1.4690269244870111e-15,1.762479051592436e-14,cf3d98ade5bac13973115f811a91a1fba858355ab8c8ea72cc4b97a9175aab9d,ef54352316dd9b379134fd2f3439ef12ca0c49763c8dd7d6d9400e38556eed38,,1.3322676295501878e-15,0.0,True,1.508378365954653e-15,0
A-CB,1994,5,1.5634073567265611e-15,1.63202784619898e-14,07d9132051e1211f0e8dcef70f6fe85d73dc6d518087d4c02c3d6fd854f07fd3,4a4f4455f56fe039a6ffc3b708113b0c8903aae9ff0d876678b5af7d8b3e3654,,9.992007221626409e-16,1.7763568394002505e-15,True,1.5814196891973173e-15,0
A-CB,1995,0,1.35578591919942e-15,2.19824158875781e-14,3326a59d12f345dac4afc027a7499edebe4b113fdd0a02571be8c9e7ced3f2cb,41115525413f3d54acd4db004057b699f071ceac8697bae471d0f3bdb57f0757,,1.9984014443252818e-15,0.0,True,1.3229635272294178e-15,0
A-CB,1995,1,1.5497449716260178e-15,1.8492152253912764e-14,a5a5b067741be18f836fc9c40ad7a3270ba7491d30d00e03058aa158585298e4,fd764b441c3a210217dce75d966d06de6c3bf3791c9d0af15faecb9db3522c10,,1.1102230246251565e-15,0.0,True,1.5657251011655795e-15,0
A-CB,1995,2,1.4337861149843722e-15,1.7139067942650854e-14,b4afaa0232a4fb6c133287d9323c629e9c4b0ac9e462b0774aab0baf91efaa2c,4ae8345963b5376a3dc48c811e3765e12dbce0ba443d3a6f54c01969ccf5e8fe,,1.6653345369377348e-15,0.0,True,1.4661435541800398e-15,0
A-CB,1995,3,1.5537176249911182e-15,1.659783421814609e-14,7f0801283eee96fbf5cf3b9ee0afcda5c845ce362b0f09d32f7dcda0f5f9e532,a89d40f3072b15adedb6ee3c6946e94d99933eb030afa211bbc70df8379040f0,,1.9984014443252818e-15,0.0,True,1.5568629091700963e-15,0
A-CB,1995,4,1.5132746859306928e-15,1.532107773982716e-14,abf5dd548dd96292be72a1260045e85af3fab280e7568d2acfbc55c72a662087,eb41c98d8aaae1f77fae89362eda652c535456f17212dbb7b4c891213083cfcc,,1.5543122344752192e-15,1.7763568394002505e-15,True,1.5574426359022605e-15,0
A-CB,1995,5,1.5454061076714924e-15,1.4432899320127035e-14,b086bd8ae87782f8e8225cdb827d8477ac285ace1243efe3be26983d613cfdb8,5a870c2268b9da8607ce824db0c0615607baf29d98182b1f321ff32cf1725fe2,,1.4432899320127035e-15,1.7763568394002505e-15,True,1.5763036585975173e-15,0
S-J-CB,1993,0,1.1622048745843237e-15,2.3370194668359545e-14,319514cdb1caea2ec87131aec955ecbfa3fe9a12fb3e845d3b5a3cc65b128efa,727d91c65e72b728e09d9f5ea30a9d70ca462704a3659b36b31490146d1bfc3c,0.2622682847473351,,,,,
S-J-CB,1993,1,1.208674851645193e-15,1.7819079545233762e-14,242a119f4deec580ed6d9b50f649599bdde6c87b13c87b034281bd96c141b524,a9867c8551523f15aabd24f989b3800cb7aaa426b82564d7b206b8d292d9cc1b,0.25973752696248475,,,,,
S-J-CB,1993,2,1.19483497204833e-15,1.9331758416285538e-14,6b74a261f75c19fa7f8ecabd3a24115550dee4385a6a29202a9ac297f964aaee,e8a9daecd8a331268bb46897b17ce25f9af4efe26d6872773ff124c0ca29fa45,0.25727272447180327,,,,,
S-J-CB,1993,3,1.2897456246407878e-15,2.363387263670802e-14,be8acb4bbb9b216d8340d46d15a0ae23de2a71757b7e9d53ec12c111587d6dc8,bcbe3303760e3c570847b9ab1f242bdbd9ac7cf1b30c87c556e9614b26c857c0,0.2573907462765881,,,,,
S-J-CB,1993,4,1.2920466785688649e-15,1.3586354263850353e-14,59dd2a3629fc0db140b26d216a9a55e0fda495a6eb1d858d59672551cef95e16,09546a682618b6362a3a1229064554448c798d5bb2b1619585c78feb6c27f4fb,0.25824184563845337,,,,,
S-J-CB,1993,5,1.4359063808665597e-15,1.186550857568136e-14,4ac2a831a23d262c6e06d2880418854501937b8ebec702cf14f92c6085df7716,afda47cdabea3706b1bd3141e058a317c47870fba5c61792edfc0a46d072bb15,0.26029485329907387,,,,,
S-J-CB,1994,0,1.1859613266173893e-15,2.1621593404574924e-14,63dbacfa1c170a0494f4ebd1219dd5e4a8f603e773f3497361aae825de256e96,e54303d44c42db74b872d628bb5d50fb9aa6081801b7998b33f8d965d6456fb7,0.2497999463202417,,,,,
S-J-CB,1994,1,1.1785898612685433e-15,1.6715795414512513e-14,51b95a4eb2abf56ea4726d5e8c6bc17f1086cbca7f92395e2395c711774e7df4,72dcb714f758f3829bcd3a528d79700eb7a501fc89a9c89e5f301794073e4d79,0.25014374454817956,,,,,
S-J-CB,1994,2,1.2271655627123402e-15,1.8322149353267037e-14,d7f2206085314001445b1759a750d3034979ebf260ee00fc3c1c1b557b297119,14254faf4f82e219771028f112e94f54f0dd047da1dc9bc00438e08a1f39161e,0.2531235112260161,,,,,
S-J-CB,1994,3,1.3658124377919252e-15,1.772193503057906e-14,3dc4c4d05aa900b18cf3f8d3b6903753303db15364b8fa019fae32a83911c63d,eaceb8ae998a383352811f61ad9b148735506dafc90e093461989511a3863a2f,0.2538150467073378,,,,,
S-J-CB,1994,4,1.2957169103957171e-15,1.942890293094024e-14,8ff4713e7d4e6039c756ab091f490139c152029015b38a9443f4237e379461db,8afc339b8a925b7d3cca71401e247dd936cc23918be35c41dc67ea196705829c,0.2545107057344009,,,,,
S-J-CB,1994,5,1.3489954402588222e-15,1.710263874965534e-14,bb9a0fa585814c140f91540c573194971171a4913c80081294252eae610f2d37,99912c2edf8c3c69781265b937fe9ff0260e4a473584472107c94d91f16e9dd4,0.25735945622913037,,,,,
S-J-CB,1995,0,1.1766416086407665e-15,2.7509244882040207e-14,c5a5f3c0510ef6210fd48e5cda3ccbbe151cb0157da48b34259b6263a5056b45,f34c21feae3d98e169806193e44ea33c44e510907681b1a72eef472ba259c297,0.26713464987525554,,,,,
S-J-CB,1995,1,1.1393190848284031e-15,2.6992297286199118e-14,a62f15b1176aa300e138a86c3f106ca50c8535adbe1d50661ed528eb746f520b,97bb0c9b4556586e32b9c9bd76500e1beea63dd83d7624ebf230594893b36aa5,0.26752142396007417,,,,,
S-J-CB,1995,2,1.3046360355441767e-15,1.774969060619469e-14,dd4f2116a80b622f67bd9fee74e8602b87a04e8fde1376e7cd9d0398576c1b3c,8441bca42594cf1ef2f3edfa29f729e2b358bcba9230ca59490365ef41c7086e,0.26357302413496914,,,,,
S-J-CB,1995,3,1.2436814446176246e-15,2.133015986061082e-14,be64145e08b61e72ce8dad25a50b0eabe242ed7850cd94bfacc5f37d980a8019,4a39019fe0f043658e1e33a4a98e5af877543e811a7d3a3315584f9e31e36d4b,0.26444732487455835,,,,,
S-J-CB,1995,4,1.3279007204709752e-15,1.5362711103250604e-14,c12286f05a4d89a76c8bc23ec129b303d1518a98a9ba8968923dff6832ad999e,66a9e7a2e9041fa2cd430c372676f122413176ae845e8aa467249aa46cd20080,0.2629854526762052,,,,,
S-J-CB,1995,5,1.2836896104626593e-15,1.4488410471358293e-14,c718830998cc1e3f1c3605c4e432a08e2e3759afe7b08aecebd159e5c4172ca1,110a6f404ed6915c022e86382ec0c81602f1723aa744395d10f521868e817f75,0.2638752654910782,,,,,
S-M-CB,1993,0,1.1975990506345853e-15,1.7819079545233762e-14,73bdefa4922bdca5235828012690ee496d0f1eacc1b51be1d38b68d76224b16e,3299f9679b5bcdd9176c1d4302e0f7f2b884f6f0922e35ab891eb0a86a3942e3,,,,,,
S-M-CB,1993,1,1.1901207511126056e-15,1.2156942119645464e-14,d1a2d466145a76548c60fdfc7201399b93f9b5a8172264c68534c9705359b634,a7a5fe42de3172ea64badd762578cf1a0f32148b9fce93b59ab41aeef898e1b7,,,,,,
S-M-CB,1993,2,1.3318609920377815e-15,1.0880185641326534e-14,a093f0dc6f59f5e01c58a338feb8a61b110f67891dc481b7bafdc33b96682e4a,acee423cb783fd9e530ec69e5341cfaad67d082c9804e1331944e71c2e683826,,,,,,
S-M-CB,1993,3,1.2978845189738198e-15,1.2601031329495527e-14,9b17a64db989806031805733ef716d7af4e0dbd90bb33f050c8e81c89b4ecfc2,02445aae847b8269c293112c4afcd291e55090a77af7d6ed5997be77d95c277e,,,,,,
S-M-CB,1993,4,1.3287943781022892e-15,1.1102230246251565e-14,1e0a353fd6c9b5de44f586968f6b8260d671f20b2a5bfd36e6df5c17b7c2bdb5,f8362e4f01c8de8fb804d7c2b43f6b4296a17698e1204587d158a368aec4aff9,,,,,,
S-M-CB,1993,5,1.2813568373588564e-15,1.0685896612017132e-14,f1a49cc1ec3172e2fa595bda73a73b85fcf12e9825c8557e51f29f892588907c,e18997f683d4112e0fe61f0a50dbf96d2da7739a755f871571b94936adc3241b,,,,,,
S-M-CB,1994,0,1.1080601920933287e-15,1.459943277382081e-14,45017d0e52202450b8a9de53f72087e586ff6b609a14b0a464d74e373f8ea00a,4d28ba1b3d31e5c3acfcb5a3090b2ed149c12cca05f0475bb2edce6e640e9386,,,,,,
S-M-CB,1994,1,1.2900268719416594e-15,1.5668022435022522e-14,af18a247bd3d3f67c0ce57ed537c0ff1cf134d26833ef2ba6dff32ebdb371598,a82e1c4117994dcef3af2d5513644f1e545df8d7dfd5e402b8e6964b1aaf85a0,,,,,,
S-M-CB,1994,2,1.3643850830776339e-15,1.3877787807814457e-14,0f10fc7d543a70b02a5a31553971c0f429b91ceca6b35ecd0523b21cdeaab29a,5237805307bd1021265884a6d5f2806c8bb88abbe8f812874365f067f6c66064,,,,,,
S-M-CB,1994,3,1.3167921868153224e-15,1.3239409568654992e-14,c87b6b6190c29fa68db6450dc43ca7e7ab6a2b641193d72d387a7e5fa6c6ceeb,62e8d66c08dabdbd409c6bff52bb79913ce4bf8ed734f1d714638f10eb2649c6,,,,,,
S-M-CB,1994,4,1.3239138946496788e-15,1.1463052729254741e-14,4741bfb3fe2872d852b00920b85d08baeb2868058047a45449c7d97d68fc60fa,b32d4b8149a663c745a3ee18b9deba2f2a1aeb2023636c495cd38540691c1c30,,,,,,
S-M-CB,1994,5,1.3398669010240379e-15,1.2878587085651816e-14,fbeb477bdaab824cef0f0c1929563201ea9b55b2b689b9c05dbeb37f87d3479a,4640d335d232097a1220d531e4a23c055fc7d5d96862c735b3bd615d6496c62e,,,,,,
S-M-CB,1995,0,1.2211223251795293e-15,1.7319479184152442e-14,9a67dc6bc805abe3bef071a55ec67d17979aed2df12c5fa4167f7f007c869640,e072c674f2d51a2507394c960eb568f86ba1a1c64f88c016003db049ddac0100,,,,,,
S-M-CB,1995,1,1.2218148568372574e-15,2.1690982343613996e-14,55bf03171625f04a818b8bcee1039c20001c6dad06093f6efef3f7b3a241b002,34bd1f1d0a2b5515257cf145af1e024e2ead4ab8d8af828803a249363e020b54,,,,,,
S-M-CB,1995,2,1.2599186032438945e-15,1.3156142841808105e-14,b4c3353f75482ab7b325f5d524caee96d61e3969308f67083125b572a96a929d,f9e5b543fa09a4f0a3a5d6249d9395ff98ffbfcf94e38f11a61b4f28bbd70205,,,,,,
S-M-CB,1995,3,1.3094522310274399e-15,1.3836154444391013e-14,f209d9160c04cf7d9ec56b6a801aae2f78d5bc1a67a528f4150936cf168a9f09,c3e3217c7399395feba1cd99b6150b6dbf5635959d4f266a93b1c0a672988052,,,,,,
S-M-CB,1995,4,1.3146043510075865e-15,1.3025171219371856e-14,2f263b253a3b4ccfa01dae5fb3780cc3748adb462791dd8866d2342f57b20eb4,b0dc7a00fd42362b21ac06609b2d7ee0e0de79fcad58e4fa8ea6127c032688c1,,,,,,
S-M-CB,1995,5,1.3127169150521667e-15,9.798585554054995e-15,e40d0e4dd6f3c3077b0be1d92ebf05d7d8c49e4b7f49d276729e22ee5bb97ddd,9655d2d6190d1fe4ba78cf732b6f7f85d8d4b0d87e6edc1381f30c092d9dc3d8,,,,,,
