method,seed,stage,residual,stream_batch_W_max_abs,G_sha256,R_sha256,full_joint_cross_block_norm,score_max_abs,weight_norm_difference,W_structure_verified,solve_relative_residual,score_ties
A-CB,1993,0,1.2969312683722572e-15,1.9529516892546894e-14,0e07f0440bd5a402a98db896f9fa460291f63d1cafa08d363eabcf4e2c67f895,c0de9d526f1e8abe0560105ae3af668a499771805be5aa671f4c7aeb0640fcd3,,1.887379141862766e-15,3.552713678800501e-15,True,1.282972004062597e-15,0
A-CB,1993,1,1.3697640847583735e-15,2.086872341600099e-14,fcf5b0b8f751f8c3c701e8826c957781c9afab59a38060b8eb0524ceac55c321,d83f75fa1691284fd185b0ac64b5a10348ab384a563f33c001b6ef0132c3ce7d,,1.5543122344752192e-15,0.0,True,1.4412458093698173e-15,0
A-CB,1993,2,1.3793015538702838e-15,1.4099832412739488e-14,42dc4d39a85ca9b5d768078ac0ca0411d31e0f56fcbc35f0bb18e4f56f4b41d0,588dbe4d748e79e6572a797dd0751f52e5a68c31ffb8588c532c8ebccc5dacb9,,1.3322676295501878e-15,0.0,True,1.4666843280389665e-15,0
A-CB,1993,3,1.634449702782493e-15,1.554312234475219e-14,f194674900bbd25a8af8397b04d911fbe6fcd680485a35b2a0b2ddf0ea676a35,a0a3199ce227466ac1c79ea51f290c3de13df35587df014b331110b2cc9208ea,,1.3322676295501878e-15,0.0,True,1.7028912138872743e-15,0
A-CB,1993,4,1.557462369481159e-15,1.3350431871117507e-14,c743f4b31472d33a9f8de0e59b7cc3b3b07c401f69f9554ee106806536f41471,0a7e2b9b890345df87e9631fb37e69983cffbbc815a0ac0a590867446cd415fc,,1.6653345369377348e-15,1.7763568394002505e-15,True,1.639127059146306e-15,0
A-CB,1993,5,1.6152935559092364e-15,1.3516965324811281e-14,0685164a37b0115235273f1208d613801c20206ad7f1d518b374c443278d20b4,694a6d2a5d2dd8222de3a91aaa71f511c04576f1eb3902defd8f2366c5bfaf9c,,1.2212453270876722e-15,1.7763568394002505e-15,True,1.6505143769324588e-15,0
A-CB,1994,0,1.345017864972236e-15,2.0261570199409107e-14,5e2dbb0c4879943fa8c013852f6c8e7417c1fae7674a06f3c2314be9cfe03953,e034bc859c5ae2f3142abab80390b804ea9b1c318df799367573ef520d97ca6c,,2.4424906541753444e-15,1.7763568394002505e-15,True,1.371233864784884e-15,0
A-CB,1994,1,1.3125918409131735e-15,2.015054789694659e-14,9535e0e77558cae84f977fea3f3be35bb483197e5e0063b0473fc28d48e2bfba,4578e957cefed3cbe654d68f12cd9e32adfb129d253672e2bdd3015e21a76286,,1.3322676295501878e-15,1.7763568394002505e-15,True,1.3228479339390217e-15,0
A-CB,1994,2,1.4128107913781872e-15,1.6167622796103842e-14,2b0f215bf78fd229e254ce967b39f341eb641785a9fba77fcf9bf6ab7b5ee69c,944c47adee4da9510b090d5a76d4454093227f584458ab7e92b5442f24f0a102,,1.2212453270876722e-15,1.7763568394002505e-15,True,1.4916047776746285e-15,0
A-CB,1994,3,1.4682366312073317e-15,1.509903313490213e-14,985a5198610417ea4738a205e300726e63913efc8974424b09256dbe7a2bf87a,ced6f27a854d630d583e8dad936259d172d3786215ce3c10bee6c497a373a0c1,,1.887379141862766e-15,0.0,True,1.495056372567817e-15,0
