dataset,seed,task,method,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,prefix_terminal_BA,restricted_old_BA,restricted_old_accuracy
HK,1993,1,F1,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,,
HK,1993,2,F1,366,96.95121951219512,98.63387978142076,91.79767600820232,[],100.0,87.8048780487805,100.0,100.0,93.90243902439025,100.0,100.0,96.85534591194968,,100.0,100.0
HK,1993,3,F1,609,85.43534966965596,94.58128078817734,81.78210678210678,[],100.0,70.59176329468212,71.42857142857143,86.75958188153311,82.78688524590163,100.0,100.0,84.72669081108397,85.43534966965596,97.5609756097561,98.90710382513662
HK,1994,1,F1,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,,
HK,1994,2,F1,230,96.7797256097561,96.08695652173913,90.40184850311432,[],96.875,95.1219512195122,100.0,100.0,93.5594512195122,99.6875,99.50248756218906,96.6725733412089,,100.0,100.0
HK,1994,3,F1,399,81.08255903987612,95.73934837092732,76.66662348662966,[],98.75,81.99767711962835,62.5,90.37383855981417,62.5,100.0,100.0,73.89576873584396,81.08255903987612,96.32621951219512,96.08695652173913
HK,1995,1,F1,324,98.4375,98.4567901234568,98.45559845559846,[],98.4375,,,,98.4375,98.4375,98.4567901234568,,,,
HK,1995,2,F1,392,98.91006097560975,98.21428571428571,97.26422518823097,[],97.8201219512195,100.0,100.0,97.8201219512195,100.0,100.0,100.0,98.89805039685596,,98.75,98.76543209876543
HK,1995,3,F1,516,82.57537262872629,98.44961240310077,81.36209729964085,[5],98.4840785907859,100.0,50.0,99.06631097560975,49.59349593495935,100.0,100.0,66.09782149947114,82.57537262872629,99.06631097560977,98.46938775510205
ISIC,1993,1,F1,85,97.5609756097561,97.6470588235294,97.63888888888889,[],100.0,95.1219512195122,,,97.5609756097561,97.5609756097561,97.6470588235294,,,,
ISIC,1993,2,F1,149,73.6409830007391,75.83892617449665,74.85415646692333,[],93.18181818181819,71.52439024390245,58.333333333333336,85.61529933481154,61.66666666666667,82.91666666666666,85.9375,71.69391160345758,,97.5609756097561,97.6470588235294
ISIC,1993,3,F1,212,68.97951294292757,68.86792452830188,70.31753625204368,[],90.9090909090909,57.442320369149634,75.32051282051282,67.55450849963044,71.82952182952184,98.64864864864865,98.4126984126984,69.62645622311209,68.97951294292757,72.22838137472284,73.8255033557047
ISIC,1994,1,F1,64,73.75,79.6875,75.2895752895753,[],,97.5,50.0,,73.75,73.75,79.6875,,,,
ISIC,1994,2,F1,142,60.45457042408262,61.267605633802816,61.576153660804714,[],,62.55053834322127,54.166666666666664,65.83333333333333,55.07580751483191,65.0955833882663,65.38461538461539,59.97601123110544,,78.75,82.8125
ISIC,1994,3,F1,223,53.888980443858486,54.7085201793722,54.60184279191128,[],61.82432432432432,49.8950780048341,50.0,49.921308503625575,61.82432432432432,83.72235872235872,83.9506172839506,55.23886866119813,53.888980443858486,58.671308503625575,58.45070422535211
ISIC,1995,1,F1,77,85.74324324324324,85.71428571428571,85.70464135021098,[],86.48648648648648,85.0,,,85.74324324324324,85.74324324324326,85.71428571428571,,,,
ISIC,1995,2,F1,147,78.84296446796446,78.2312925170068,79.31165509682134,[],72.2051597051597,82.5,88.46153846153847,73.68243243243244,84.0034965034965,94.66783216783216,94.28571428571428,78.5051906276547,,86.89189189189189,87.01298701298701
ISIC,1995,3,F1,225,65.09464414952221,64.0,65.46344308105586,[],69.28746928746929,53.22841133816743,92.3076923076923,70.84565772065773,53.59261700725115,62.65655899802242,62.82051282051282,61.02309292140117,65.09464414952221,81.3219381969382,80.27210884353741
