dataset,seed,task,candidate,comparator,ba_difference_pp,macro_f1_difference_pp,accuracy_difference_pp,tail_ba_difference_pp,old_ba_difference_pp,current_ba_difference_pp,hm_difference_pp,zero_recall_difference
ISIC,1994,4,A6,A5,-0.33783783783783994,-0.19594481642751793,-0.3389830508474634,0.0,-0.45045045045045695,0.0,-0.27810808270654075,0
ISIC,1994,4,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1994,4,A6,A3s,-0.6813630305809504,-0.8531173168184081,-0.6779661016949157,0.0,-1.9954405625137506,3.2608695652173836,0.15376371082018725,0
ISIC,1995,1,A6,A2,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1995,1,A2,A0,-0.1013513513513642,-0.029011382343568926,0.0,nan,nan,-0.1013513513513642,nan,0
ISIC,1995,1,A6,A0,-0.1013513513513642,-0.029011382343568926,0.0,nan,nan,-0.1013513513513642,nan,0
ISIC,1995,1,A6,A5,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1995,1,A6,A4,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1995,1,A6,A3s,-0.1013513513513642,-0.029011382343568926,0.0,nan,nan,-0.1013513513513642,nan,0
ISIC,1995,2,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1995,2,A2,A0,0.23518711018711835,0.20773772945350544,0.0,3.8461538461538547,-1.4527027027027017,1.9230769230769273,-0.020134372015678803,0
ISIC,1995,2,A6,A0,0.23518711018711835,0.20773772945350544,0.0,3.8461538461538547,-1.4527027027027017,1.9230769230769273,-0.020134372015678803,0
ISIC,1995,2,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1995,2,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1995,2,A6,A3s,0.9108627858627982,0.6385062751162907,0.6802721088435382,3.8461538461538547,-0.10135135135135309,1.9230769230769273,0.753516495645179,0
ISIC,1995,3,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1995,3,A2,A0,1.5848414933780863,1.7317151615439563,1.7777777777777781,0.0,1.091830466830479,2.570863546473301,2.056207080831274,0
ISIC,1995,3,A6,A0,1.5848414933780863,1.7317151615439563,1.7777777777777781,0.0,1.091830466830479,2.570863546473301,2.056207080831274,0
ISIC,1995,3,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1995,3,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1995,3,A6,A3s,0.4842342342342376,0.4729982853652115,0.4444444444444473,0.0,-0.6249999999999867,2.7027027027026973,1.5153176797415457,0
ISIC,1995,4,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1995,4,A2,A0,-1.5938987128011672,-1.6593450754480488,-1.016949152542368,-6.08974358974359,-0.7363093948459909,-4.166666666666669,-2.833262549058646,0
ISIC,1995,4,A6,A0,-1.5938987128011672,-1.6593450754480488,-1.016949152542368,-6.08974358974359,-0.7363093948459909,-4.166666666666669,-2.833262549058646,0
ISIC,1995,4,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1995,4,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1995,4,A6,A3s,-1.0421642201865033,-1.049234693062151,-1.016949152542368,0.1602564102564097,-3.533272100345275,6.431159420289855,3.167865096279665,0
HK,1993,1,A6,A2,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1993,1,A2,A0,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1993,1,A6,A0,0.0,0.0,0.0,0.0,nan,0.0,nan,0
