accuracy,ba,current_ba,current_to_old,dataset,hm,macro_f1,method,old_ba,old_to_current,seed,seen_classes,tail_ba,task,zero_recall
0.9529411764705882,0.9528824833702882,0.9528824833702882,0,ISIC,nan,0.9528824833702882,P,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,A0,nan,0,1993,2,nan,1,0
0.9411764705882353,0.9406873614190687,0.9406873614190687,0,ISIC,nan,0.9410459148286863,A1,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,A2,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,A3,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,A3s,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,A4,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,A5,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,A6,nan,0,1993,2,nan,1,0
0.8705882352941177,0.8691796008869179,0.8691796008869179,0,ISIC,nan,0.8699401863958827,A7,nan,0,1993,2,nan,1,0
0.9764705882352941,0.975609756097561,0.975609756097561,0,ISIC,nan,0.9763888888888889,A8,nan,0,1993,2,nan,1,0
0.7046979865771812,0.6786446784922394,0.5125,23,ISIC,0.6379694104674194,0.6825787558647984,P,0.8447893569844789,11,1993,4,0.5,2,0
0.7583892617449665,0.736409830007391,0.6166666666666667,20,ISIC,0.7169391160345758,0.7485415646692333,A0,0.8561529933481153,12,1993,4,0.5833333333333334,2,0
0.6778523489932886,0.6565271618625277,0.5625,22,ISIC,0.6430606860158312,0.66195123258158,A1,0.7505543237250555,19,1993,4,0.5,2,0
0.7516778523489933,0.7267137841832964,0.6208333333333333,19,ISIC,0.7112872571018122,0.739509645936325,A2,0.8325942350332594,13,1993,4,0.5416666666666666,2,0
0.7516778523489933,0.7267137841832964,0.6208333333333333,19,ISIC,0.7112872571018122,0.739509645936325,A3,0.8325942350332594,13,1993,4,0.5416666666666666,2,0
0.7516778523489933,0.7267137841832964,0.6208333333333333,19,ISIC,0.7112872571018122,0.739509645936325,A3s,0.8325942350332594,13,1993,4,0.5416666666666666,2,0
0.7516778523489933,0.7267137841832964,0.6208333333333333,19,ISIC,0.7112872571018122,0.739509645936325,A4,0.8325942350332594,13,1993,4,0.5416666666666666,2,0
0.7583892617449665,0.7371304508499631,0.6416666666666666,18,ISIC,0.7247671926504318,0.7502319998386088,A5,0.8325942350332594,13,1993,4,0.5833333333333334,2,0
0.7516778523489933,0.7267137841832964,0.6208333333333333,19,ISIC,0.7112872571018122,0.739509645936325,A6,0.8325942350332594,13,1993,4,0.5416666666666666,2,0
0.5838926174496645,0.5669114929785661,0.47916666666666663,24,ISIC,0.5533306172336524,0.571391804097951,A7,0.6546563192904656,27,1993,4,0.4583333333333333,2,0
0.7516778523489933,0.7267137841832964,0.6208333333333333,19,ISIC,0.7112872571018122,0.739509645936325,A8,0.8325942350332594,13,1993,4,0.5416666666666666,2,0
0.6462264150943396,0.6473147119488583,0.6855509355509355,21,ISIC,0.655621807445972,0.6514766504661487,P,0.6281966001478196,16,1993,6,0.7131410256410255,3,0
0.6886792452830188,0.6897951294292758,0.7182952182952183,20,ISIC,0.6962645622311208,0.7031753625204368,A0,0.6755450849963045,13,1993,6,0.7532051282051282,3,0
0.6367924528301887,0.6308714330055794,0.7047817047817049,21,ISIC,0.6446169005696256,0.6290714560064404,A1,0.5939162971175167,18,1993,6,0.6490384615384616,3,0
0.6886792452830188,0.6869157256352377,0.7182952182952183,20,ISIC,0.6939633769719797,0.6989293125286334,A2,0.6712259793052475,14,1993,6,0.7323717948717949,3,0
0.7028301886792453,0.6954409082457863,0.7047817047817049,21,ISIC,0.6977057719319928,0.7077885793798897,A3,0.6907705099778271,11,1993,6,0.7115384615384616,3,0
0.7028301886792453,0.6954409082457863,0.7047817047817049,21,ISIC,0.6977057719319928,0.7098047402776295,A3s,0.6907705099778271,11,1993,6,0.7115384615384616,3,0
0.6886792452830188,0.6869157256352377,0.7182952182952183,20,ISIC,0.6939633769719797,0.6989293125286334,A4,0.6712259793052475,14,1993,6,0.7323717948717949,3,0
0.6886792452830188,0.6869157256352377,0.7182952182952183,20,ISIC,0.6939633769719797,0.6989293125286334,A5,0.6712259793052475,14,1993,6,0.7323717948717949,3,0
0.6886792452830188,0.6869157256352377,0.7182952182952183,20,ISIC,0.6939633769719797,0.6989293125286334,A6,0.6712259793052475,14,1993,6,0.7323717948717949,3,0
0.5566037735849056,0.5560202002275173,0.6086278586278586,23,ISIC,0.5664369918687012,0.5701066192651045,A7,0.5297163710273467,15,1993,6,0.594551282051282,3,0
0.6933962264150944,0.6909807662856443,0.7182952182952183,20,ISIC,0.6972079692005776,0.702887537993921,A8,0.6773235402808573,14,1993,6,0.7323717948717949,3,0
0.5423728813559322,0.5549726359343273,0.47414806110458285,42,ISIC,0.5225326034133322,0.5555991004063034,P,0.5819141608775755,26,1993,8,0.7115384615384616,4,0
0.5796610169491525,0.5899420215698052,0.4767920094007051,42,ISIC,0.5419212440306077,0.5954243643615824,A0,0.6276586922928387,23,1993,8,0.7131410256410255,4,0
0.5186440677966102,0.5293695076204354,0.43595769682726204,44,ISIC,0.4904484808920892,0.518530239851596,A1,0.5605067778848266,29,1993,8,0.6490384615384616,4,0
0.5932203389830508,0.6027716194603787,0.4767920094007051,40,ISIC,0.5481999781558026,0.6082502383437977,A2,0.6447648228136033,23,1993,8,0.7131410256410255,4,0
