dataset,candidate,comparator,final_ba_gain_pp,three_order_sd_pp,conditional_low_pp,conditional_high_pp,crosses_zero,bootstrap_replicates,bootstrap_seed,unit,fixed_model_seeds,minimum_class_val_n
ISIC,A6,A2,0.0,0.0,0.0,0.0,True,2000,57002,class_stratified_identity_component,3,24
ISIC,A2,A0,0.6688149543398753,2.02667538258046,-1.8640958579220774,3.020135287258931,True,2000,57002,class_stratified_identity_component,3,24
ISIC,A6,A0,0.6688149543398753,2.02667538258046,-1.8640958579220774,3.020135287258931,True,2000,57002,class_stratified_identity_component,3,24
ISIC,A6,A5,-0.11261261261261239,0.1950507666181164,-0.3472222222222224,0.0,True,2000,57002,class_stratified_identity_component,3,24
ISIC,A6,A4,0.0,0.0,0.0,0.0,True,2000,57002,class_stratified_identity_component,3,24
ISIC,A6,A3s,-0.41200398835605556,0.799622140703321,-2.074054589276238,1.1480409967319067,True,2000,57002,class_stratified_identity_component,3,24
HK,A6,A2,0.0,0.0,0.0,0.0,True,2000,57002,class_stratified_identity_component,3,1
HK,A2,A0,0.6525950220880757,0.10748200390116297,-1.3394733482005372,2.7882663528574763,True,2000,57002,class_stratified_identity_component,3,1
HK,A6,A0,0.6525950220880757,0.10748200390116297,-1.3394733482005372,2.7882663528574763,True,2000,57002,class_stratified_identity_component,3,1
HK,A6,A5,0.02253078605146461,0.05434342652881647,-0.13125100420964697,0.19905722297026637,True,2000,57002,class_stratified_identity_component,3,1
HK,A6,A4,0.0,0.0,0.0,0.0,True,2000,57002,class_stratified_identity_component,3,1
HK,A6,A3s,0.1852812259328361,0.10319442981154885,-0.10608669245904882,0.4566972246310587,True,2000,57002,class_stratified_identity_component,3,1
