dataset,seed,method,avg_ba_all,avg_ba_inc,final_ba,final_macro_f1,final_tail
ISIC,1993,P,0.7084536274364283,0.6269773421251417,0.5549726359343273,0.5555991004063034,0.7115384615384616
ISIC,1993,A0,0.7479391842760083,0.672048993668824,0.5899420215698052,0.5954243643615824,0.7131410256410255
ISIC,1993,A1,0.6893638659769028,0.6055893674961809,0.5293695076204354,0.518530239851596,0.6490384615384616
ISIC,1993,A2,0.7480027213441184,0.6721337097596377,0.6027716194603787,0.6082502383437977,0.7131410256410255
ISIC,1993,A3,0.7503758266085943,0.6752978501122722,0.6037388579077339,0.6088997913178182,0.6923076923076923
ISIC,1993,A3s,0.7489152287825074,0.6733503863441562,0.597896466603386,0.6027721041815814,0.6923076923076923
ISIC,1993,A4,0.7480027213441184,0.6721337097596377,0.6027716194603787,0.6082502383437977,0.7131410256410255
ISIC,1993,A5,0.7506068880107851,0.6756059319818598,0.6027716194603787,0.6082502383437977,0.7131410256410255
ISIC,1993,A6,0.7480027213441184,0.6721337097596377,0.6027716194603787,0.6082502383437977,0.7131410256410255
ISIC,1993,A7,0.6146772845399238,0.5298431790909257,0.46659784406669347,0.47237092611823234,0.594551282051282
ISIC,1993,A8,0.7482567863847689,0.6724724631471716,0.599722838972574,0.6052689114712124,0.7131410256410255
ISIC,1994,P,0.6135886599723754,0.5653404355187228,0.5549726359343273,0.5555991004063034,0.7115384615384616
ISIC,1994,A0,0.6082695592877525,0.5651927457170034,0.5521427284715991,0.5534786749587792,0.6939102564102564
ISIC,1994,A1,0.6139467050414492,0.5630400511663768,0.5293695076204354,0.518530239851596,0.6490384615384616
ISIC,1994,A2,0.633305137120255,0.5846846272714511,0.5753165663392333,0.5770033660381297,0.6907051282051282
ISIC,1994,A3,0.6352667297109902,0.587300084059098,0.5858381729139948,0.587923412886407,0.6907051282051282
ISIC,1994,A3s,0.6339390057841807,0.5855297854900187,0.5821301966450428,0.5855345392063138,0.6907051282051282
ISIC,1994,A4,0.631742637120255,0.5826012939381179,0.5753165663392333,0.5770033660381297,0.6907051282051282
ISIC,1994,A5,0.6325872317148497,0.583727420064244,0.5786949447176117,0.5789628142024049,0.6907051282051282
ISIC,1994,A6,0.633305137120255,0.5846846272714511,0.5753165663392333,0.5770033660381297,0.6907051282051282
ISIC,1994,A7,0.49949520216537047,0.45210471399827173,0.4323622799331972,0.4186479057903659,0.594551282051282
ISIC,1994,A8,0.631742637120255,0.5826012939381179,0.5753165663392333,0.5770033660381297,0.6907051282051282
ISIC,1995,P,0.701420313047931,0.6587631200999441,0.5549726359343273,0.5555991004063034,0.7115384615384616
ISIC,1995,A0,0.7257476011999475,0.6818526574557858,0.6061818861924907,0.6127360475934662,0.7532051282051282
ISIC,1995,A1,0.682246179362265,0.636688599510047,0.5293695076204356,0.518530239851596,0.6490384615384616
ISIC,1995,A2,0.7260595475484792,0.6826064237583326,0.590242899064479,0.5961425968389857,0.6923076923076923
ISIC,1995,A3,0.724095002195148,0.6841536966205578,0.5965285871303899,0.6015853664456374,0.7115384615384616
ISIC,1995,A3s,0.7254305939270811,0.6814299810919641,0.600664541266344,0.6066349437696072,0.6907051282051282
ISIC,1995,A4,0.7260595475484792,0.6826064237583326,0.590242899064479,0.5961425968389857,0.6923076923076923
ISIC,1995,A5,0.7260595475484792,0.6826064237583326,0.590242899064479,0.5961425968389857,0.6923076923076923
ISIC,1995,A6,0.7260595475484792,0.6826064237583326,0.590242899064479,0.5961425968389857,0.6923076923076923
ISIC,1995,A7,0.6048983561543212,0.5640761865841399,0.468131880777692,0.4716410415354077,0.592948717948718
ISIC,1995,A8,0.725297352426528,0.681590163595731,0.5871941185766743,0.5932350044784259,0.6923076923076923
HK,1993,P,0.7800833554466451,0.7580916909913096,0.6112772365602366,0.5552510872088553,0.33616071428571426
HK,1993,A0,0.7795471548015788,0.7575018702817368,0.6121035818021747,0.5562712802796661,0.33616071428571426
HK,1993,A1,0.7353799306029193,0.7089179236632113,0.5821091587975448,0.5203282691695976,0.33169642857142856
HK,1993,A2,0.7911467196783364,0.77026139164617,0.6194975410720568,0.5632523653044814,0.3455357142857143
HK,1993,A3,0.7915355334629983,0.7706890868092983,0.6282745677958725,0.5639484688080503,0.3705357142857143
HK,1993,A3s,0.789230626379918,0.7681536890179099,0.617905856408255,0.5603130238675305,0.3455357142857143
HK,1993,A4,0.7914238815408642,0.7705662696949506,0.6194975410720568,0.5632523653044814,0.3455357142857143
HK,1993,A5,0.7912764456309982,0.770404090194098,0.6198510228677443,0.5647805162773707,0.3455357142857143
HK,1993,A6,0.7911467196783364,0.77026139164617,0.6194975410720568,0.5632523653044814,0.3455357142857143
HK,1993,A7,0.7098390600948324,0.6808229661043158,0.5703492103111295,0.5301104043761022,0.28482142857142856
HK,1993,A8,0.7910666463690514,0.7701733110059565,0.6182699951997602,0.5619980857042098,0.3455357142857143
HK,1994,P,0.7268960634575712,0.6995856698033283,0.6112772365602367,0.5552510872088553,0.3361607142857143
HK,1994,A0,0.7261883484150135,0.6988071832565148,0.6110958757646037,0.5559491555030193,0.3361607142857143
HK,1994,A1,0.7405626824799967,0.7146189507279963,0.5821091587975448,0.5203282691695976,0.33169642857142856
HK,1994,A2,0.7375790693146591,0.7113369762461251,0.6179560390957721,0.5600229382808051,0.3455357142857143
HK,1994,A3,0.7388642197559592,0.712750641731555,0.6253727132823165,0.5606713653964764,0.3705357142857143
HK,1994,A3s,0.7382410534174718,0.7120651587592189,0.6169795236638684,0.5582831695904723,0.3455357142857143
HK,1994,A4,0.7375790693146591,0.7113369762461251,0.6179560390957721,0.5600229382808051,0.3455357142857143
HK,1994,A5,0.738404093805748,0.7122445031863227,0.6172314014146127,0.5602130851048238,0.3455357142857143
HK,1994,A6,0.7375790693146591,0.7113369762461251,0.6179560390957721,0.5600229382808051,0.3455357142857143
HK,1994,A7,0.6646308384683268,0.6310939223151596,0.5632016729470918,0.5255235661192563,0.26919642857142856
HK,1994,A8,0.7370608590651507,0.7107669449716657,0.6170203459695501,0.5588625654009922,0.3455357142857143
HK,1995,P,0.7727657051284574,0.7516047756413032,0.6112772365602367,0.5552510872088553,0.3361607142857143
HK,1995,A0,0.7720670445110482,0.7508362489621532,0.6131857149582831,0.5571741053813829,0.3361607142857143
HK,1995,A1,0.7524746102917927,0.7295970713209722,0.5821091587975447,0.5203282691695975,0.33169642857142856
HK,1995,A2,0.7785164048450592,0.758243045329565,0.6185094430198748,0.5632368572142418,0.3455357142857143
HK,1995,A3,0.7815371492871791,0.761565864215897,0.6226497335649901,0.5578285691267793,0.3705357142857143
HK,1995,A3s,0.7778870749119501,0.7575507824031449,0.6155192063375952,0.5584776231895175,0.3455357142857143
HK,1995,A4,0.7785164048450592,0.758243045329565,0.6185094430198748,0.5632368572142418,0.3455357142857143
HK,1995,A5,0.777726242559083,0.7573738668149912,0.6182046753238027,0.5632572076239918,0.3455357142857143
HK,1995,A6,0.7785164048450592,0.758243045329565,0.6185094430198748,0.5632368572142418,0.3455357142857143
HK,1995,A7,0.7450921980082629,0.7211639178090891,0.5700914423810551,0.5317773044081505,0.26919642857142856
HK,1995,A8,0.7783524369142928,0.758062680605722,0.6172709713466206,0.5614423582143612,0.3455357142857143
