class_id,dataset,f1,fn,fp,method,n,n_components_fit,recall,seed,task,tp,zero_recall
4,ISIC,0.9512195121951219,2,2,P,41,199.0,0.9512195121951219,1993,1,39,False
0,ISIC,0.9545454545454546,2,2,P,44,6552.0,0.9545454545454546,1993,1,42,False
4,ISIC,0.975,2,0,A0,41,199.0,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,A0,44,6552.0,1.0,1993,1,44,False
4,ISIC,0.9382716049382716,3,2,A1,41,199.0,0.926829268292683,1993,1,38,False
0,ISIC,0.9438202247191011,2,3,A1,44,6552.0,0.9545454545454546,1993,1,42,False
4,ISIC,0.975,2,0,A2,41,199.0,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,A2,44,6552.0,1.0,1993,1,44,False
4,ISIC,0.975,2,0,A3,41,199.0,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,A3,44,6552.0,1.0,1993,1,44,False
4,ISIC,0.975,2,0,A3s,41,199.0,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,A3s,44,6552.0,1.0,1993,1,44,False
4,ISIC,0.975,2,0,A4,41,199.0,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,A4,44,6552.0,1.0,1993,1,44,False
4,ISIC,0.975,2,0,A5,41,199.0,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,A5,44,6552.0,1.0,1993,1,44,False
4,ISIC,0.975,2,0,A6,41,199.0,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,A6,44,6552.0,1.0,1993,1,44,False
4,ISIC,0.8607594936708861,7,4,A7,41,199.0,0.8292682926829268,1993,1,34,False
0,ISIC,0.8791208791208791,4,7,A7,44,6552.0,0.9090909090909091,1993,1,40,False
4,ISIC,0.975,2,0,A8,41,199.0,0.9512195121951219,1993,1,39,False
0,ISIC,0.9777777777777777,0,2,A8,44,6552.0,1.0,1993,1,44,False
4,ISIC,0.7529411764705882,9,12,P,41,199.0,0.7804878048780488,1993,2,32,False
0,ISIC,0.8247422680412371,4,13,P,44,6552.0,0.9090909090909091,1993,2,40,False
3,ISIC,0.5526315789473685,19,15,P,40,799.0,0.525,1993,2,21,False
7,ISIC,0.6,12,4,P,24,23.0,0.5,1993,2,12,False
4,ISIC,0.7710843373493976,9,10,A0,41,199.0,0.7804878048780488,1993,2,32,False
0,ISIC,0.8631578947368421,3,10,A0,44,6552.0,0.9318181818181818,1993,2,41,False
3,ISIC,0.6419753086419753,14,15,A0,40,799.0,0.65,1993,2,26,False
7,ISIC,0.717948717948718,10,1,A0,24,23.0,0.5833333333333334,1993,2,14,False
4,ISIC,0.691358024691358,13,12,A1,41,199.0,0.6829268292682927,1993,2,28,False
0,ISIC,0.782608695652174,8,12,A1,44,6552.0,0.8181818181818182,1993,2,36,False
3,ISIC,0.6024096385542169,15,18,A1,40,799.0,0.625,1993,2,25,False
7,ISIC,0.5714285714285714,12,6,A1,24,23.0,0.5,1993,2,12,False
4,ISIC,0.7560975609756098,10,10,A2,41,199.0,0.7560975609756098,1993,2,31,False
0,ISIC,0.851063829787234,4,10,A2,44,6552.0,0.9090909090909091,1993,2,40,False
3,ISIC,0.6666666666666666,12,16,A2,40,799.0,0.7,1993,2,28,False
7,ISIC,0.6842105263157895,11,1,A2,24,23.0,0.5416666666666666,1993,2,13,False
4,ISIC,0.7560975609756098,10,10,A3,41,199.0,0.7560975609756098,1993,2,31,False
0,ISIC,0.851063829787234,4,10,A3,44,6552.0,0.9090909090909091,1993,2,40,False
3,ISIC,0.6666666666666666,12,16,A3,40,799.0,0.7,1993,2,28,False
7,ISIC,0.6842105263157895,11,1,A3,24,23.0,0.5416666666666666,1993,2,13,False
4,ISIC,0.7560975609756098,10,10,A3s,41,199.0,0.7560975609756098,1993,2,31,False
0,ISIC,0.851063829787234,4,10,A3s,44,6552.0,0.9090909090909091,1993,2,40,False
3,ISIC,0.6666666666666666,12,16,A3s,40,799.0,0.7,1993,2,28,False
7,ISIC,0.6842105263157895,11,1,A3s,24,23.0,0.5416666666666666,1993,2,13,False
4,ISIC,0.7560975609756098,10,10,A4,41,199.0,0.7560975609756098,1993,2,31,False
0,ISIC,0.851063829787234,4,10,A4,44,6552.0,0.9090909090909091,1993,2,40,False
3,ISIC,0.6666666666666666,12,16,A4,40,799.0,0.7,1993,2,28,False
7,ISIC,0.6842105263157895,11,1,A4,24,23.0,0.5416666666666666,1993,2,13,False
4,ISIC,0.7560975609756098,10,10,A5,41,199.0,0.7560975609756098,1993,2,31,False
