dataset,seed,task,method,true_class,predicted_class,n
ISIC,1993,4,P,0,0,33
ISIC,1993,4,P,0,1,6
ISIC,1993,4,P,0,2,1
ISIC,1993,4,P,0,3,1
ISIC,1993,4,P,0,4,0
ISIC,1993,4,P,0,5,1
ISIC,1993,4,P,0,6,1
ISIC,1993,4,P,0,7,1
ISIC,1993,4,P,1,0,5
ISIC,1993,4,P,1,1,19
ISIC,1993,4,P,1,2,1
ISIC,1993,4,P,1,3,4
ISIC,1993,4,P,1,4,6
ISIC,1993,4,P,1,5,0
ISIC,1993,4,P,1,6,0
ISIC,1993,4,P,1,7,2
ISIC,1993,4,P,2,0,3
ISIC,1993,4,P,2,1,1
ISIC,1993,4,P,2,2,20
ISIC,1993,4,P,2,3,6
ISIC,1993,4,P,2,4,8
ISIC,1993,4,P,2,5,7
ISIC,1993,4,P,2,6,1
ISIC,1993,4,P,2,7,0
ISIC,1993,4,P,3,0,7
ISIC,1993,4,P,3,1,4
ISIC,1993,4,P,3,2,4
ISIC,1993,4,P,3,3,13
ISIC,1993,4,P,3,4,8
ISIC,1993,4,P,3,5,2
ISIC,1993,4,P,3,6,0
ISIC,1993,4,P,3,7,2
ISIC,1993,4,P,4,0,2
ISIC,1993,4,P,4,1,1
ISIC,1993,4,P,4,2,1
ISIC,1993,4,P,4,3,4
ISIC,1993,4,P,4,4,23
ISIC,1993,4,P,4,5,10
ISIC,1993,4,P,4,6,0
ISIC,1993,4,P,4,7,0
ISIC,1993,4,P,5,0,0
ISIC,1993,4,P,5,1,1
ISIC,1993,4,P,5,2,3
ISIC,1993,4,P,5,3,3
ISIC,1993,4,P,5,4,12
ISIC,1993,4,P,5,5,16
ISIC,1993,4,P,5,6,0
ISIC,1993,4,P,5,7,2
ISIC,1993,4,P,6,0,1
ISIC,1993,4,P,6,1,0
ISIC,1993,4,P,6,2,1
ISIC,1993,4,P,6,3,0
ISIC,1993,4,P,6,4,0
ISIC,1993,4,P,6,5,0
ISIC,1993,4,P,6,6,24
ISIC,1993,4,P,6,7,0
ISIC,1993,4,P,7,0,3
ISIC,1993,4,P,7,1,1
ISIC,1993,4,P,7,2,3
ISIC,1993,4,P,7,3,0
ISIC,1993,4,P,7,4,2
ISIC,1993,4,P,7,5,3
ISIC,1993,4,P,7,6,0
ISIC,1993,4,P,7,7,12
ISIC,1993,4,A0,0,0,35
ISIC,1993,4,A0,0,1,4
ISIC,1993,4,A0,0,2,2
ISIC,1993,4,A0,0,3,2
ISIC,1993,4,A0,0,4,0
ISIC,1993,4,A0,0,5,1
ISIC,1993,4,A0,0,6,0
ISIC,1993,4,A0,0,7,0
ISIC,1993,4,A0,1,0,7
ISIC,1993,4,A0,1,1,20
ISIC,1993,4,A0,1,2,1
ISIC,1993,4,A0,1,3,1
ISIC,1993,4,A0,1,4,5
ISIC,1993,4,A0,1,5,1
ISIC,1993,4,A0,1,6,0
ISIC,1993,4,A0,1,7,2
ISIC,1993,4,A0,2,0,3
ISIC,1993,4,A0,2,1,1
ISIC,1993,4,A0,2,2,19
ISIC,1993,4,A0,2,3,5
ISIC,1993,4,A0,2,4,12
ISIC,1993,4,A0,2,5,4
ISIC,1993,4,A0,2,6,1
ISIC,1993,4,A0,2,7,1
ISIC,1993,4,A0,3,0,7
ISIC,1993,4,A0,3,1,2
ISIC,1993,4,A0,3,2,3
ISIC,1993,4,A0,3,3,19
ISIC,1993,4,A0,3,4,6
ISIC,1993,4,A0,3,5,1
ISIC,1993,4,A0,3,6,0
ISIC,1993,4,A0,3,7,2
ISIC,1993,4,A0,4,0,0
ISIC,1993,4,A0,4,1,2
ISIC,1993,4,A0,4,2,1
ISIC,1993,4,A0,4,3,4
ISIC,1993,4,A0,4,4,25
ISIC,1993,4,A0,4,5,9
ISIC,1993,4,A0,4,6,0
ISIC,1993,4,A0,4,7,0
ISIC,1993,4,A0,5,0,0
ISIC,1993,4,A0,5,1,0
ISIC,1993,4,A0,5,2,3
ISIC,1993,4,A0,5,3,3
ISIC,1993,4,A0,5,4,13
ISIC,1993,4,A0,5,5,17
ISIC,1993,4,A0,5,6,0
ISIC,1993,4,A0,5,7,1
ISIC,1993,4,A0,6,0,1
ISIC,1993,4,A0,6,1,0
ISIC,1993,4,A0,6,2,2
ISIC,1993,4,A0,6,3,0
ISIC,1993,4,A0,6,4,0
ISIC,1993,4,A0,6,5,0
ISIC,1993,4,A0,6,6,23
ISIC,1993,4,A0,6,7,0
ISIC,1993,4,A0,7,0,2
ISIC,1993,4,A0,7,1,1
ISIC,1993,4,A0,7,2,3
ISIC,1993,4,A0,7,3,1
ISIC,1993,4,A0,7,4,2
ISIC,1993,4,A0,7,5,2
ISIC,1993,4,A0,7,6,0
ISIC,1993,4,A0,7,7,13
ISIC,1993,4,A1,0,0,33
ISIC,1993,4,A1,0,1,3
ISIC,1993,4,A1,0,2,2
ISIC,1993,4,A1,0,3,3
ISIC,1993,4,A1,0,4,0
ISIC,1993,4,A1,0,5,1
ISIC,1993,4,A1,0,6,0
ISIC,1993,4,A1,0,7,2
ISIC,1993,4,A1,1,0,6
ISIC,1993,4,A1,1,1,21
ISIC,1993,4,A1,1,2,2
ISIC,1993,4,A1,1,3,2
ISIC,1993,4,A1,1,4,2
ISIC,1993,4,A1,1,5,1
ISIC,1993,4,A1,1,6,1
ISIC,1993,4,A1,1,7,2
ISIC,1993,4,A1,2,0,4
ISIC,1993,4,A1,2,1,2
ISIC,1993,4,A1,2,2,14
ISIC,1993,4,A1,2,3,4
ISIC,1993,4,A1,2,4,14
ISIC,1993,4,A1,2,5,6
ISIC,1993,4,A1,2,6,1
ISIC,1993,4,A1,2,7,1
ISIC,1993,4,A1,3,0,6
ISIC,1993,4,A1,3,1,4
ISIC,1993,4,A1,3,2,2
ISIC,1993,4,A1,3,3,16
ISIC,1993,4,A1,3,4,3
ISIC,1993,4,A1,3,5,2
ISIC,1993,4,A1,3,6,4
ISIC,1993,4,A1,3,7,3
ISIC,1993,4,A1,4,0,0
ISIC,1993,4,A1,4,1,2
ISIC,1993,4,A1,4,2,4
ISIC,1993,4,A1,4,3,9
ISIC,1993,4,A1,4,4,22
ISIC,1993,4,A1,4,5,4
ISIC,1993,4,A1,4,6,0
ISIC,1993,4,A1,4,7,0
ISIC,1993,4,A1,5,0,0
ISIC,1993,4,A1,5,1,4
ISIC,1993,4,A1,5,2,3
ISIC,1993,4,A1,5,3,1
ISIC,1993,4,A1,5,4,14
ISIC,1993,4,A1,5,5,14
ISIC,1993,4,A1,5,6,0
ISIC,1993,4,A1,5,7,1
ISIC,1993,4,A1,6,0,0
ISIC,1993,4,A1,6,1,0
ISIC,1993,4,A1,6,2,2
ISIC,1993,4,A1,6,3,0
ISIC,1993,4,A1,6,4,0
ISIC,1993,4,A1,6,5,0
ISIC,1993,4,A1,6,6,24
ISIC,1993,4,A1,6,7,0
ISIC,1993,4,A1,7,0,5
ISIC,1993,4,A1,7,1,1
ISIC,1993,4,A1,7,2,2
ISIC,1993,4,A1,7,3,0
ISIC,1993,4,A1,7,4,2
ISIC,1993,4,A1,7,5,3
ISIC,1993,4,A1,7,6,2
ISIC,1993,4,A1,7,7,9
ISIC,1993,4,A2,0,0,35
ISIC,1993,4,A2,0,1,4
ISIC,1993,4,A2,0,2,2
ISIC,1993,4,A2,0,3,1
ISIC,1993,4,A2,0,4,0
ISIC,1993,4,A2,0,5,1
ISIC,1993,4,A2,0,6,0
ISIC,1993,4,A2,0,7,1
ISIC,1993,4,A2,1,0,6
ISIC,1993,4,A2,1,1,20
ISIC,1993,4,A2,1,2,2
ISIC,1993,4,A2,1,3,3
ISIC,1993,4,A2,1,4,4
ISIC,1993,4,A2,1,5,0
ISIC,1993,4,A2,1,6,0
ISIC,1993,4,A2,1,7,2
ISIC,1993,4,A2,2,0,2
ISIC,1993,4,A2,2,1,2
ISIC,1993,4,A2,2,2,19
ISIC,1993,4,A2,2,3,6
ISIC,1993,4,A2,2,4,12
ISIC,1993,4,A2,2,5,4
ISIC,1993,4,A2,2,6,1
ISIC,1993,4,A2,2,7,0
ISIC,1993,4,A2,3,0,6
ISIC,1993,4,A2,3,1,3
ISIC,1993,4,A2,3,2,1
ISIC,1993,4,A2,3,3,23
ISIC,1993,4,A2,3,4,5
ISIC,1993,4,A2,3,5,1
ISIC,1993,4,A2,3,6,0
ISIC,1993,4,A2,3,7,1
ISIC,1993,4,A2,4,0,0
ISIC,1993,4,A2,4,1,2
ISIC,1993,4,A2,4,2,3
ISIC,1993,4,A2,4,3,3
ISIC,1993,4,A2,4,4,24
ISIC,1993,4,A2,4,5,9
ISIC,1993,4,A2,4,6,0
ISIC,1993,4,A2,4,7,0
ISIC,1993,4,A2,5,0,0
ISIC,1993,4,A2,5,1,0
ISIC,1993,4,A2,5,2,3
ISIC,1993,4,A2,5,3,2
ISIC,1993,4,A2,5,4,12
ISIC,1993,4,A2,5,5,18
ISIC,1993,4,A2,5,6,0
ISIC,1993,4,A2,5,7,2
ISIC,1993,4,A2,6,0,1
ISIC,1993,4,A2,6,1,0
ISIC,1993,4,A2,6,2,1
ISIC,1993,4,A2,6,3,0
ISIC,1993,4,A2,6,4,1
ISIC,1993,4,A2,6,5,0
ISIC,1993,4,A2,6,6,23
ISIC,1993,4,A2,6,7,0
ISIC,1993,4,A2,7,0,3
ISIC,1993,4,A2,7,1,1
ISIC,1993,4,A2,7,2,3
ISIC,1993,4,A2,7,3,0
ISIC,1993,4,A2,7,4,2
ISIC,1993,4,A2,7,5,2
ISIC,1993,4,A2,7,6,0
ISIC,1993,4,A2,7,7,13
ISIC,1993,4,A3,0,0,35
ISIC,1993,4,A3,0,1,4
ISIC,1993,4,A3,0,2,2
ISIC,1993,4,A3,0,3,1
ISIC,1993,4,A3,0,4,0
ISIC,1993,4,A3,0,5,1
ISIC,1993,4,A3,0,6,0
ISIC,1993,4,A3,0,7,1
ISIC,1993,4,A3,1,0,6
ISIC,1993,4,A3,1,1,19
ISIC,1993,4,A3,1,2,2
ISIC,1993,4,A3,1,3,4
ISIC,1993,4,A3,1,4,4
ISIC,1993,4,A3,1,5,0
ISIC,1993,4,A3,1,6,0
ISIC,1993,4,A3,1,7,2
ISIC,1993,4,A3,2,0,2
ISIC,1993,4,A3,2,1,2
ISIC,1993,4,A3,2,2,18
ISIC,1993,4,A3,2,3,6
ISIC,1993,4,A3,2,4,13
ISIC,1993,4,A3,2,5,4
ISIC,1993,4,A3,2,6,1
ISIC,1993,4,A3,2,7,0
ISIC,1993,4,A3,3,0,5
ISIC,1993,4,A3,3,1,2
ISIC,1993,4,A3,3,2,1
ISIC,1993,4,A3,3,3,24
ISIC,1993,4,A3,3,4,6
ISIC,1993,4,A3,3,5,1
ISIC,1993,4,A3,3,6,0
ISIC,1993,4,A3,3,7,1
ISIC,1993,4,A3,4,0,0
ISIC,1993,4,A3,4,1,1
ISIC,1993,4,A3,4,2,1
ISIC,1993,4,A3,4,3,5
ISIC,1993,4,A3,4,4,27
ISIC,1993,4,A3,4,5,7
ISIC,1993,4,A3,4,6,0
ISIC,1993,4,A3,4,7,0
ISIC,1993,4,A3,5,0,0
ISIC,1993,4,A3,5,1,1
ISIC,1993,4,A3,5,2,3
ISIC,1993,4,A3,5,3,2
ISIC,1993,4,A3,5,4,12
ISIC,1993,4,A3,5,5,18
ISIC,1993,4,A3,5,6,0
ISIC,1993,4,A3,5,7,1
ISIC,1993,4,A3,6,0,1
ISIC,1993,4,A3,6,1,0
ISIC,1993,4,A3,6,2,1
ISIC,1993,4,A3,6,3,0
ISIC,1993,4,A3,6,4,1
ISIC,1993,4,A3,6,5,0
ISIC,1993,4,A3,6,6,23
ISIC,1993,4,A3,6,7,0
ISIC,1993,4,A3,7,0,4
ISIC,1993,4,A3,7,1,1
ISIC,1993,4,A3,7,2,3
ISIC,1993,4,A3,7,3,1
ISIC,1993,4,A3,7,4,2
ISIC,1993,4,A3,7,5,1
ISIC,1993,4,A3,7,6,0
ISIC,1993,4,A3,7,7,12
ISIC,1993,4,A3s,0,0,35
ISIC,1993,4,A3s,0,1,4
ISIC,1993,4,A3s,0,2,2
ISIC,1993,4,A3s,0,3,1
ISIC,1993,4,A3s,0,4,0
ISIC,1993,4,A3s,0,5,1
ISIC,1993,4,A3s,0,6,0
ISIC,1993,4,A3s,0,7,1
ISIC,1993,4,A3s,1,0,6
ISIC,1993,4,A3s,1,1,19
ISIC,1993,4,A3s,1,2,1
ISIC,1993,4,A3s,1,3,4
ISIC,1993,4,A3s,1,4,5
ISIC,1993,4,A3s,1,5,0
ISIC,1993,4,A3s,1,6,0
ISIC,1993,4,A3s,1,7,2
ISIC,1993,4,A3s,2,0,2
ISIC,1993,4,A3s,2,1,2
ISIC,1993,4,A3s,2,2,17
ISIC,1993,4,A3s,2,3,6
ISIC,1993,4,A3s,2,4,13
ISIC,1993,4,A3s,2,5,5
ISIC,1993,4,A3s,2,6,1
ISIC,1993,4,A3s,2,7,0
ISIC,1993,4,A3s,3,0,5
ISIC,1993,4,A3s,3,1,2
ISIC,1993,4,A3s,3,2,2
ISIC,1993,4,A3s,3,3,23
ISIC,1993,4,A3s,3,4,6
ISIC,1993,4,A3s,3,5,1
ISIC,1993,4,A3s,3,6,0
ISIC,1993,4,A3s,3,7,1
ISIC,1993,4,A3s,4,0,0
ISIC,1993,4,A3s,4,1,1
ISIC,1993,4,A3s,4,2,1
ISIC,1993,4,A3s,4,3,6
ISIC,1993,4,A3s,4,4,27
ISIC,1993,4,A3s,4,5,6
ISIC,1993,4,A3s,4,6,0
ISIC,1993,4,A3s,4,7,0
