encoder,classifier,order_seed,session,split,head_index,original_label,n_images,n_lesions,recall,lesion_equal_recall
A,NCM,1995,0,val,1,3,40,37,37.5,36.486486486486484
A,NCM,1995,0,val,2,0,44,44,72.72727272727273,72.72727272727273
A,NCM,1995,0,val,3,6,26,24,76.92307692307693,79.16666666666666
A,CBRidge,1995,0,val,0,1,37,36,67.56756756756756,66.66666666666666
A,CBRidge,1995,0,val,1,3,40,37,80.0,78.37837837837837
A,CBRidge,1995,0,val,2,0,44,44,79.54545454545455,79.54545454545455
A,CBRidge,1995,0,val,3,6,26,24,96.15384615384616,95.83333333333334
A,NCM,1995,1,val,0,1,37,36,43.24324324324324,43.05555555555556
A,NCM,1995,1,val,1,3,40,37,17.5,17.56756756756757
A,NCM,1995,1,val,2,0,44,44,72.72727272727273,72.72727272727273
A,NCM,1995,1,val,3,6,26,24,73.07692307692307,75.0
A,NCM,1995,1,val,4,4,41,38,51.21951219512195,52.63157894736842
A,NCM,1995,1,val,5,5,37,34,51.35135135135135,52.94117647058824
A,CBRidge,1995,1,val,0,1,37,36,51.35135135135135,51.388888888888886
A,CBRidge,1995,1,val,1,3,40,37,37.5,37.83783783783784
A,CBRidge,1995,1,val,2,0,44,44,79.54545454545455,79.54545454545455
A,CBRidge,1995,1,val,3,6,26,24,92.3076923076923,91.66666666666666
A,CBRidge,1995,1,val,4,4,41,38,58.536585365853654,60.526315789473685
A,CBRidge,1995,1,val,5,5,37,34,48.64864864864865,48.529411764705884
A,NCM,1995,2,val,0,1,37,36,43.24324324324324,43.05555555555556
A,NCM,1995,2,val,1,3,40,37,15.0,14.864864864864865
A,NCM,1995,2,val,2,0,44,44,70.45454545454545,70.45454545454545
A,NCM,1995,2,val,3,6,26,24,73.07692307692307,75.0
A,NCM,1995,2,val,4,4,41,38,43.90243902439025,44.73684210526316
A,NCM,1995,2,val,5,5,37,34,43.24324324324324,45.588235294117645
A,NCM,1995,2,val,6,2,46,45,21.73913043478261,22.22222222222222
A,NCM,1995,2,val,7,7,24,20,37.5,40.0
A,CBRidge,1995,2,val,0,1,37,36,51.35135135135135,51.388888888888886
A,CBRidge,1995,2,val,1,3,40,37,32.5,32.432432432432435
A,CBRidge,1995,2,val,2,0,44,44,75.0,75.0
A,CBRidge,1995,2,val,3,6,26,24,92.3076923076923,91.66666666666666
A,CBRidge,1995,2,val,4,4,41,38,56.09756097560976,57.89473684210527
A,CBRidge,1995,2,val,5,5,37,34,43.24324324324324,42.64705882352941
A,CBRidge,1995,2,val,6,2,46,45,43.47826086956522,42.22222222222222
A,CBRidge,1995,2,val,7,7,24,20,50.0,52.5
B,NCM,1993,0,val,0,4,41,38,56.09756097560976,56.57894736842105
B,NCM,1993,0,val,1,0,44,44,56.81818181818182,56.81818181818182
B,NCM,1993,0,val,2,3,40,37,35.0,33.78378378378378
B,NCM,1993,0,val,3,7,24,20,33.33333333333333,35.0
B,CBRidge,1993,0,val,0,4,41,38,68.29268292682927,68.42105263157895
B,CBRidge,1993,0,val,1,0,44,44,79.54545454545455,79.54545454545455
B,CBRidge,1993,0,val,2,3,40,37,60.0,60.810810810810814
B,CBRidge,1993,0,val,3,7,24,20,45.83333333333333,50.0
B,NCM,1993,1,val,0,4,41,38,46.34146341463415,46.05263157894737
B,NCM,1993,1,val,1,0,44,44,56.81818181818182,56.81818181818182
B,NCM,1993,1,val,2,3,40,37,17.5,16.216216216216218
B,NCM,1993,1,val,3,7,24,20,25.0,25.0
B,NCM,1993,1,val,4,5,37,34,43.24324324324324,42.64705882352941
B,NCM,1993,1,val,5,6,26,24,53.84615384615385,54.166666666666664
B,CBRidge,1993,1,val,0,4,41,38,63.41463414634146,64.47368421052632
B,CBRidge,1993,1,val,1,0,44,44,81.81818181818183,81.81818181818183
B,CBRidge,1993,1,val,2,3,40,37,30.0,32.432432432432435
B,CBRidge,1993,1,val,3,7,24,20,45.83333333333333,47.5
B,CBRidge,1993,1,val,4,5,37,34,54.054054054054056,52.94117647058824
B,CBRidge,1993,1,val,5,6,26,24,84.61538461538461,83.33333333333334
B,NCM,1993,2,val,0,4,41,38,41.46341463414634,40.78947368421053
B,NCM,1993,2,val,1,0,44,44,56.81818181818182,56.81818181818182
B,NCM,1993,2,val,2,3,40,37,5.0,5.405405405405405
B,NCM,1993,2,val,3,7,24,20,25.0,25.0
B,NCM,1993,2,val,4,5,37,34,43.24324324324324,42.64705882352941
B,NCM,1993,2,val,5,6,26,24,53.84615384615385,54.166666666666664
B,NCM,1993,2,val,6,2,46,45,15.217391304347828,15.555555555555555
B,NCM,1993,2,val,7,1,37,36,32.432432432432435,33.33333333333333
B,CBRidge,1993,2,val,0,4,41,38,58.536585365853654,59.210526315789465
B,CBRidge,1993,2,val,1,0,44,44,72.72727272727273,72.72727272727273
B,CBRidge,1993,2,val,2,3,40,37,17.5,18.91891891891892
B,CBRidge,1993,2,val,3,7,24,20,33.33333333333333,40.0
B,CBRidge,1993,2,val,4,5,37,34,51.35135135135135,51.470588235294116
B,CBRidge,1993,2,val,5,6,26,24,88.46153846153845,87.5
B,CBRidge,1993,2,val,6,2,46,45,52.17391304347826,51.11111111111111
B,CBRidge,1993,2,val,7,1,37,36,59.45945945945946,58.333333333333336
B,NCM,1994,0,val,0,3,40,37,50.0,51.35135135135135
B,NCM,1994,0,val,1,7,24,20,50.0,50.0
B,NCM,1994,0,val,2,4,41,38,46.34146341463415,46.05263157894737
B,NCM,1994,0,val,3,5,37,34,43.24324324324324,42.64705882352941
B,CBRidge,1994,0,val,0,3,40,37,75.0,77.02702702702703
B,CBRidge,1994,0,val,1,7,24,20,45.83333333333333,50.0
B,CBRidge,1994,0,val,2,4,41,38,60.97560975609756,61.8421052631579
B,CBRidge,1994,0,val,3,5,37,34,54.054054054054056,52.94117647058824
B,NCM,1994,1,val,0,3,40,37,22.5,21.62162162162162
B,NCM,1994,1,val,1,7,24,20,25.0,25.0
B,NCM,1994,1,val,2,4,41,38,46.34146341463415,46.05263157894737
B,NCM,1994,1,val,3,5,37,34,43.24324324324324,42.64705882352941
B,NCM,1994,1,val,4,1,37,36,35.13513513513514,36.11111111111111
B,NCM,1994,1,val,5,0,44,44,56.81818181818182,56.81818181818182
B,CBRidge,1994,1,val,0,3,40,37,32.5,33.78378378378378
B,CBRidge,1994,1,val,1,7,24,20,45.83333333333333,47.5
B,CBRidge,1994,1,val,2,4,41,38,65.85365853658537,67.10526315789474
B,CBRidge,1994,1,val,3,5,37,34,51.35135135135135,50.0
B,CBRidge,1994,1,val,4,1,37,36,59.45945945945946,58.333333333333336
B,CBRidge,1994,1,val,5,0,44,44,77.27272727272727,77.27272727272727
B,NCM,1994,2,val,0,3,40,37,5.0,5.405405405405405
B,NCM,1994,2,val,1,7,24,20,25.0,25.0
B,NCM,1994,2,val,2,4,41,38,41.46341463414634,40.78947368421053
B,NCM,1994,2,val,3,5,37,34,43.24324324324324,42.64705882352941
B,NCM,1994,2,val,4,1,37,36,32.432432432432435,33.33333333333333
B,NCM,1994,2,val,5,0,44,44,56.81818181818182,56.81818181818182
B,NCM,1994,2,val,6,6,26,24,53.84615384615385,54.166666666666664
B,NCM,1994,2,val,7,2,46,45,15.217391304347828,15.555555555555555
B,CBRidge,1994,2,val,0,3,40,37,17.5,18.91891891891892
B,CBRidge,1994,2,val,1,7,24,20,33.33333333333333,40.0
B,CBRidge,1994,2,val,2,4,41,38,58.536585365853654,59.210526315789465
B,CBRidge,1994,2,val,3,5,37,34,51.35135135135135,51.470588235294116
B,CBRidge,1994,2,val,4,1,37,36,59.45945945945946,58.333333333333336
B,CBRidge,1994,2,val,5,0,44,44,72.72727272727273,72.72727272727273
B,CBRidge,1994,2,val,6,6,26,24,88.46153846153845,87.5
B,CBRidge,1994,2,val,7,2,46,45,52.17391304347826,51.11111111111111
B,NCM,1995,0,val,0,1,37,36,59.45945945945946,58.333333333333336
B,NCM,1995,0,val,1,3,40,37,30.0,27.027027027027028
B,NCM,1995,0,val,2,0,44,44,61.36363636363637,61.36363636363637
B,NCM,1995,0,val,3,6,26,24,53.84615384615385,54.166666666666664
B,CBRidge,1995,0,val,0,1,37,36,59.45945945945946,58.333333333333336
B,CBRidge,1995,0,val,1,3,40,37,67.5,64.86486486486487
B,CBRidge,1995,0,val,2,0,44,44,77.27272727272727,77.27272727272727
B,CBRidge,1995,0,val,3,6,26,24,88.46153846153845,89.58333333333334
B,NCM,1995,1,val,0,1,37,36,37.83783783783784,38.88888888888889
B,NCM,1995,1,val,1,3,40,37,15.0,13.513513513513514
B,NCM,1995,1,val,2,0,44,44,61.36363636363637,61.36363636363637
B,NCM,1995,1,val,3,6,26,24,53.84615384615385,54.166666666666664
B,NCM,1995,1,val,4,4,41,38,46.34146341463415,46.05263157894737
