dataset,seed,task,original_label,slack,variance_proxy,uncertainty_proxy,error_rate,n_val,n_components
HK,1993,1,0,4.037427438539283e-10,0.00018268043569532016,7.307217427812827e-06,0.0,7,7
HK,1993,1,4,4.769795624637219e-10,0.0002209356757868819,3.529323894359142e-07,0.0,165,165
HK,1993,2,0,1.4522925464202799e-09,0.00016536040064950625,1.2042022921603152e-05,14.285714285714292,7,7
HK,1993,2,4,2.2753849737497942e-09,0.0002036514887620448,5.752928762654906e-06,0.0,165,165
HK,1993,2,12,2.102647080440695e-09,0.00017041157446260287,1.0204285895964243e-06,12.195121951219505,41,41
HK,1993,2,8,1.7755503940349285e-09,0.00014913163337069966,2.2803002044449465e-07,0.0,153,153
HK,1993,3,0,7.086191862225293e-11,0.00015332065182898017,2.195584478717612e-05,57.142857142857146,7,7
HK,1993,3,4,3.602970664066352e-10,0.00019135361650681468,1.6128695417701935e-05,0.0,165,165
HK,1993,3,12,1.8308984988452987e-10,0.00015882510858653898,1.2054785594512506e-05,26.829268292682926,41,41
HK,1993,3,8,3.856585617108271e-10,0.00013948457620321754,1.1317016208608527e-05,0.0,153,153
HK,1993,3,2,2.5985639367439937e-10,0.00011211594582188379,1.5233144812755938e-07,0.0,182,182
HK,1993,3,11,1.9261875472746016e-10,0.00017125478317554517,6.561485945423164e-07,16.393442622950815,61,61
HK,1993,4,0,5.93836766507546e-09,0.00013779109560745035,5.888138474385494e-05,71.42857142857143,7,7
HK,1993,4,4,4.738580893169066e-09,0.0001687896058783752,5.363937287782911e-05,54.54545454545455,165,165
HK,1993,4,12,5.339331276641204e-09,0.00013878292270514883,5.0801182251556725e-05,39.02439024390244,41,41
HK,1993,4,8,5.088251049071152e-09,0.00012155629315055369,5.015601267792401e-05,4.575163398692808,153,153
HK,1993,4,2,5.157979909910319e-09,9.622122272300569e-05,4.234253614873032e-05,0.0,182,182
HK,1993,4,11,6.731541751519675e-09,0.00014710989546659313,4.2775440238001886e-05,11.47540983606558,61,61
HK,1993,4,17,5.583210549666704e-09,0.0001762922049219455,7.664878474867195e-06,0.0,5,5
HK,1993,4,3,4.720886063681004e-09,0.00020621354333599277,3.202073654285606e-07,3.8216560509554114,157,157
HK,1993,5,0,1.6992681136937588e-09,0.00012355392493092706,9.986127681536101e-05,100.0,7,7
HK,1993,5,4,8.184785733584249e-10,0.00014909531317445365,9.515729124492044e-05,40.6060606060606,165,165
HK,1993,5,12,6.898831820352944e-10,0.00012121689581664841,9.380369438937069e-05,97.5609756097561,41,41
HK,1993,5,8,7.337742638111848e-10,0.00010579734993565644,9.323961436204154e-05,3.9215686274509807,153,153
HK,1993,5,2,8.878662685653931e-10,8.209109564491514e-05,8.92210816120869e-05,0.0,182,182
HK,1993,5,11,1.5772252820648712e-10,0.00012533087023200275,8.958973970245544e-05,100.0,61,61
HK,1993,5,17,7.847347385079268e-10,0.00014312103083255045,7.510003858917243e-05,40.0,5,5
HK,1993,5,3,8.075228264766186e-10,0.00016179270452686793,6.912861598236428e-05,2.5477707006369457,157,157
HK,1993,5,21,7.912153164732378e-10,0.00018743755705738634,1.0413197614299236e-05,0.0,4,4
HK,1993,5,16,7.673589801137577e-10,0.00017755422158307374,5.222182987737468e-06,0.0,8,8
HK,1993,6,0,1.4237594476626805e-07,0.00011790690421925875,7.862851148463581e-05,85.71428571428572,7,7
HK,1993,6,4,1.1240892798742533e-08,0.0001445962678577697,7.41432197693124e-05,14.545454545454547,165,165
HK,1993,6,12,1.7887503765382298e-08,0.00011686795372474767,7.380748955860659e-05,53.65853658536585,41,41
HK,1993,6,8,1.041035739108096e-08,0.00010188326066647536,7.326346625471276e-05,7.189542483660134,153,153
HK,1993,6,2,8.957396192593535e-09,7.807391570449842e-05,7.158737244733661e-05,0.5494505494505404,182,182
HK,1993,6,11,0.015265585095514267,0.0001187530459174933,7.193628627061452e-05,90.1639344262295,61,61
HK,1993,6,17,8.874685262704078e-09,0.00012453981062932957,7.11539799284396e-05,40.0,5,5
HK,1993,6,3,1.2719697760334465e-08,0.0001409036369867088,6.595800002062195e-05,23.566878980891715,157,157
HK,1993,6,21,9.655153756955953e-09,0.00014269468847675872,5.5032125931211915e-05,100.0,4,4
