dataset,comparison,seed,task,metric,difference_pp,new_zero_recall_classes
HK,CT-Risk minus CT-J-CB,1993,1,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,1,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,1,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,1,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,1,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,1,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,1,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,1,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,2,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,2,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,2,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,2,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,2,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,2,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,2,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,2,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,2,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,2,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,2,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,2,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,2,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,2,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,2,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,3,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,3,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,3,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,3,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,3,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,3,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,3,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,3,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,3,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,3,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,3,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,3,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,3,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,3,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,3,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,4,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,4,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,4,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,4,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,4,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,4,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,4,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,4,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,4,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,4,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,4,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,4,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,4,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,4,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,4,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,5,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,5,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,5,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,5,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,5,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,5,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,5,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,5,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,5,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,5,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,5,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,5,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,5,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,5,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,5,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,6,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,6,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,6,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,6,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,6,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,6,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,6,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,6,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,6,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,6,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,6,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,6,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,6,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,6,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,6,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,7,BA,-0.1276642677916584,[]
HK,CT-Risk minus CT-J-CB,1994,7,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,7,BA,0.1190476190476133,[]
HK,CT-Risk minus CT-J-CB,1993,7,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,7,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,7,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,7,old,-0.1489416457569348,[]
HK,CT-Risk minus CT-J-CB,1994,7,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,7,old,0.13888888888888928,[]
HK,CT-Risk minus CT-J-CB,1993,7,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,7,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,7,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,7,HM,-0.11229551573207175,[]
HK,CT-Risk minus CT-J-CB,1994,7,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,7,HM,0.1121451281613659,[]
HK,CT-Risk minus CT-J-CB,1993,8,BA,1.4078727826854518,[]
HK,CT-Risk minus CT-J-CB,1994,8,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,8,BA,0.18229166666666785,[]
HK,CT-Risk minus CT-J-CB,1993,8,tail,4.0,[]
HK,CT-Risk minus CT-J-CB,1994,8,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,8,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,8,old,1.6089974659262225,[]
HK,CT-Risk minus CT-J-CB,1994,8,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,8,old,0.20833333333333215,[]
HK,CT-Risk minus CT-J-CB,1993,8,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,8,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,8,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,8,HM,1.3269136558983803,[]
HK,CT-Risk minus CT-J-CB,1994,8,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,8,HM,0.34654633883447516,[]
HK,CT-Risk minus CT-J-CB,1993,9,BA,0.9219085156155842,[]
HK,CT-Risk minus CT-J-CB,1994,9,BA,0.06775067750677621,[]
HK,CT-Risk minus CT-J-CB,1995,9,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,9,tail,3.333333333333332,[]
HK,CT-Risk minus CT-J-CB,1994,9,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,9,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,9,old,1.037147080067534,[]
HK,CT-Risk minus CT-J-CB,1994,9,old,0.07621951219512191,[]
HK,CT-Risk minus CT-J-CB,1995,9,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,9,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,9,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,9,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,9,HM,1.3202474606661028,[]
HK,CT-Risk minus CT-J-CB,1994,9,HM,0.1340523248604093,[]
HK,CT-Risk minus CT-J-CB,1995,9,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,10,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,10,BA,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,10,BA,-0.08196721311475308,[]
HK,CT-Risk minus CT-J-CB,1993,10,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,10,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,10,tail,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,10,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,10,old,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,10,old,-0.09107468123861562,[]
HK,CT-Risk minus CT-J-CB,1993,10,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,10,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1995,10,current,0.0,[]
HK,CT-Risk minus CT-J-CB,1993,10,HM,0.0,[]
HK,CT-Risk minus CT-J-CB,1994,10,HM,0.0,[]
