dataset,method,seed,original_label,arrival_task,first_quality,final_quality,signed_first_to_final,max_observed_to_final
HK,CT-J-CB,1993,0,1,100.0,0.0,100.0,100.0
HK,CT-J-CB,1993,1,11,84.95575221238938,84.95575221238938,,
HK,CT-J-CB,1993,2,3,100.0,0.0,100.0,100.0
HK,CT-J-CB,1993,3,4,96.17834394904459,0.0,96.17834394904459,97.45222929936305
HK,CT-J-CB,1993,4,1,100.0,0.0,100.0,100.0
HK,CT-J-CB,1993,5,10,0.0,0.0,0.0,0.0
HK,CT-J-CB,1993,6,9,100.0,0.0,100.0,100.0
HK,CT-J-CB,1993,7,11,100.0,100.0,,
HK,CT-J-CB,1993,8,2,100.0,0.0,100.0,100.0
HK,CT-J-CB,1993,9,8,100.0,0.0,100.0,100.0
HK,CT-J-CB,1993,10,11,100.0,100.0,,
HK,CT-J-CB,1993,11,3,83.60655737704919,0.0,83.60655737704919,88.52459016393442
HK,CT-J-CB,1993,12,2,87.8048780487805,0.0,87.8048780487805,87.8048780487805
HK,CT-J-CB,1993,13,6,98.125,0.0,98.125,98.125
HK,CT-J-CB,1993,14,7,98.33333333333333,0.0,98.33333333333333,98.33333333333333
HK,CT-J-CB,1993,15,9,100.0,1.6260162601626018,98.3739837398374,98.3739837398374
HK,CT-J-CB,1993,16,5,100.0,0.0,100.0,100.0
HK,CT-J-CB,1993,17,4,100.0,0.0,100.0,100.0
HK,CT-J-CB,1993,18,7,90.9090909090909,0.0,90.9090909090909,90.9090909090909
HK,CT-J-CB,1993,19,8,50.0,0.0,50.0,50.0
HK,CT-J-CB,1993,20,10,96.96969696969697,4.545454545454546,92.42424242424242,92.42424242424242
HK,CT-J-CB,1993,21,5,100.0,0.0,100.0,100.0
HK,CT-J-CB,1993,22,6,90.47619047619048,0.0,90.47619047619048,90.47619047619048
HK,CT-J-CB,1994,0,7,100.0,0.0,100.0,100.0
HK,CT-J-CB,1994,1,9,98.23008849557522,0.0,98.23008849557522,98.23008849557522
HK,CT-J-CB,1994,2,11,100.0,100.0,,
HK,CT-J-CB,1994,3,6,99.36305732484077,0.0,99.36305732484077,99.36305732484077
HK,CT-J-CB,1994,4,3,99.39393939393939,0.0,99.39393939393939,99.39393939393939
HK,CT-J-CB,1994,5,8,100.0,0.0,100.0,100.0
HK,CT-J-CB,1994,6,5,0.0,0.0,0.0,0.0
HK,CT-J-CB,1994,7,8,100.0,0.0,100.0,100.0
HK,CT-J-CB,1994,8,11,98.0392156862745,98.0392156862745,,
HK,CT-J-CB,1994,9,7,99.39024390243902,0.0,99.39024390243902,99.39024390243902
HK,CT-J-CB,1994,10,10,100.0,37.333333333333336,62.666666666666664,62.666666666666664
HK,CT-J-CB,1994,11,5,100.0,0.0,100.0,100.0
HK,CT-J-CB,1994,12,2,90.2439024390244,0.0,90.2439024390244,90.2439024390244
HK,CT-J-CB,1994,13,2,96.875,0.0,96.875,96.875
HK,CT-J-CB,1994,14,10,100.0,0.0,100.0,100.0
HK,CT-J-CB,1994,15,6,100.0,0.0,100.0,100.0
HK,CT-J-CB,1994,16,1,100.0,0.0,100.0,100.0
HK,CT-J-CB,1994,17,4,80.0,0.0,80.0,100.0
HK,CT-J-CB,1994,18,9,96.96969696969697,0.0,96.96969696969697,96.96969696969697
HK,CT-J-CB,1994,19,4,0.0,0.0,0.0,0.0
HK,CT-J-CB,1994,20,11,87.87878787878788,87.87878787878788,,
HK,CT-J-CB,1994,21,3,75.0,0.0,75.0,75.0
