dataset,method,seed,Final_BA,Average_BA,Final_tail,Final_old,Final_current,Final_HM,zero_recall_classes
HK,CT-J-CB,1993,12.65770534860898,58.69712465729679,12.5,0.3085735402808574,94.98525073746312,0.6151486797108067,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 6, 5]"
HK,CT-J-CB,1994,14.054405952104162,48.362143870426074,0.0,1.8666666666666667,95.30600118835412,3.661616779257796,"[22, 16, 12, 13, 21, 4, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1, 14]"
HK,CT-J-CB,1995,14.202102245580507,50.7040285318611,15.625,1.3324175824175826,100.0,2.62979530974651,"[9, 13, 16, 14, 15, 5, 12, 1, 8, 22, 19, 17, 18, 6, 20, 0, 3, 11]"
HK,CT-Risk,1993,12.65770534860898,58.897317114615824,12.5,0.3085735402808574,94.98525073746312,0.6151486797108067,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 6, 5]"
HK,CT-Risk,1994,13.967449430365031,48.360397884586774,0.0,1.7666666666666668,95.30600118835412,3.4690287009362404,"[22, 16, 12, 13, 21, 4, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1, 14]"
HK,CT-Risk,1995,14.202102245580507,50.72397144755196,15.625,1.3324175824175826,100.0,2.62979530974651,"[9, 13, 16, 14, 15, 5, 12, 1, 8, 22, 19, 17, 18, 6, 20, 0, 3, 11]"
HK,CT-ConCM,1993,12.467998847375531,36.4840385635205,11.30952380952381,0.38961038961038963,92.9905885658098,0.7759696348156399,"[0, 12, 8, 2, 11, 17, 3, 21, 16, 13, 18, 14, 9, 19, 15, 6, 5, 20]"
HK,CT-ConCM,1994,21.522500927572185,41.35052238324038,3.571428571428571,11.403422866313637,88.9830213359625,20.216096471582798,"[22, 16, 13, 21, 19, 17, 6, 11, 5, 7]"
HK,CT-ConCM,1995,12.112624694146435,50.73454451245943,8.928571428571429,0.3883928571428571,90.27417027417027,0.773458011951486,"[9, 16, 14, 15, 5, 12, 1, 8, 22, 19, 17, 18, 6, 20, 0, 3, 11, 21]"
HK,PT-CB,1993,61.12772365602367,78.00833554466452,33.61607142857143,56.6290355967576,91.11897738446412,69.84838184593096,"[21, 19, 6, 5]"
HK,PT-CB,1994,61.12772365602368,72.68960634575711,33.61607142857143,60.47338870446314,65.48995666642725,62.881778728028834,"[21, 19, 6, 5]"
HK,PT-CB,1995,61.12772365602366,77.27657051284574,33.61607142857143,56.99991250745751,88.64646464646465,69.38505203742845,"[5, 19, 6, 21]"
HK,CT-J-Stale,1993,12.531160003264661,38.74150312034599,12.5,0.030303030303030304,95.87020648967552,0.06058691005826596,"[0, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 15, 6, 5, 20]"
HK,CT-J-Stale,1994,12.591955359218787,41.22973355612655,0.0,0.03333333333333334,96.31610219845514,0.06664360247111684,"[22, 16, 12, 13, 21, 4, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1, 14]"
HK,CT-J-Stale,1995,13.043478260869565,39.30770030583434,12.5,0.0,100.0,0.0,"[9, 13, 16, 14, 15, 5, 12, 1, 8, 22, 19, 17, 18, 6, 20, 0, 3, 11, 2, 21]"
HK,CT-ConCM-CB,1993,12.81262023855329,39.157802257645976,12.5,0.0,98.23008849557522,0.0,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 15, 6, 5, 20]"
HK,CT-ConCM-CB,1994,12.348608197713057,39.27506882296462,0.0,0.11666666666666667,93.89488507135566,0.23304377080916525,"[22, 16, 12, 13, 21, 4, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1]"
HK,CT-ConCM-CB,1995,13.043478260869565,51.75750511243019,12.5,0.0,100.0,0.0,"[9, 13, 16, 14, 15, 5, 12, 1, 8, 22, 19, 17, 18, 6, 20, 0, 3, 11, 2, 21]"
ISIC,CT-J-CB,1993,54.11214054639293,71.60230079851634,61.05769230769231,44.95602288285215,81.58049353701527,57.968002249642986,[]
ISIC,CT-J-CB,1994,39.295135436439786,56.19735705814046,50.80128205128206,22.62762762762763,89.29765886287626,36.10612465020619,"[4, 5]"
ISIC,CT-J-CB,1995,45.795947255385215,64.79164770986085,65.7051282051282,35.397011799450816,76.9927536231884,48.497537088430235,[]
ISIC,CT-Risk,1993,54.15290141595814,71.51779404621067,61.05769230769231,45.37268954951882,80.49353701527613,58.03317324138096,[]
ISIC,CT-Risk,1994,39.920135436439786,56.44932777886118,50.80128205128206,23.46096096096096,89.29765886287626,37.15917934717863,"[4, 5]"
ISIC,CT-Risk,1995,45.86204596278827,64.80817238671162,65.7051282051282,35.84746224990127,75.90579710144928,48.697106678347346,[]
ISIC,CT-ConCM,1993,22.289952996474735,38.68364232063861,0.0,0.0,89.15981198589894,0.0,"[4, 0, 3, 7, 5, 6]"
ISIC,CT-ConCM,1994,12.5,32.77297634386049,0.0,0.0,50.0,0.0,"[3, 7, 4, 5, 1, 0, 6]"
ISIC,CT-ConCM,1995,12.5,37.105774704860075,0.0,0.0,50.0,0.0,"[1, 3, 0, 6, 4, 5, 7]"
ISIC,PT-CB,1993,55.497263593432734,70.84536274364282,71.15384615384616,58.19141608775755,47.41480611045829,52.25326034133321,[]
ISIC,PT-CB,1994,55.497263593432734,61.358865997237544,71.15384615384616,51.365359261700725,67.89297658862876,58.483914083755316,[]
ISIC,PT-CB,1995,55.497263593432734,70.14203130479311,71.15384615384616,58.41664131298278,46.73913043478261,51.929494168681885,[]
ISIC,CT-J-Stale,1993,32.79206777848082,59.51103117303077,41.18589743589744,13.728632478632479,89.98237367802585,23.822639150074057,"[4, 0, 3, 5]"
ISIC,CT-J-Stale,1994,23.947505197505198,40.99766001823929,40.38461538461539,1.8018018018018018,90.38461538461539,3.533170456681075,"[3, 7, 4, 5, 0]"
ISIC,CT-J-Stale,1995,21.754807692307693,52.02686820636515,37.01923076923077,1.9230769230769231,81.25,3.7572254335260116,"[1, 3, 0, 4, 5]"
ISIC,CT-ConCM-CB,1993,24.054797899906596,47.51433392530622,7.852564102564102,2.6175213675213675,88.36662749706228,5.084435883301379,"[4, 0, 3, 5]"
ISIC,CT-ConCM-CB,1994,21.20664294577338,39.44720317466871,36.53846153846153,1.9656019656019659,78.92976588628761,3.8356832310755355,"[3, 7, 4, 5]"
ISIC,CT-ConCM-CB,1995,15.39855072463768,40.72089369113494,33.33333333333333,0.0,61.59420289855072,0.0,"[1, 3, 0, 6, 4, 5]"
