dataset,method,deterministic_final_reference,worst_run_BA,Final_BA_mean,Final_BA_sd,Average_BA_mean,Average_BA_sd,Final_tail_mean,Final_tail_sd,Final_old_mean,Final_old_sd,Final_current_mean,Final_current_sd,Final_HM_mean,Final_HM_sd
HK,CT-J-CB,False,12.65770534860898,13.638071182097882,0.8522273313975305,52.587765686527995,5.418884222526912,9.375,8.267972847076846,1.1692192631217022,0.7917631061046142,96.76375064193907,2.8072589199429023,2.3021869229050376,1.5494313188186222
HK,CT-Risk,False,12.65770534860898,13.609085674851507,0.8322312658108554,52.66056214891819,5.5289650363791045,9.375,8.267972847076846,1.1358859297883688,0.7486503918166766,96.76375064193907,2.8072589199429023,2.2379908967978523,1.4667279288920463
HK,CT-ConCM,False,12.112624694146435,15.367708156364715,5.333167749056521,42.85636848640677,7.243611620938964,7.936507936507937,3.963290546713925,4.060475371022295,6.35917909871631,90.74926005864752,2.0455883024016503,7.255174706116641,11.224487575607322
HK,PT-CB,True,61.12772365602366,61.12772365602367,1.1234667099445444e-14,75.99150413442247,2.882840052889337,33.61607142857143,0.0,58.034112269559415,2.120598869454107,81.75179956578535,14.137325796360667,67.37173753712942,3.8953133645993967
HK,CT-J-Stale,False,12.531160003264661,12.722197874451004,0.27989253982437934,39.75964566076896,1.3042291318136592,8.333333333333334,7.216878364870323,0.021212121212121213,0.018432613728176426,97.3954362293769,2.2666098191371358,0.0424101708431276,0.036852921511780094
HK,CT-ConCM-CB,False,12.348608197713057,12.734902232378637,0.3538942886380122,43.396792064346926,7.2408272915549965,8.333333333333334,7.216878364870323,0.03888888888888889,0.06735753140545635,97.37499118897695,3.14109863356799,0.07768125693638842,0.134547883809637
ISIC,CT-J-CB,False,39.295135436439786,46.40107441273931,7.427014492009557,64.19710185550589,7.719662330098027,59.18803418803419,7.6258031483694415,34.32688743664354,11.202597166830937,82.62363534102664,6.218422778879021,47.52388799609313,10.963412673955393
ISIC,CT-Risk,False,39.920135436439786,46.64502760506207,7.148615393629531,64.25843140392782,7.549260246784211,59.18803418803419,7.6258031483694415,34.89370425346035,10.986956046671306,81.89899765986722,6.805657945923622,47.96315308896897,10.456334021889319
ISIC,CT-ConCM,False,12.5,15.763317665491579,5.652231997868472,36.18746445645306,3.060467832947706,0.0,0.0,0.0,0.0,63.053270661966316,22.608927991473887,0.0,0.0
ISIC,PT-CB,True,55.497263593432734,55.497263593432734,0.0,67.44875334855782,5.285708537371945,71.15384615384616,0.0,55.99113888748035,4.007625164636519,54.015637711289884,12.022875493909542,54.22222286459013,3.6942814144662175
ISIC,CT-J-Stale,False,21.754807692307693,26.164793556097905,5.843162953514189,50.845186465878406,9.313082555234663,39.52991452991453,2.2109190263434724,5.817837067837067,6.851218135292174,87.20566302088041,5.161675223349666,10.371011680093714,11.649989757571015
ISIC,CT-ConCM-CB,False,15.39855072463768,20.219997190105882,4.41166138492295,42.56081026370328,4.336890520001522,25.908119658119656,15.718477232786954,1.5277077777077779,1.362596057972195,76.2968654273002,13.579020706256724,2.9733730381256382,2.649633222636604
