dataset,comparison,task,metric,mean_difference_pp,paired_sd,low,high,resamples,bootstrap_seed,fixed_models_not_resampled
HK,CT-Risk minus CT-J-CB,1,BA,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,1,current,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,2,BA,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,2,tail,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,2,old,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,2,current,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,2,HM,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,3,BA,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,3,tail,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,3,old,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,3,current,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,3,HM,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,4,BA,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,4,tail,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,4,old,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,4,current,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,4,HM,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,5,BA,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,5,tail,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,5,old,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,5,current,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,5,HM,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,6,BA,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,6,tail,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,6,old,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,6,current,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,6,HM,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,7,BA,-0.002872216248015036,0.1233810195961272,-0.08658008658008735,0.10461760461760274,2000,45001,True
HK,CT-Risk minus CT-J-CB,7,tail,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,7,old,-0.0033509189560151733,0.1439445228621519,-0.10101010101010151,0.12205387205387082,2000,45001,True
HK,CT-Risk minus CT-J-CB,7,current,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,7,HM,-5.012919023528184e-05,0.11222033034404688,-0.07793728333770425,0.09583313500723627,2000,45001,True
HK,CT-Risk minus CT-J-CB,8,BA,0.5300548164507065,0.7656571356145034,-0.0020338705177229536,1.399048407575493,2000,45001,True
HK,CT-Risk minus CT-J-CB,8,tail,1.3333333333333333,2.3094010767585034,0.0,4.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,8,old,0.6057769330865183,0.8750367264165713,-0.002324423448824545,1.5989124658005633,2000,45001,True
HK,CT-Risk minus CT-J-CB,8,current,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,8,HM,0.5578199982442852,0.6882240782788049,0.0192064543796195,1.3849173397379302,2000,45001,True
HK,CT-Risk minus CT-J-CB,9,BA,0.3298863977074535,0.5138240746062588,-0.11615835097112018,1.092237509540891,2000,45001,True
HK,CT-Risk minus CT-J-CB,9,tail,1.1111111111111107,1.9245008972987518,0.0,3.3333333333333335,2000,45001,True
HK,CT-Risk minus CT-J-CB,9,old,0.3711221974208853,0.5780520839320425,-0.13067814484250875,1.2287671982335053,2000,45001,True
HK,CT-Risk minus CT-J-CB,9,current,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,9,HM,0.484766595175504,0.7266455214895431,-0.16094407344217773,1.5490467812343502,2000,45001,True
HK,CT-Risk minus CT-J-CB,10,BA,-0.02732240437158436,0.04732379255652611,-0.08196721311475426,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,10,tail,0.0,0.0,0.0,0.0,2000,45001,True
HK,CT-Risk minus CT-J-CB,10,old,-0.03035822707953854,0.05258199172947409,-0.09107468123861577,0.0,2000,45001,True
